CONIPOS,SGAS,CONJPOS,DRAWDOWN,CONIDX,DEPTH,CONBPRES,SWAT,CONKPOS,DATE,WELLMODEL,WELL,PRESSURE
22,0.0,30,0,1,1640.1719970703125,300.71563720703125,0.05246330797672272,1,2018-01-01,STANDARD,R_A2,300.71563720703125
22,0.0,30,0,2,1641.910888671875,300.8322448730469,0.05473155155777931,2,2018-01-01,STANDARD,R_A2,300.8322448730469
22,0.0,30,0,3,1643.6497802734375,300.9488525390625,0.057305708527565,3,2018-01-01,STANDARD,R_A2,300.9488525390625
22,0.0,30,0,4,1645.388671875,301.0654602050781,0.06211153045296669,4,2018-01-01,STANDARD,R_A2,301.0654602050781
22,0.0,30,0,5,1647.12744140625,301.18206787109375,0.10514078289270401,5,2018-01-01,STANDARD,R_A2,301.18206787109375
22,0.0,30,0,6,1648.8663330078125,301.2986755371094,0.3153616487979889,6,2018-01-01,STANDARD,R_A2,301.2986755371094
22,0.0,30,0,7,1650.605224609375,301.415283203125,0.8692242503166199,7,2018-01-01,STANDARD,R_A2,301.415283203125
22,0.0,30,0,8,1652.3441162109375,301.53192138671875,0.8526978492736816,8,2018-01-01,STANDARD,R_A2,301.53192138671875
22,0.0,30,0,9,1654.0828857421875,301.6485290527344,0.6481541991233826,9,2018-01-01,STANDARD,R_A2,301.6485290527344
22,0.0,30,0,10,1655.82177734375,301.76513671875,0.8799090385437012,10,2018-01-01,STANDARD,R_A2,301.76513671875
22,0.0,30,0,11,1657.7315673828125,301.89324951171875,0.06743546575307846,11,2018-01-01,STANDARD,R_A2,301.89324951171875
22,0.0,30,0,12,1659.812255859375,302.0328063964844,0.1727524995803833,12,2018-01-01,STANDARD,R_A2,302.0328063964844
22,0.0,30,0,13,1661.8929443359375,302.17236328125,0.4350261986255646,13,2018-01-01,STANDARD,R_A2,302.17236328125
22,0.0,30,0,14,1663.9737548828125,302.31195068359375,0.48053690791130066,14,2018-01-01,STANDARD,R_A2,302.31195068359375
22,0.0,30,0,15,1666.054443359375,302.4515075683594,0.9028439521789551,15,2018-01-01,STANDARD,R_A2,302.4515075683594
22,0.0,30,0,16,1668.1351318359375,302.5910949707031,0.9005032777786255,16,2018-01-01,STANDARD,R_A2,302.5910949707031
22,0.0,29,0,17,1672.5047607421875,302.8842468261719,0.9573142528533936,16,2018-01-01,STANDARD,R_A2,302.8842468261719
22,0.0,29,0,18,1674.655517578125,303.0285339355469,0.9489216804504395,17,2018-01-01,STANDARD,R_A2,303.0285339355469
22,0.0,29,0,19,1676.186767578125,303.13128662109375,0.9789177775382996,18,2018-01-01,STANDARD,R_A2,303.13128662109375
22,0.0,29,0,20,1677.512451171875,303.22021484375,0.6481541991233826,26,2018-01-01,STANDARD,R_A2,303.22021484375
22,0.0,29,0,21,1679.2518310546875,303.3369140625,0.6936241388320923,27,2018-01-01,STANDARD,R_A2,303.3369140625
