CONIPOS,CONKPOS,CONIDX,SGAS,CONBPRES,WELL,PRESSURE,WELLMODEL,CONJPOS,SWAT,DATE,DRAWDOWN,DEPTH
22,1,1,0.0,300.5350341796875,R_A2,300.5350341796875,STANDARD,30,0.05971861258149147,2018-01-01,0,1641.094970703125
22,2,2,0.0,300.65533447265625,R_A2,300.65533447265625,STANDARD,30,0.0632493868470192,2018-01-01,0,1642.8890380859375
22,3,3,0.0,300.775634765625,R_A2,300.775634765625,STANDARD,30,0.06621676683425903,2018-01-01,0,1644.68310546875
22,4,4,0.0,300.89593505859375,R_A2,300.89593505859375,STANDARD,30,0.07294418662786484,2018-01-01,0,1646.4771728515625
22,5,5,0.0,301.0162353515625,R_A2,301.0162353515625,STANDARD,30,0.1419132947921753,2018-01-01,0,1648.2713623046875
22,6,6,0.0,301.13653564453125,R_A2,301.13653564453125,STANDARD,30,0.3179101347923279,2018-01-01,0,1650.0654296875
22,7,7,0.0,301.2568664550781,R_A2,301.2568664550781,STANDARD,30,0.9208264946937561,2018-01-01,0,1651.859619140625
22,8,8,0.0,301.3771667480469,R_A2,301.3771667480469,STANDARD,30,0.6481541991233826,2018-01-01,0,1653.6536865234375
22,9,9,0.0,301.49749755859375,R_A2,301.49749755859375,STANDARD,30,0.1997687965631485,2018-01-01,0,1655.44775390625
22,10,10,0.0,301.6178283691406,R_A2,301.6178283691406,STANDARD,30,0.9395984411239624,2018-01-01,0,1657.2418212890625
22,11,11,0.0,301.74493408203125,R_A2,301.74493408203125,STANDARD,30,0.09263768792152405,2018-01-01,0,1659.1368408203125
22,12,12,0.0,301.8787841796875,R_A2,301.8787841796875,STANDARD,30,0.0940602645277977,2018-01-01,0,1661.132568359375
22,13,13,0.0,302.01263427734375,R_A2,302.01263427734375,STANDARD,30,0.5054868459701538,2018-01-01,0,1663.12841796875
22,14,14,0.0,302.1465148925781,R_A2,302.1465148925781,STANDARD,30,0.5879742503166199,2018-01-01,0,1665.1241455078125
22,15,15,0.0,302.2803955078125,R_A2,302.2803955078125,STANDARD,30,0.7787392735481262,2018-01-01,0,1667.1199951171875
22,16,16,0.0,302.4142761230469,R_A2,302.4142761230469,STANDARD,30,0.9973917007446289,2018-01-01,0,1669.11572265625
22,17,17,0.0,302.54815673828125,R_A2,302.54815673828125,STANDARD,30,0.9976387023925781,2018-01-01,0,1671.111572265625
22,18,18,0.0,302.86041259765625,R_A2,302.86041259765625,STANDARD,30,1.0,2018-01-01,0,1672.9881591796875
22,18,19,0.0,302.97808837890625,R_A2,302.97808837890625,STANDARD,29,1.0,2018-01-01,0,1674.229736328125
22,27,20,0.0,303.3103942871094,R_A2,303.3103942871094,STANDARD,29,1.0,2018-01-01,0,1676.1676025390625
22,28,21,0.0,303.47802734375,R_A2,303.47802734375,STANDARD,29,1.0,2018-01-01,0,1677.9368896484375
22,29,22,0.0,303.64569091796875,R_A2,303.64569091796875,STANDARD,29,1.0,2018-01-01,0,1679.7061767578125
22,30,23,0.0,303.8133544921875,R_A2,303.8133544921875,STANDARD,29,1.0,2018-01-01,0,1681.4754638671875
22,31,24,0.0,303.98101806640625,R_A2,303.98101806640625,STANDARD,29,1.0,2018-01-01,0,1683.2447509765625
28,1,1,0.0,298.39996337890625,R_A3,298.39996337890625,STANDARD,41,0.6481541991233826,2018-01-01,0,1609.243408203125
28,2,2,0.0,298.5382995605469,R_A3,298.5382995605469,STANDARD,41,0.2020253837108612,2018-01-01,0,1611.3077392578125
28,3,3,0.0,298.6766357421875,R_A3,298.6766357421875,STANDARD,41,0.161915123462677,2018-01-01,0,1613.3720703125
28,4,4,0.0,298.81500244140625,R_A3,298.81500244140625,STANDARD,41,0.17535671591758728,2018-01-01,0,1615.4365234375
28,5,5,0.0,298.953369140625,R_A3,298.953369140625,STANDARD,41,0.6481541991233826,2018-01-01,0,1617.5008544921875
28,6,6,0.0,299.09173583984375,R_A3,299.09173583984375,STANDARD,41,0.3450770676136017,2018-01-01,0,1619.565185546875
29,6,7,0.0,298.408203125,R_A3,298.408203125,STANDARD,41,0.6481541991233826,2018-01-01,0,1609.3663330078125
29,7,8,0.0,298.5455627441406,R_A3,298.5455627441406,STANDARD,41,0.2016495317220688,2018-01-01,0,1611.4163818359375
29,8,9,0.0,298.6829528808594,R_A3,298.6829528808594,STANDARD,41,0.35482197999954224,2018-01-01,0,1613.46630859375
29,9,10,0.0,298.8203430175781,R_A3,298.8203430175781,STANDARD,41,0.811269998550415,2018-01-01,0,1615.516357421875
29,10,11,0.0,298.9577331542969,R_A3,298.9577331542969,STANDARD,41,0.8059836626052856,2018-01-01,0,1617.5662841796875
29,11,12,0.0,299.1041564941406,R_A3,299.1041564941406,STANDARD,41,0.05117498338222504,2018-01-01,0,1619.750732421875
29,12,13,0.0,299.25958251953125,R_A3,299.25958251953125,STANDARD,41,0.057292014360427856,2018-01-01,0,1622.0697021484375
29,13,14,0.0,299.4150390625,R_A3,299.4150390625,STANDARD,41,0.38041266798973083,2018-01-01,0,1624.388671875
29,15,15,0.0,299.7259216308594,R_A3,299.7259216308594,STANDARD,41,0.49672603607177734,2018-01-01,0,1629.026611328125
29,16,16,0.0,299.85467529296875,R_A3,299.85467529296875,STANDARD,41,0.8195219039916992,2018-01-01,0,1630.9468994140625
29,27,17,0.0,300.027587890625,R_A3,300.027587890625,STANDARD,41,1.0,2018-01-01,0,1633.5262451171875
