DATE,WELL,SWAT,CONIDX,WELLMODEL,CONBPRES,CONJPOS,DRAWDOWN,CONKPOS,CONIPOS,DEPTH,PRESSURE,SGAS
2018-01-01,R_A2,0.11639835685491562,1,STANDARD,300.6733093261719,30,0,1,22,1641.094970703125,300.6733093261719,0.0
2018-01-01,R_A2,0.05913596972823143,2,STANDARD,300.7936096191406,30,0,2,22,1642.8890380859375,300.7936096191406,0.0
2018-01-01,R_A2,0.1264522522687912,3,STANDARD,300.9139099121094,30,0,3,22,1644.68310546875,300.9139099121094,0.0
2018-01-01,R_A2,0.10851117223501205,4,STANDARD,301.0342102050781,30,0,4,22,1646.4771728515625,301.0342102050781,0.0
2018-01-01,R_A2,0.11078716069459915,5,STANDARD,301.1545104980469,30,0,5,22,1648.2713623046875,301.1545104980469,0.0
2018-01-01,R_A2,0.31581538915634155,6,STANDARD,301.27484130859375,30,0,6,22,1650.0654296875,301.27484130859375,0.0
2018-01-01,R_A2,0.8967062830924988,7,STANDARD,301.3951721191406,30,0,7,22,1651.859619140625,301.3951721191406,0.0
2018-01-01,R_A2,0.8729602694511414,8,STANDARD,301.5154724121094,30,0,8,22,1653.6536865234375,301.5154724121094,0.0
2018-01-01,R_A2,0.9158713817596436,9,STANDARD,301.63580322265625,30,0,9,22,1655.44775390625,301.63580322265625,0.0
2018-01-01,R_A2,0.9034853577613831,10,STANDARD,301.7561340332031,30,0,10,22,1657.2418212890625,301.7561340332031,0.0
2018-01-01,R_A2,0.07596161216497421,11,STANDARD,301.88323974609375,30,0,11,22,1659.1368408203125,301.88323974609375,0.0
2018-01-01,R_A2,0.08016353845596313,12,STANDARD,302.01708984375,30,0,12,22,1661.132568359375,302.01708984375,0.0
2018-01-01,R_A2,0.45490843057632446,13,STANDARD,302.1509704589844,30,0,13,22,1663.12841796875,302.1509704589844,0.0
2018-01-01,R_A2,0.5153446793556213,14,STANDARD,302.28485107421875,30,0,14,22,1665.1241455078125,302.28485107421875,0.0
2018-01-01,R_A2,0.712632954120636,15,STANDARD,302.4187316894531,30,0,15,22,1667.1199951171875,302.4187316894531,0.0
2018-01-01,R_A2,0.9810691475868225,16,STANDARD,302.5526123046875,30,0,16,22,1669.11572265625,302.5526123046875,0.0
2018-01-01,R_A2,0.945175051689148,17,STANDARD,302.6864929199219,30,0,17,22,1671.111572265625,302.6864929199219,0.0
2018-01-01,R_A2,0.9814856648445129,18,STANDARD,302.8123779296875,30,0,18,22,1672.9881591796875,302.8123779296875,0.0
2018-01-01,R_A2,0.9939976930618286,19,STANDARD,302.89569091796875,29,0,18,22,1674.229736328125,302.89569091796875,0.0
2018-01-01,R_A2,1.0,20,STANDARD,303.02569580078125,29,0,27,22,1676.1676025390625,303.02569580078125,0.0
2018-01-01,R_A2,1.0,21,STANDARD,303.47802734375,29,0,28,22,1677.9368896484375,303.47802734375,0.0
2018-01-01,R_A2,1.0,22,STANDARD,303.64569091796875,29,0,29,22,1679.7061767578125,303.64569091796875,0.0
2018-01-01,R_A2,1.0,23,STANDARD,303.8133544921875,29,0,30,22,1681.4754638671875,303.8133544921875,0.0
2018-01-01,R_A2,1.0,24,STANDARD,303.98101806640625,29,0,31,22,1683.2447509765625,303.98101806640625,0.0
2018-01-01,R_A3,0.6481541991233826,1,STANDARD,298.53814697265625,41,0,1,28,1609.243408203125,298.53814697265625,0.0
2018-01-01,R_A3,0.11823459714651108,2,STANDARD,298.676513671875,41,0,2,28,1611.3077392578125,298.676513671875,0.0
2018-01-01,R_A3,0.17559900879859924,3,STANDARD,298.8148498535156,41,0,3,28,1613.3720703125,298.8148498535156,0.0
2018-01-01,R_A3,0.18915219604969025,4,STANDARD,298.9532165527344,41,0,4,28,1615.4365234375,298.9532165527344,0.0
2018-01-01,R_A3,0.6481541991233826,5,STANDARD,299.0915832519531,41,0,5,28,1617.5008544921875,299.0915832519531,0.0
2018-01-01,R_A3,0.2591858208179474,6,STANDARD,299.2299499511719,41,0,6,28,1619.565185546875,299.2299499511719,0.0
2018-01-01,R_A3,0.23034392297267914,7,STANDARD,298.54638671875,41,0,6,29,1609.3663330078125,298.54638671875,0.0
2018-01-01,R_A3,0.19715377688407898,8,STANDARD,298.68377685546875,41,0,7,29,1611.4163818359375,298.68377685546875,0.0
2018-01-01,R_A3,0.24272115528583527,9,STANDARD,298.8211669921875,41,0,8,29,1613.46630859375,298.8211669921875,0.0
2018-01-01,R_A3,0.7983514070510864,10,STANDARD,298.95855712890625,41,0,9,29,1615.516357421875,298.95855712890625,0.0
2018-01-01,R_A3,0.7988103032112122,11,STANDARD,299.095947265625,41,0,10,29,1617.5662841796875,299.095947265625,0.0
2018-01-01,R_A3,0.048717088997364044,12,STANDARD,299.24237060546875,41,0,11,29,1619.750732421875,299.24237060546875,0.0
2018-01-01,R_A3,0.05399089306592941,13,STANDARD,299.3978271484375,41,0,12,29,1622.0697021484375,299.3978271484375,0.0
2018-01-01,R_A3,0.3697081506252289,14,STANDARD,299.5532531738281,41,0,13,29,1624.388671875,299.5532531738281,0.0
2018-01-01,R_A3,0.38560113310813904,15,STANDARD,299.7087097167969,41,0,14,29,1626.707763671875,299.7087097167969,0.0
2018-01-01,R_A3,0.5033208727836609,16,STANDARD,299.8641662597656,41,0,15,29,1629.026611328125,299.8641662597656,0.0
2018-01-01,R_A3,0.8153588175773621,17,STANDARD,299.992919921875,41,0,16,29,1630.9468994140625,299.992919921875,0.0
2018-01-01,R_A3,1.0,18,STANDARD,300.16583251953125,41,0,27,29,1633.5262451171875,300.16583251953125,0.0
2018-01-01,R_A3,0.05029548332095146,19,STANDARD,300.40966796875,41,0,28,29,1637.1630859375,300.40966796875,0.0
2018-01-01,R_A3,0.08577360957860947,20,STANDARD,300.6535339355469,41,0,29,29,1640.8001708984375,300.6535339355469,0.0
2018-01-01,R_A3,0.6888055205345154,21,STANDARD,300.89739990234375,41,0,30,29,1644.4371337890625,300.89739990234375,0.0
2018-01-01,R_A3,0.09458150714635849,22,STANDARD,301.14129638671875,41,0,31,29,1648.0740966796875,301.14129638671875,0.0
2018-01-01,R_A4,0.04987418279051781,1,STANDARD,300.009033203125,52,0,1,30,1631.1873779296875,300.009033203125,0.0
2018-01-01,R_A4,0.062354348599910736,2,STANDARD,299.7571105957031,52,0,1,31,1627.4293212890625,299.7571105957031,0.0
2018-01-01,R_A4,0.06649763137102127,3,STANDARD,299.89520263671875,52,0,2,31,1629.4896240234375,299.89520263671875,0.0
2018-01-01,R_A4,0.05385250598192215,4,STANDARD,300.0333251953125,52,0,3,31,1631.5498046875,300.0333251953125,0.0
2018-01-01,R_A4,0.057518646121025085,5,STANDARD,300.17144775390625,52,0,4,31,1633.610107421875,300.17144775390625,0.0
2018-01-01,R_A4,0.05650549381971359,6,STANDARD,300.0901184082031,52,0,4,32,1632.3968505859375,300.0901184082031,0.0
2018-01-01,R_A4,0.05973724648356438,7,STANDARD,300.3236999511719,51,0,4,32,1635.880615234375,300.3236999511719,0.0
2018-01-01,R_A4,0.060658808797597885,8,STANDARD,300.4202575683594,51,0,4,33,1637.321044921875,300.4202575683594,0.0
2018-01-01,R_A4,0.058803532272577286,9,STANDARD,300.29644775390625,51,0,3,33,1635.474609375,300.29644775390625,0.0
2018-01-01,R_A4,0.06411956250667572,10,STANDARD,300.74395751953125,50,0,4,33,1642.1485595703125,300.74395751953125,0.0
2018-01-01,R_A4,0.06115506589412689,11,STANDARD,300.67578125,50,0,4,34,1641.132080078125,300.67578125,0.0
