SGAS,CONBPRES,PRESSURE,DRAWDOWN,CONKPOS,CONJPOS,DEPTH,SWAT,WELL,CONIDX,DATE,WELLMODEL,CONIPOS
0.0,300.9161376953125,300.9161376953125,0,2,30,1642.8487548828125,0.05531936138868332,R_A2,2,2018-01-01,STANDARD,22
0.0,301.03460693359375,301.03460693359375,0,3,30,1644.615234375,0.05679533630609512,R_A2,3,2018-01-01,STANDARD,22
0.0,301.1530456542969,301.1530456542969,0,4,30,1646.3817138671875,0.0652213990688324,R_A2,4,2018-01-01,STANDARD,22
0.0,301.2715148925781,301.2715148925781,0,5,30,1648.1480712890625,0.0661584660410881,R_A2,5,2018-01-01,STANDARD,22
0.0,301.3899841308594,301.3899841308594,0,6,30,1649.9146728515625,0.30425217747688293,R_A2,6,2018-01-01,STANDARD,22
0.0,301.5084533691406,301.5084533691406,0,7,30,1651.6810302734375,0.881389856338501,R_A2,7,2018-01-01,STANDARD,22
0.0,301.6269226074219,301.6269226074219,0,8,30,1653.447509765625,0.8546621203422546,R_A2,8,2018-01-01,STANDARD,22
0.0,301.7453918457031,301.7453918457031,0,9,30,1655.2139892578125,0.8816913962364197,R_A2,9,2018-01-01,STANDARD,22
0.0,301.8638610839844,301.8638610839844,0,10,30,1656.9803466796875,0.8860926032066345,R_A2,10,2018-01-01,STANDARD,22
0.0,301.9912109375,301.9912109375,0,11,30,1658.8787841796875,0.06844431906938553,R_A2,11,2018-01-01,STANDARD,22
0.0,302.12738037109375,302.12738037109375,0,12,30,1660.9091796875,0.12987937033176422,R_A2,12,2018-01-01,STANDARD,22
0.0,302.2635803222656,302.2635803222656,0,13,30,1662.9395751953125,0.4281744360923767,R_A2,13,2018-01-01,STANDARD,22
0.0,302.3997802734375,302.3997802734375,0,14,30,1664.9698486328125,0.466007262468338,R_A2,14,2018-01-01,STANDARD,22
0.0,302.5359802246094,302.5359802246094,0,15,30,1667.000244140625,0.9089970588684082,R_A2,15,2018-01-01,STANDARD,22
0.0,302.67218017578125,302.67218017578125,0,16,30,1669.030517578125,0.9190866351127625,R_A2,16,2018-01-01,STANDARD,22
0.0,302.80841064453125,302.80841064453125,0,17,30,1671.0609130859375,0.8735207319259644,R_A2,17,2018-01-01,STANDARD,22
0.0,302.9290466308594,302.9290466308594,0,17,29,1672.8592529296875,0.8840379118919373,R_A2,18,2018-01-01,STANDARD,22
0.0,303.0569763183594,303.0569763183594,0,18,29,1674.765869140625,0.955832839012146,R_A2,19,2018-01-01,STANDARD,22
0.0,303.1827087402344,303.1827087402344,0,26,29,1676.64013671875,0.7800458669662476,R_A2,20,2018-01-01,STANDARD,22
0.0,303.30218505859375,303.30218505859375,0,27,29,1678.4208984375,1.0,R_A2,21,2018-01-01,STANDARD,22
0.0,303.42169189453125,303.42169189453125,0,28,29,1680.20166015625,1.0,R_A2,22,2018-01-01,STANDARD,22
0.0,303.8614196777344,303.8614196777344,0,29,29,1681.982421875,1.0,R_A2,23,2018-01-01,STANDARD,22
0.0,304.0301513671875,304.0301513671875,0,30,29,1683.76318359375,1.0,R_A2,24,2018-01-01,STANDARD,22
0.0,298.6871032714844,298.6871032714844,0,1,41,1609.59814453125,0.3264261484146118,R_A3,1,2018-01-01,STANDARD,28
0.0,298.8199157714844,298.8199157714844,0,2,41,1611.579833984375,0.18916688859462738,R_A3,2,2018-01-01,STANDARD,28
0.0,298.19305419921875,298.19305419921875,0,2,41,1602.22607421875,0.18599772453308105,R_A3,3,2018-01-01,STANDARD,29
0.0,298.3343811035156,298.3343811035156,0,3,41,1604.3350830078125,0.16647909581661224,R_A3,4,2018-01-01,STANDARD,29
0.0,298.4757385253906,298.4757385253906,0,4,41,1606.444091796875,0.6481541991233826,R_A3,5,2018-01-01,STANDARD,29
0.0,298.6170654296875,298.6170654296875,0,5,41,1608.5531005859375,0.8092041015625,R_A3,6,2018-01-01,STANDARD,29
0.0,298.7584228515625,298.7584228515625,0,6,41,1610.662109375,0.20237676799297333,R_A3,7,2018-01-01,STANDARD,29
0.0,298.8997497558594,298.8997497558594,0,7,41,1612.7711181640625,0.19634632766246796,R_A3,8,2018-01-01,STANDARD,29
0.0,299.0411071777344,299.0411071777344,0,8,41,1614.880126953125,0.19577813148498535,R_A3,9,2018-01-01,STANDARD,29
0.0,299.1824645996094,299.1824645996094,0,9,41,1616.9892578125,0.7978758811950684,R_A3,10,2018-01-01,STANDARD,29
0.0,299.3238220214844,299.3238220214844,0,10,41,1619.09814453125,0.7962361574172974,R_A3,11,2018-01-01,STANDARD,29
0.0,299.46942138671875,299.46942138671875,0,11,41,1621.2703857421875,0.046857140958309174,R_A3,12,2018-01-01,STANDARD,29
0.0,299.6192626953125,299.6192626953125,0,12,41,1623.505615234375,0.05424810200929642,R_A3,13,2018-01-01,STANDARD,29
0.0,299.7691345214844,299.7691345214844,0,13,41,1625.740966796875,0.36444419622421265,R_A3,14,2018-01-01,STANDARD,29
0.0,299.9189758300781,299.9189758300781,0,14,41,1627.976318359375,0.1767725795507431,R_A3,15,2018-01-01,STANDARD,29
0.0,300.0688171386719,300.0688171386719,0,15,41,1630.2115478515625,0.4930005371570587,R_A3,16,2018-01-01,STANDARD,29
0.0,300.2002258300781,300.2002258300781,0,16,41,1632.1715087890625,0.8032689690589905,R_A3,17,2018-01-01,STANDARD,29
0.0,300.375244140625,300.375244140625,0,26,41,1634.781982421875,0.30365610122680664,R_A3,18,2018-01-01,STANDARD,29
0.0,300.6111755371094,300.6111755371094,0,27,41,1638.30078125,0.048520393669605255,R_A3,19,2018-01-01,STANDARD,29
0.0,300.8471374511719,300.8471374511719,0,28,41,1641.8197021484375,0.049245573580265045,R_A3,20,2018-01-01,STANDARD,29
0.0,301.0830993652344,301.0830993652344,0,29,41,1645.3385009765625,1.0,R_A3,21,2018-01-01,STANDARD,29
0.0,301.319091796875,301.319091796875,0,30,41,1648.8572998046875,0.08900321274995804,R_A3,22,2018-01-01,STANDARD,29
0.0,300.22540283203125,300.22540283203125,0,1,52,1632.547119140625,0.050011198967695236,R_A4,1,2018-01-01,STANDARD,30
0.0,299.86065673828125,299.86065673828125,0,1,52,1627.106201171875,0.046404119580984116,R_A4,2,2018-01-01,STANDARD,31
0.0,299.9982604980469,299.9982604980469,0,2,52,1629.1588134765625,0.04871461167931557,R_A4,3,2018-01-01,STANDARD,31
0.0,300.1358642578125,300.1358642578125,0,3,52,1631.21142578125,0.05085691437125206,R_A4,4,2018-01-01,STANDARD,31
0.0,300.2734680175781,300.2734680175781,0,4,52,1633.2640380859375,0.0535617433488369,R_A4,5,2018-01-01,STANDARD,31
0.0,300.1598205566406,300.1598205566406,0,4,52,1631.56884765625,0.053115952759981155,R_A4,6,2018-01-01,STANDARD,32
0.0,300.284423828125,300.284423828125,0,5,52,1633.42724609375,0.05688272789120674,R_A4,7,2018-01-01,STANDARD,32
0.0,300.5974426269531,300.5974426269531,0,5,51,1638.0955810546875,0.05932792276144028,R_A4,8,2018-01-01,STANDARD,32
0.0,300.47674560546875,300.47674560546875,0,4,51,1636.2958984375,0.054059986025094986,R_A4,9,2018-01-01,STANDARD,32
0.0,300.5218811035156,300.5218811035156,0,4,51,1636.96875,0.055514492094516754,R_A4,10,2018-01-01,STANDARD,33
0.0,300.3990783691406,300.3990783691406,0,3,51,1635.13720703125,0.054440900683403015,R_A4,11,2018-01-01,STANDARD,33
0.0,300.9742126464844,300.9742126464844,0,4,50,1643.7147216796875,0.06183197721838951,R_A4,12,2018-01-01,STANDARD,33
0.0,300.78778076171875,300.78778076171875,0,4,50,1640.9345703125,0.05889040231704712,R_A4,13,2018-01-01,STANDARD,34
0.0,300.6636047363281,300.6636047363281,0,3,50,1639.08251953125,0.1226295456290245,R_A4,14,2018-01-01,STANDARD,34
0.0,300.6870422363281,300.6870422363281,0,3,50,1639.43212890625,0.13227127492427826,R_A4,15,2018-01-01,STANDARD,35
0.0,300.5683898925781,300.5683898925781,0,2,50,1637.6627197265625,0.2209502011537552,R_A4,16,2018-01-01,STANDARD,35
0.0,300.6693420410156,300.6693420410156,0,29,49,1639.168212890625,0.051627714186906815,R_A4,17,2018-01-01,STANDARD,35
0.0,300.9134826660156,300.9134826660156,0,29,49,1642.8092041015625,0.1238807663321495,R_A4,18,2018-01-01,STANDARD,36
0.0,300.96942138671875,300.96942138671875,0,29,48,1643.643310546875,0.05462125316262245,R_A4,19,2018-01-01,STANDARD,36
