ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL,BULK_GAS,PORV_GAS,HCPV_GAS,GIIP_GAS,ASSOCIATEDOIL_GAS
Valysar,WestLowland,11237039,1834540,976422,680908,95871862,0,0,0,0,0
Valysar,CentralSouth,70085258,14048436,10995922,7668007,1079655428,0,0,0,0,0
Valysar,CentralNorth,39354470,6597942,4807547,3352543,472038090,0,0,0,0,0
Valysar,NorthHorst,4144820,480195,185359,113857,22304510,24680929,3081546,1986153,461896088,70670
Valysar,CentralRamp,13631218,2352830,1791127,1249043,175865199,0,0,0,0,0
Valysar,CentralHorst,85241837,15619860,12311294,8585282,1208807767,0,0,0,0,0
Valysar,EastLowland,1175903,268185,164611,114791,16162636,0,0,0,0,0
Therys,WestLowland,3550393,669483,349519,243737,34318145,0,0,0,0,0
Therys,CentralSouth,15605097,3586795,2280461,1590280,223911421,0,0,0,0,0
Therys,CentralNorth,23113800,4385377,2608174,1818811,256088536,0,0,0,0,0
Therys,NorthHorst,5523726,820793,319482,196242,38443773,17936239,3104787,1950782,453670111,69412
Therys,CentralRamp,6567686,1484342,1157523,807199,113653625,0,0,0,0,0
Therys,CentralHorst,29092115,7263611,5678676,3960025,557571518,0,0,0,0,0
Therys,EastLowland,0,0,0,0,0,0,0,0,0,0
Volon,WestLowland,666246,118167,82707,57676,8120764,0,0,0,0,0
Volon,CentralSouth,34738160,6508538,4747791,3310873,466170877,0,0,0,0,0
Volon,CentralNorth,9061723,1500825,1000174,697471,98203938,0,0,0,0,0
Volon,NorthHorst,4203642,848130,689812,423718,83006280,4190006,808788,707669,164574269,25180
Volon,CentralRamp,13114793,2354233,1728382,1205287,169704468,0,0,0,0,0
Volon,CentralHorst,82479689,14151805,10840944,7559933,1064438609,0,0,0,0,0
Volon,EastLowland,0,0,0,0,0,0,0,0,0,0
