CONKPOS,PRESSURE,CONJPOS,SWAT,CONIDX,WELL,DEPTH,DRAWDOWN,CONIPOS,SGAS,CONBPRES,DATE,WELLMODEL
1,300.6033935546875,30,0.05312403291463852,1,R_A2,1638.662841796875,0,22,0.0,300.6033935546875,2018-01-01,STANDARD
2,300.7269592285156,30,0.053716566413640976,2,R_A2,1640.5054931640625,0,22,0.0,300.7269592285156,2018-01-01,STANDARD
3,300.8504943847656,30,0.05653587728738785,3,R_A2,1642.34814453125,0,22,0.0,300.8504943847656,2018-01-01,STANDARD
4,300.97406005859375,30,0.06334385275840759,4,R_A2,1644.190673828125,0,22,0.0,300.97406005859375,2018-01-01,STANDARD
5,301.0976257324219,30,0.06442936509847641,5,R_A2,1646.0333251953125,0,22,0.0,301.0976257324219,2018-01-01,STANDARD
6,301.22119140625,30,0.23265492916107178,6,R_A2,1647.8758544921875,0,22,0.0,301.22119140625,2018-01-01,STANDARD
7,301.3447570800781,30,0.6481541991233826,7,R_A2,1649.718505859375,0,22,0.0,301.3447570800781,2018-01-01,STANDARD
8,301.46832275390625,30,0.22919267416000366,8,R_A2,1651.56103515625,0,22,0.0,301.46832275390625,2018-01-01,STANDARD
9,301.5919189453125,30,0.6665404438972473,9,R_A2,1653.4036865234375,0,22,0.0,301.5919189453125,2018-01-01,STANDARD
10,301.7154846191406,30,0.8857909440994263,10,R_A2,1655.246337890625,0,22,0.0,301.7154846191406,2018-01-01,STANDARD
11,301.8426818847656,30,0.06721923500299454,11,R_A2,1657.142578125,0,22,0.0,301.8426818847656,2018-01-01,STANDARD
12,301.9734802246094,30,0.07085005939006805,12,R_A2,1659.0927734375,0,22,0.0,301.9734802246094,2018-01-01,STANDARD
13,302.1042785644531,30,0.41352495551109314,13,R_A2,1661.0428466796875,0,22,0.0,302.1042785644531,2018-01-01,STANDARD
14,302.2350769042969,30,0.45393890142440796,14,R_A2,1662.992919921875,0,22,0.0,302.2350769042969,2018-01-01,STANDARD
15,302.36590576171875,30,0.638394832611084,15,R_A2,1664.943115234375,0,22,0.0,302.36590576171875,2018-01-01,STANDARD
16,302.4967346191406,30,0.9121263027191162,16,R_A2,1666.8931884765625,0,22,0.0,302.4967346191406,2018-01-01,STANDARD
17,302.6275329589844,30,0.8839971423149109,17,R_A2,1668.84326171875,0,22,0.0,302.6275329589844,2018-01-01,STANDARD
18,302.75616455078125,30,0.9230460524559021,18,R_A2,1670.760498046875,0,22,0.0,302.75616455078125,2018-01-01,STANDARD
18,302.88592529296875,29,0.9471548795700073,19,R_A2,1672.6947021484375,0,22,0.0,302.88592529296875,2018-01-01,STANDARD
27,303.02056884765625,29,1.0,20,R_A2,1674.701904296875,0,22,0.0,303.02056884765625,2018-01-01,STANDARD
28,303.13958740234375,29,1.0,21,R_A2,1676.4754638671875,0,22,0.0,303.13958740234375,2018-01-01,STANDARD
29,303.2585754394531,29,1.0,22,R_A2,1678.2490234375,0,22,0.0,303.2585754394531,2018-01-01,STANDARD
30,303.3775634765625,29,1.0,23,R_A2,1680.0225830078125,0,22,0.0,303.3775634765625,2018-01-01,STANDARD
31,303.84375,29,1.0,24,R_A2,1681.796142578125,0,22,0.0,303.84375,2018-01-01,STANDARD
1,298.62847900390625,41,0.6481541991233826,1,R_A3,1609.201904296875,0,28,0.0,298.62847900390625,2018-01-01,STANDARD
2,298.7622375488281,41,0.19473224878311157,2,R_A3,1611.197509765625,0,28,0.0,298.7622375488281,2018-01-01,STANDARD
3,298.89599609375,41,0.19534045457839966,3,R_A3,1613.193115234375,0,28,0.0,298.89599609375,2018-01-01,STANDARD
3,298.2439880371094,41,0.18544983863830566,4,R_A3,1603.464111328125,0,29,0.0,298.2439880371094,2018-01-01,STANDARD
4,298.3788146972656,41,0.29039591550827026,5,R_A3,1605.4764404296875,0,29,0.0,298.3788146972656,2018-01-01,STANDARD
5,298.513671875,41,0.8128201961517334,6,R_A3,1607.48876953125,0,29,0.0,298.513671875,2018-01-01,STANDARD
6,298.6485595703125,41,0.6481541991233826,7,R_A3,1609.5010986328125,0,29,0.0,298.6485595703125,2018-01-01,STANDARD
7,298.7834167480469,41,0.1943187117576599,8,R_A3,1611.513427734375,0,29,0.0,298.7834167480469,2018-01-01,STANDARD
