WELL,DRAWDOWN,CONIPOS,PRESSURE,CONJPOS,DATE,DEPTH,CONKPOS,SGAS,CONBPRES,SWAT,WELLMODEL,CONIDX
R_A2,0,22,300.6733093261719,30,2018-01-01,1641.094970703125,1,0.0,300.6733093261719,0.055880606174468994,STANDARD,1
R_A2,0,22,300.7936096191406,30,2018-01-01,1642.8890380859375,2,0.0,300.7936096191406,0.05794878676533699,STANDARD,2
R_A2,0,22,300.9139099121094,30,2018-01-01,1644.68310546875,3,0.0,300.9139099121094,0.06058797240257263,STANDARD,3
R_A2,0,22,301.0342102050781,30,2018-01-01,1646.4771728515625,4,0.0,301.0342102050781,0.0678098052740097,STANDARD,4
R_A2,0,22,301.1545104980469,30,2018-01-01,1648.2713623046875,5,0.0,301.1545104980469,0.07152793556451797,STANDARD,5
R_A2,0,22,301.27484130859375,30,2018-01-01,1650.0654296875,6,0.0,301.27484130859375,0.14327770471572876,STANDARD,6
R_A2,0,22,301.3951721191406,30,2018-01-01,1651.859619140625,7,0.0,301.3951721191406,0.2598637044429779,STANDARD,7
R_A2,0,22,301.5154724121094,30,2018-01-01,1653.6536865234375,8,0.0,301.5154724121094,0.6481541991233826,STANDARD,8
R_A2,0,22,301.63580322265625,30,2018-01-01,1655.44775390625,9,0.0,301.63580322265625,0.6481541991233826,STANDARD,9
R_A2,0,22,301.7561340332031,30,2018-01-01,1657.2418212890625,10,0.0,301.7561340332031,0.9135551452636719,STANDARD,10
R_A2,0,22,301.88323974609375,30,2018-01-01,1659.1368408203125,11,0.0,301.88323974609375,0.07876349240541458,STANDARD,11
R_A2,0,22,302.01708984375,30,2018-01-01,1661.132568359375,12,0.0,302.01708984375,0.0862409919500351,STANDARD,12
R_A2,0,22,302.1509704589844,30,2018-01-01,1663.12841796875,13,0.0,302.1509704589844,0.4577699303627014,STANDARD,13
R_A2,0,22,302.28485107421875,30,2018-01-01,1665.1241455078125,14,0.0,302.28485107421875,0.519985556602478,STANDARD,14
R_A2,0,22,302.4187316894531,30,2018-01-01,1667.1199951171875,15,0.0,302.4187316894531,0.6918675303459167,STANDARD,15
R_A2,0,22,302.5526123046875,30,2018-01-01,1669.11572265625,16,0.0,302.5526123046875,0.9727101922035217,STANDARD,16
R_A2,0,22,302.6864929199219,30,2018-01-01,1671.111572265625,17,0.0,302.6864929199219,0.9494145512580872,STANDARD,17
R_A2,0,22,302.8123779296875,30,2018-01-01,1672.9881591796875,18,0.0,302.8123779296875,0.9820622205734253,STANDARD,18
R_A2,0,22,302.89569091796875,29,2018-01-01,1674.229736328125,18,0.0,302.89569091796875,0.9921741485595703,STANDARD,19
R_A2,0,22,303.02569580078125,29,2018-01-01,1676.1676025390625,27,0.0,303.02569580078125,0.4947701394557953,STANDARD,20
R_A2,0,22,303.47802734375,29,2018-01-01,1677.9368896484375,28,0.0,303.47802734375,1.0,STANDARD,21
R_A2,0,22,303.64569091796875,29,2018-01-01,1679.7061767578125,29,0.0,303.64569091796875,1.0,STANDARD,22
R_A2,0,22,303.8133544921875,29,2018-01-01,1681.4754638671875,30,0.0,303.8133544921875,1.0,STANDARD,23
R_A2,0,22,303.98101806640625,29,2018-01-01,1683.2447509765625,31,0.0,303.98101806640625,1.0,STANDARD,24
R_A3,0,28,298.53814697265625,41,2018-01-01,1609.243408203125,1,0.0,298.53814697265625,0.30849525332450867,STANDARD,1
R_A3,0,28,298.676513671875,41,2018-01-01,1611.3077392578125,2,0.0,298.676513671875,0.19968974590301514,STANDARD,2
R_A3,0,28,298.8148498535156,41,2018-01-01,1613.3720703125,3,0.0,298.8148498535156,0.19958947598934174,STANDARD,3
R_A3,0,28,298.9532165527344,41,2018-01-01,1615.4365234375,4,0.0,298.9532165527344,0.37015843391418457,STANDARD,4
R_A3,0,28,299.0915832519531,41,2018-01-01,1617.5008544921875,5,0.0,299.0915832519531,0.8261942863464355,STANDARD,5
R_A3,0,28,299.2299499511719,41,2018-01-01,1619.565185546875,6,0.0,299.2299499511719,0.2662692070007324,STANDARD,6
R_A3,0,29,298.54638671875,41,2018-01-01,1609.3663330078125,6,0.0,298.54638671875,0.6481541991233826,STANDARD,7
R_A3,0,29,298.68377685546875,41,2018-01-01,1611.4163818359375,7,0.0,298.68377685546875,0.19361057877540588,STANDARD,8
