CONIPOS,CONIDX,DATE,CONKPOS,PRESSURE,WELLMODEL,CONJPOS,SWAT,CONBPRES,DRAWDOWN,DEPTH,WELL,SGAS
22,1,2018-01-01,1,300.82073974609375,STANDARD,30,0.052799928933382034,300.82073974609375,0,1641.4630126953125,R_A2,0.0
22,2,2018-01-01,2,300.93646240234375,STANDARD,30,0.05475114285945892,300.93646240234375,0,1643.188720703125,R_A2,0.0
22,3,2018-01-01,3,301.05218505859375,STANDARD,30,0.059084203094244,301.05218505859375,0,1644.91455078125,R_A2,0.0
22,4,2018-01-01,4,301.16790771484375,STANDARD,30,0.06379834562540054,301.16790771484375,0,1646.6402587890625,R_A2,0.0
22,5,2018-01-01,5,301.28363037109375,STANDARD,30,0.0678529217839241,301.28363037109375,0,1648.3660888671875,R_A2,0.0
22,6,2018-01-01,6,301.3993835449219,STANDARD,30,0.3179604411125183,301.3993835449219,0,1650.091796875,R_A2,0.0
22,7,2018-01-01,7,301.5151062011719,STANDARD,30,0.8727774620056152,301.5151062011719,0,1651.817626953125,R_A2,0.0
22,8,2018-01-01,8,301.630859375,STANDARD,30,0.8443260788917542,301.630859375,0,1653.5433349609375,R_A2,0.0
22,9,2018-01-01,9,301.7466125488281,STANDARD,30,0.8828504085540771,301.7466125488281,0,1655.26904296875,R_A2,0.0
22,10,2018-01-01,10,301.86236572265625,STANDARD,30,0.8974490761756897,301.86236572265625,0,1656.994873046875,R_A2,0.0
22,11,2018-01-01,11,301.98828125,STANDARD,30,0.06756934523582458,301.98828125,0,1658.8724365234375,R_A2,0.0
22,12,2018-01-01,12,302.1244201660156,STANDARD,30,0.1223900094628334,302.1244201660156,0,1660.90185546875,R_A2,0.0
22,13,2018-01-01,13,302.2605285644531,STANDARD,30,0.4266490638256073,302.2605285644531,0,1662.93115234375,R_A2,0.0
22,14,2018-01-01,14,302.39666748046875,STANDARD,30,0.47080838680267334,302.39666748046875,0,1664.9605712890625,R_A2,0.0
22,15,2018-01-01,15,302.5328063964844,STANDARD,30,0.9043694138526917,302.5328063964844,0,1666.989990234375,R_A2,0.0
22,16,2018-01-01,16,302.6689453125,STANDARD,30,0.9202080965042114,302.6689453125,0,1669.019287109375,R_A2,0.0
22,17,2018-01-01,17,302.8050842285156,STANDARD,30,0.8772780299186707,302.8050842285156,0,1671.0487060546875,R_A2,0.0
22,18,2018-01-01,17,303.0622863769531,STANDARD,29,0.9503677487373352,303.0622863769531,0,1674.8822021484375,R_A2,0.0
22,19,2018-01-01,18,303.1841125488281,STANDARD,29,0.9901649951934814,303.1841125488281,0,1676.6983642578125,R_A2,0.0
22,20,2018-01-01,26,303.29718017578125,STANDARD,29,1.0,303.29718017578125,0,1678.383056640625,R_A2,0.0
