DEPTH,PRESSURE,WELLMODEL,CONIPOS,SGAS,DRAWDOWN,CONIDX,CONBPRES,CONJPOS,DATE,SWAT,CONKPOS,WELL
1640.3138427734375,300.7528076171875,STANDARD,22,0.0,0,1,300.7528076171875,30,2018-01-01,0.052793342620134354,1,R_A2
1642.0537109375,300.8694763183594,STANDARD,22,0.0,0,2,300.8694763183594,30,2018-01-01,0.05351124703884125,2,R_A2
1643.793701171875,300.98614501953125,STANDARD,22,0.0,0,3,300.98614501953125,30,2018-01-01,0.05782497301697731,3,R_A2
1645.53369140625,301.1028137207031,STANDARD,22,0.0,0,4,301.1028137207031,30,2018-01-01,0.06422141939401627,4,R_A2
1647.273681640625,301.2195129394531,STANDARD,22,0.0,0,5,301.2195129394531,30,2018-01-01,0.06429865956306458,5,R_A2
1649.0135498046875,301.336181640625,STANDARD,22,0.0,0,6,301.336181640625,30,2018-01-01,0.6481541991233826,6,R_A2
1650.7535400390625,301.452880859375,STANDARD,22,0.0,0,7,301.452880859375,30,2018-01-01,0.8691888451576233,7,R_A2
1652.493408203125,301.569580078125,STANDARD,22,0.0,0,8,301.569580078125,30,2018-01-01,0.8519490957260132,8,R_A2
1654.2333984375,301.686279296875,STANDARD,22,0.0,0,9,301.686279296875,30,2018-01-01,0.8714488744735718,9,R_A2
1655.973388671875,301.802978515625,STANDARD,22,0.0,0,10,301.802978515625,30,2018-01-01,0.705279529094696,10,R_A2
1657.8699951171875,301.93017578125,STANDARD,22,0.0,0,11,301.93017578125,30,2018-01-01,0.06702753156423569,11,R_A2
1659.9232177734375,302.0679016113281,STANDARD,22,0.0,0,12,302.0679016113281,30,2018-01-01,0.11026459187269211,12,R_A2
1661.9764404296875,302.20562744140625,STANDARD,22,0.0,0,13,302.20562744140625,30,2018-01-01,0.42219266295433044,13,R_A2
1664.02978515625,302.3433532714844,STANDARD,22,0.0,0,14,302.3433532714844,30,2018-01-01,0.4676714539527893,14,R_A2
1666.0830078125,302.4810791015625,STANDARD,22,0.0,0,15,302.4810791015625,30,2018-01-01,0.8947703242301941,15,R_A2
1668.1363525390625,302.61883544921875,STANDARD,22,0.0,0,16,302.61883544921875,30,2018-01-01,0.90968918800354,16,R_A2
1670.1895751953125,302.756591796875,STANDARD,22,0.0,0,17,302.756591796875,30,2018-01-01,0.861628532409668,17,R_A2
1673.9520263671875,303.0090026855469,STANDARD,22,0.0,0,18,303.0090026855469,29,2018-01-01,0.9126135110855103,17,R_A2
1675.7161865234375,303.1273498535156,STANDARD,22,0.0,0,19,303.1273498535156,29,2018-01-01,0.9723173379898071,18,R_A2
1677.3134765625,303.2345275878906,STANDARD,22,0.0,0,20,303.2345275878906,29,2018-01-01,0.6481541991233826,26,R_A2
1679.0792236328125,303.3529968261719,STANDARD,22,0.0,0,21,303.3529968261719,29,2018-01-01,0.841588020324707,27,R_A2
1680.844970703125,303.47149658203125,STANDARD,22,0.0,0,22,303.47149658203125,29,2018-01-01,0.8641574382781982,28,R_A2
1682.6107177734375,303.92095947265625,STANDARD,22,0.0,0,23,303.92095947265625,29,2018-01-01,1.0,29,R_A2
1684.37646484375,304.0882568359375,STANDARD,22,0.0,0,24,304.0882568359375,29,2018-01-01,1.0,30,R_A2
1608.6822509765625,298.6323547363281,STANDARD,28,0.0,0,1,298.6323547363281,41,2018-01-01,0.6481541991233826,1,R_A3
1610.7083740234375,298.76812744140625,STANDARD,28,0.0,0,2,298.76812744140625,41,2018-01-01,0.11823459714651108,2,R_A3
1612.734619140625,298.9039306640625,STANDARD,28,0.0,0,3,298.9039306640625,41,2018-01-01,0.11823459714651108,3,R_A3
1604.1578369140625,298.3291320800781,STANDARD,29,0.0,0,4,298.3291320800781,41,2018-01-01,0.11823459714651108,3,R_A3
1606.2369384765625,298.4684753417969,STANDARD,29,0.0,0,5,298.4684753417969,41,2018-01-01,0.11440596729516983,4,R_A3
1608.31591796875,298.6077880859375,STANDARD,29,0.0,0,6,298.6077880859375,41,2018-01-01,0.8037741780281067,5,R_A3
1610.3948974609375,298.74713134765625,STANDARD,29,0.0,0,7,298.74713134765625,41,2018-01-01,0.6481541991233826,6,R_A3
1612.473876953125,298.886474609375,STANDARD,29,0.0,0,8,298.886474609375,41,2018-01-01,0.19128814339637756,7,R_A3
1614.552978515625,299.02581787109375,STANDARD,29,0.0,0,9,299.02581787109375,41,2018-01-01,0.22410628199577332,8,R_A3
1616.6319580078125,299.1651611328125,STANDARD,29,0.0,0,10,299.1651611328125,41,2018-01-01,0.7968049049377441,9,R_A3
1618.7109375,299.30450439453125,STANDARD,29,0.0,0,11,299.30450439453125,41,2018-01-01,0.7978963255882263,10,R_A3
1620.8857421875,299.4502868652344,STANDARD,29,0.0,0,12,299.4502868652344,41,2018-01-01,0.04603853076696396,11,R_A3
1623.15625,299.60247802734375,STANDARD,29,0.0,0,13,299.60247802734375,41,2018-01-01,0.05220761522650719,12,R_A3
1625.4267578125,299.75469970703125,STANDARD,29,0.0,0,14,299.75469970703125,41,2018-01-01,0.3633543848991394,13,R_A3
1629.9678955078125,300.0591125488281,STANDARD,29,0.0,0,15,300.0591125488281,41,2018-01-01,0.4906427264213562,15,R_A3
1631.9739990234375,300.1936340332031,STANDARD,29,0.0,0,16,300.1936340332031,41,2018-01-01,0.7976387143135071,16,R_A3
1634.6390380859375,300.372314453125,STANDARD,29,0.0,0,17,300.372314453125,41,2018-01-01,0.3661762475967407,26,R_A3
1638.2275390625,300.6129150390625,STANDARD,29,0.0,0,18,300.6129150390625,41,2018-01-01,0.0448761023581028,27,R_A3
1641.81591796875,300.853515625,STANDARD,29,0.0,0,19,300.853515625,41,2018-01-01,0.04981302469968796,28,R_A3
1645.404296875,301.0941467285156,STANDARD,29,0.0,0,20,301.0941467285156,41,2018-01-01,0.6529701352119446,29,R_A3
1648.99267578125,301.33477783203125,STANDARD,29,0.0,0,21,301.33477783203125,41,2018-01-01,0.10057705640792847,30,R_A3
1631.7344970703125,300.17755126953125,STANDARD,30,0.0,0,1,300.17755126953125,52,2018-01-01,0.05111703649163246,1,R_A4
1627.1719970703125,299.8716735839844,STANDARD,31,0.0,0,2,299.8716735839844,52,2018-01-01,0.04806685447692871,1,R_A4
1629.2459716796875,300.0107116699219,STANDARD,31,0.0,0,3,300.0107116699219,52,2018-01-01,0.048537012189626694,2,R_A4
1631.31982421875,300.1497802734375,STANDARD,31,0.0,0,4,300.1497802734375,52,2018-01-01,0.05187229812145233,3,R_A4
1633.393798828125,300.288818359375,STANDARD,31,0.0,0,5,300.288818359375,52,2018-01-01,0.053867097944021225,4,R_A4
