Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:24:12
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       282072599.53         45923267.73         34958598.17         21986539.36
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  282072599.53         45923267.73         34958598.17         21986539.36
MidReek    1                       223195437.45         37936139.67         27642372.38         17385139.57
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  223195437.45         37936139.67         27642372.38         17385139.57
LowerReek  1                       135309446.93         24647816.07         18984434.32         11939895.60
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  135309446.93         24647816.07         18984434.32         11939895.60
Totals     1                       640577483.92        108507223.47         81585404.87         51311574.53
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  640577483.92        108507223.47         81585404.87         51311574.53
