Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:24:12
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       282039014.60         45882230.56         34838408.56         21910948.41
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  282039014.60         45882230.56         34838408.56         21910948.41
MidReek    1                       223207669.68         37911556.02         27494257.63         17291985.64
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  223207669.68         37911556.02         27494257.63         17291985.64
LowerReek  1                       135383952.00         24681381.22         18846620.60         11853220.30
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  135383952.00         24681381.22         18846620.60         11853220.30
Totals     1                       640630636.28        108475167.81         81179286.78         51056154.34
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  640630636.28        108475167.81         81179286.78         51056154.34
