PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
PERM,LowerReek,Dorne,Background,7.48492,,100.0,0.065584145,0.9899264,17.099823,10.035292,geogrid,geogrid
PORO,LowerReek,Dorne,Background,0.08625949,,0.24854392,0.0,0.023368837,0.14686504,0.046138793,geogrid,geogrid
SW,LowerReek,Dorne,Background,0.9996579,,1.0,0.0,1.0,1.0,0.01833227,geogrid,geogrid
PERM,LowerReek,Dorne,Channel,3156.8665,,10000.0,34.054256,461.6541,8658.475,2918.588,geogrid,geogrid
PORO,LowerReek,Dorne,Channel,0.25126433,,0.43153906,0.062416494,0.18834111,0.31234,0.049034137,geogrid,geogrid
SW,LowerReek,Dorne,Channel,0.9721533,,1.0,0.08917229,1.0,1.0,0.1392242,geogrid,geogrid
PERM,LowerReek,Dorne,Crevasse,175.30234,,1000.0,1.651079,21.114845,434.73117,213.32559,geogrid,geogrid
PORO,LowerReek,Dorne,Crevasse,0.20423755,,0.39796224,0.040447608,0.14187776,0.26935744,0.049909245,geogrid,geogrid
SW,LowerReek,Dorne,Crevasse,0.9872991,,1.0,0.198414,1.0,1.0,0.08174769,geogrid,geogrid
PERM,LowerReek,IronIslands,Background,9.376187,,100.0,0.15209697,1.1891135,22.179026,12.9713,geogrid,geogrid
PORO,LowerReek,IronIslands,Background,0.09120467,,0.2579237,0.0,0.028729787,0.15436567,0.047391362,geogrid,geogrid
SW,LowerReek,IronIslands,Background,0.64874274,,1.0,0.0,0.28648892,1.0,0.30828238,geogrid,geogrid
PERM,LowerReek,IronIslands,Channel,2843.459,,10000.0,38.58921,441.44968,7580.9697,2788.601,geogrid,geogrid
PORO,LowerReek,IronIslands,Channel,0.24482061,,0.42007232,0.068012744,0.18253168,0.3088305,0.049125776,geogrid,geogrid
SW,LowerReek,IronIslands,Channel,0.4027557,,1.0,0.018473657,0.033729166,1.0,0.44321978,geogrid,geogrid
PERM,LowerReek,IronIslands,Crevasse,147.13663,,1000.0,1.4217511,18.688805,352.83176,191.60991,geogrid,geogrid
PORO,LowerReek,IronIslands,Crevasse,0.19206811,,0.397067,0.009769231,0.12826358,0.25602144,0.05102052,geogrid,geogrid
SW,LowerReek,IronIslands,Crevasse,0.50874746,,1.0,0.048928805,0.099218026,1.0,0.4106942,geogrid,geogrid
PERM,LowerReek,North,Background,13.039014,,100.0,0.048557896,1.6716368,30.251453,16.39988,geogrid,geogrid
PORO,LowerReek,North,Background,0.10664807,,0.2996177,0.0,0.044467025,0.16868934,0.048372794,geogrid,geogrid
SW,LowerReek,North,Background,0.9931431,,1.0,0.0,1.0,1.0,0.062470037,geogrid,geogrid
PERM,LowerReek,North,Channel,3002.814,,10000.0,21.452868,435.39996,8420.357,2910.7454,geogrid,geogrid
PORO,LowerReek,North,Channel,0.2489919,,0.42832038,0.059882328,0.18626496,0.31355488,0.04913243,geogrid,geogrid
SW,LowerReek,North,Channel,0.99333936,,1.0,0.024074193,1.0,1.0,0.079194985,geogrid,geogrid
PERM,LowerReek,North,Crevasse,189.26346,,1000.0,2.4034486,24.142673,471.59714,221.29593,geogrid,geogrid
PORO,LowerReek,North,Crevasse,0.20495968,,0.41823635,0.044859394,0.14137179,0.2694164,0.050138596,geogrid,geogrid
SW,LowerReek,North,Crevasse,0.9944366,,1.0,0.063695684,1.0,1.0,0.06791794,geogrid,geogrid
PERM,LowerReek,Reach,Background,8.343303,,100.0,0.08871343,1.1526344,19.138779,10.379808,geogrid,geogrid
PORO,LowerReek,Reach,Background,0.09329942,,0.24637341,0.0,0.031679373,0.15434703,0.04625533,geogrid,geogrid
SW,LowerReek,Reach,Background,0.874295,,1.0,0.0,0.51746935,1.0,0.21968995,geogrid,geogrid
PERM,LowerReek,Reach,Channel,3279.3909,,10000.0,21.545877,430.98062,9623.743,3072.9753,geogrid,geogrid
PORO,LowerReek,Reach,Channel,0.25037372,,0.45107958,0.029937133,0.18279734,0.31817186,0.052335616,geogrid,geogrid
SW,LowerReek,Reach,Channel,0.4812774,,1.0,0.02423689,0.05181919,1.0,0.44297156,geogrid,geogrid
PERM,LowerReek,Reach,Crevasse,166.97195,,1000.0,2.0826213,23.793518,387.60367,198.34547,geogrid,geogrid
PORO,LowerReek,Reach,Crevasse,0.19934681,,0.3760311,0.035405114,0.13533163,0.26155013,0.048938792,geogrid,geogrid
SW,LowerReek,Reach,Crevasse,0.6048965,,1.0,0.060140662,0.1539944,1.0,0.37684625,geogrid,geogrid
PERM,LowerReek,Stormlands,Background,14.967798,,100.0,0.49240604,1.3532518,37.80701,17.628002,geogrid,geogrid
PORO,LowerReek,Stormlands,Background,0.10811616,,0.22678928,0.0,0.033278205,0.17604844,0.053602237,geogrid,geogrid
SW,LowerReek,Stormlands,Background,0.2655522,,0.69565934,0.0,0.16740602,0.39798394,0.106971145,geogrid,geogrid
PERM,LowerReek,Stormlands,Channel,2845.5142,,10000.0,46.236977,400.3094,7964.8164,2819.4526,geogrid,geogrid
PORO,LowerReek,Stormlands,Channel,0.24922182,,0.414362,0.0660955,0.18466797,0.31564307,0.05143865,geogrid,geogrid
SW,LowerReek,Stormlands,Channel,0.04305536,,0.13913825,0.018191457,0.024797343,0.06601736,0.016732238,geogrid,geogrid
PERM,LowerReek,Stormlands,Crevasse,158.66464,,1000.0,2.139151,13.196835,439.39908,225.48991,geogrid,geogrid
