DEPTH,CONIDX,CONBPRES,PRESSURE,WELL,CONKPOS,WELLMODEL,DRAWDOWN,DATE,CONJPOS,SGAS,SWAT,CONIPOS
1651.7703857421875,6,301.45941162109375,301.45941162109375,R_A2,6,STANDARD,0,2018-01-01,30,0.0,0.3119284212589264,22
1653.522705078125,7,301.5769348144531,301.5769348144531,R_A2,7,STANDARD,0,2018-01-01,30,0.0,0.8971714973449707,22
1655.2750244140625,8,301.6944580078125,301.6944580078125,R_A2,8,STANDARD,0,2018-01-01,30,0.0,0.8718827366828918,22
1657.02734375,9,301.8119812011719,301.8119812011719,R_A2,9,STANDARD,0,2018-01-01,30,0.0,0.8878750801086426,22
1658.7796630859375,10,301.9295349121094,301.9295349121094,R_A2,10,STANDARD,0,2018-01-01,30,0.0,0.9020323157310486,22
1660.6611328125,11,302.05572509765625,302.05572509765625,R_A2,11,STANDARD,0,2018-01-01,30,0.0,0.07492231577634811,22
1662.671875,12,302.1905822753906,302.1905822753906,R_A2,12,STANDARD,0,2018-01-01,30,0.0,0.13153287768363953,22
1664.6824951171875,13,302.3254699707031,302.3254699707031,R_A2,13,STANDARD,0,2018-01-01,30,0.0,0.44957244396209717,22
1666.6932373046875,14,302.4603576660156,302.4603576660156,R_A2,14,STANDARD,0,2018-01-01,30,0.0,0.49542972445487976,22
1668.7039794921875,15,302.5952453613281,302.5952453613281,R_A2,15,STANDARD,0,2018-01-01,30,0.0,0.9359704852104187,22
1670.714599609375,16,302.7301330566406,302.7301330566406,R_A2,16,STANDARD,0,2018-01-01,30,0.0,0.9663037061691284,22
1672.725341796875,17,302.8650207519531,302.8650207519531,R_A2,17,STANDARD,0,2018-01-01,30,0.0,0.915518581867218,22
1673.282958984375,18,302.9024353027344,302.9024353027344,R_A2,17,STANDARD,0,2018-01-01,29,0.0,0.9558455348014832,22
1675.223388671875,19,303.0326232910156,303.0326232910156,R_A2,18,STANDARD,0,2018-01-01,29,0.0,0.9882568120956421,22
1676.274169921875,20,303.1031188964844,303.1031188964844,R_A2,19,STANDARD,0,2018-01-01,29,0.0,0.9942606687545776,22
1677.30322265625,21,303.1721496582031,303.1721496582031,R_A2,28,STANDARD,0,2018-01-01,29,0.0,0.3326479196548462,22
1679.0888671875,22,303.2919616699219,303.2919616699219,R_A2,29,STANDARD,0,2018-01-01,29,0.0,0.6481541991233826,22
1680.87451171875,23,303.75640869140625,303.75640869140625,R_A2,30,STANDARD,0,2018-01-01,29,0.0,1.0,22
1682.6602783203125,24,303.9256286621094,303.9256286621094,R_A2,31,STANDARD,0,2018-01-01,29,0.0,1.0,22
1684.446044921875,25,304.0948486328125,304.0948486328125,R_A2,32,STANDARD,0,2018-01-01,29,0.0,1.0,22
1609.484130859375,1,298.6244812011719,298.6244812011719,R_A3,1,STANDARD,0,2018-01-01,41,0.0,0.6481541991233826,28
1611.5621337890625,2,298.76373291015625,298.76373291015625,R_A3,2,STANDARD,0,2018-01-01,41,0.0,0.1736086905002594,28
1613.6400146484375,3,298.90301513671875,298.90301513671875,R_A3,3,STANDARD,0,2018-01-01,41,0.0,0.11823459714651108,28
1615.7178955078125,4,299.0422668457031,299.0422668457031,R_A3,4,STANDARD,0,2018-01-01,41,0.0,0.1680709421634674,28
1617.7958984375,5,299.1815490722656,299.1815490722656,R_A3,5,STANDARD,0,2018-01-01,41,0.0,0.1886904537677765,28
1607.75,6,298.50823974609375,298.50823974609375,R_A3,5,STANDARD,0,2018-01-01,41,0.0,0.24323001503944397,29
1609.78564453125,7,298.6446838378906,298.6446838378906,R_A3,6,STANDARD,0,2018-01-01,41,0.0,0.20196467638015747,29
1611.8212890625,8,298.7810974121094,298.7810974121094,R_A3,7,STANDARD,0,2018-01-01,41,0.0,0.19531884789466858,29
1613.8570556640625,9,298.91754150390625,298.91754150390625,R_A3,8,STANDARD,0,2018-01-01,41,0.0,0.19784997403621674,29
1615.892822265625,10,299.0539855957031,299.0539855957031,R_A3,9,STANDARD,0,2018-01-01,41,0.0,0.7918547987937927,29
1617.928466796875,11,299.1904296875,299.1904296875,R_A3,10,STANDARD,0,2018-01-01,41,0.0,0.3010677993297577,29
1620.0645751953125,12,299.3336181640625,299.3336181640625,R_A3,11,STANDARD,0,2018-01-01,41,0.0,0.04726990684866905,29
1622.3009033203125,13,299.4835205078125,299.4835205078125,R_A3,12,STANDARD,0,2018-01-01,41,0.0,0.05289437621831894,29
1624.5372314453125,14,299.6334228515625,299.6334228515625,R_A3,13,STANDARD,0,2018-01-01,41,0.0,0.36636707186698914,29
1626.773681640625,15,299.7833557128906,299.7833557128906,R_A3,14,STANDARD,0,2018-01-01,41,0.0,0.36683207750320435,29
1629.010009765625,16,299.9332580566406,299.9332580566406,R_A3,15,STANDARD,0,2018-01-01,41,0.0,0.601466715335846,29
1630.96044921875,17,300.06402587890625,300.06402587890625,R_A3,16,STANDARD,0,2018-01-01,41,0.0,0.8081639409065247,29
1633.6773681640625,18,300.2461853027344,300.2461853027344,R_A3,28,STANDARD,0,2018-01-01,41,0.0,0.14726139605045319,29
1637.3043212890625,19,300.4893493652344,300.4893493652344,R_A3,29,STANDARD,0,2018-01-01,41,0.0,0.045797042548656464,29
1640.931396484375,20,300.7325439453125,300.7325439453125,R_A3,30,STANDARD,0,2018-01-01,41,0.0,0.04471616819500923,29
1644.558349609375,21,300.97576904296875,300.97576904296875,R_A3,31,STANDARD,0,2018-01-01,41,0.0,0.137130007147789,29
1648.185302734375,22,301.218994140625,301.218994140625,R_A3,32,STANDARD,0,2018-01-01,41,0.0,0.062446072697639465,29
1632.18017578125,1,300.14581298828125,300.14581298828125,R_A4,1,STANDARD,0,2018-01-01,52,0.0,0.05002778023481369,30
1627.1138916015625,2,299.80615234375,299.80615234375,R_A4,1,STANDARD,0,2018-01-01,52,0.0,0.04761851578950882,31
1629.208984375,3,299.9466247558594,299.9466247558594,R_A4,2,STANDARD,0,2018-01-01,52,0.0,0.05002208054065704,31
1631.303955078125,4,300.0870666503906,300.0870666503906,R_A4,3,STANDARD,0,2018-01-01,52,0.0,0.05267372354865074,31
1633.3990478515625,5,300.2275390625,300.2275390625,R_A4,4,STANDARD,0,2018-01-01,52,0.0,0.054372482001781464,31
1631.1435546875,6,300.0762939453125,300.0762939453125,R_A4,4,STANDARD,0,2018-01-01,52,0.0,0.05332460254430771,32
1633.0694580078125,7,300.2054138183594,300.2054138183594,R_A4,5,STANDARD,0,2018-01-01,52,0.0,0.05398150160908699,32
1636.806640625,8,300.45599365234375,300.45599365234375,R_A4,5,STANDARD,0,2018-01-01,51,0.0,0.10586314648389816,32
1636.220458984375,9,300.41668701171875,300.41668701171875,R_A4,5,STANDARD,0,2018-01-01,51,0.0,0.058687593787908554,33
1638.066650390625,10,300.54046630859375,300.54046630859375,R_A4,6,STANDARD,0,2018-01-01,51,0.0,0.05823993682861328,33
1644.6392822265625,11,300.981201171875,300.981201171875,R_A4,6,STANDARD,0,2018-01-01,50,0.0,0.061600711196660995,33
1642.843994140625,12,300.8608093261719,300.8608093261719,R_A4,5,STANDARD,0,2018-01-01,50,0.0,0.06331909447908401,33
1641.755859375,13,300.787841796875,300.787841796875,R_A4,5,STANDARD,0,2018-01-01,50,0.0,0.06245579943060875,34
1639.93798828125,14,300.66595458984375,300.66595458984375,R_A4,4,STANDARD,0,2018-01-01,50,0.0,0.06168796122074127,34
1638.1201171875,15,300.5440673828125,300.5440673828125,R_A4,3,STANDARD,0,2018-01-01,50,0.0,0.11879948526620865,34
1640.552001953125,16,300.7071228027344,300.7071228027344,R_A4,3,STANDARD,0,2018-01-01,50,0.0,0.1004367545247078,35
1638.734130859375,17,300.5852355957031,300.5852355957031,R_A4,2,STANDARD,0,2018-01-01,50,0.0,0.17863008379936218,35
1640.134033203125,18,300.6791076660156,300.6791076660156,R_A4,31,STANDARD,0,2018-01-01,49,0.0,0.05553428828716278,35
1643.759521484375,19,300.9222106933594,300.9222106933594,R_A4,31,STANDARD,0,2018-01-01,49,0.0,0.22794657945632935,36
1642.538330078125,20,300.8403015136719,300.8403015136719,R_A4,31,STANDARD,0,2018-01-01,48,0.0,0.34219488501548767,36
1647.5093994140625,21,301.1736755371094,301.1736755371094,R_A4,31,STANDARD,0,2018-01-01,48,0.0,0.8443953990936279,37
1652.9786376953125,22,301.54046630859375,301.54046630859375,R_A4,31,STANDARD,0,2018-01-01,48,0.0,1.0,38
1657.7396240234375,23,301.8597717285156,301.8597717285156,R_A4,31,STANDARD,0,2018-01-01,47,0.0,1.0,38
1684.173828125,1,303.7632751464844,303.7632751464844,R_A5,1,STANDARD,0,2018-01-01,20,0.0,1.0,31
1686.3055419921875,2,303.96527099609375,303.96527099609375,R_A5,2,STANDARD,0,2018-01-01,20,0.0,1.0,31
1688.437255859375,3,304.16729736328125,304.16729736328125,R_A5,3,STANDARD,0,2018-01-01,20,0.0,1.0,31
1690.5689697265625,4,304.3692932128906,304.3692932128906,R_A5,4,STANDARD,0,2018-01-01,20,0.0,1.0,31
1692.70068359375,5,304.5713195800781,304.5713195800781,R_A5,5,STANDARD,0,2018-01-01,20,0.0,1.0,31
1694.83251953125,6,304.7733459472656,304.7733459472656,R_A5,6,STANDARD,0,2018-01-01,20,0.0,1.0,31
1696.9642333984375,7,305.2811279296875,305.2811279296875,R_A5,7,STANDARD,0,2018-01-01,20,0.0,1.0,31
1699.095947265625,8,305.483154296875,305.483154296875,R_A5,8,STANDARD,0,2018-01-01,20,0.0,1.0,31
1696.3289794921875,9,305.220947265625,305.220947265625,R_A5,9,STANDARD,0,2018-01-01,21,0.0,1.0,31
1700.88232421875,10,305.3468017578125,305.3468017578125,R_A5,11,STANDARD,0,2018-01-01,21,0.0,1.0,31
1702.8389892578125,11,305.5322265625,305.5322265625,R_A5,12,STANDARD,0,2018-01-01,21,0.0,1.0,31
1704.7955322265625,12,305.7296142578125,305.7296142578125,R_A5,13,STANDARD,0,2018-01-01,21,0.0,1.0,31
1706.752197265625,13,305.9150390625,305.9150390625,R_A5,14,STANDARD,0,2018-01-01,21,0.0,1.0,31
1708.708740234375,14,306.1004638671875,306.1004638671875,R_A5,15,STANDARD,0,2018-01-01,21,0.0,1.0,31
1710.6654052734375,15,306.430908203125,306.430908203125,R_A5,16,STANDARD,0,2018-01-01,21,0.0,1.0,31
1712.6219482421875,16,306.6163330078125,306.6163330078125,R_A5,17,STANDARD,0,2018-01-01,21,0.0,1.0,31
1714.388671875,17,306.7837829589844,306.7837829589844,R_A5,18,STANDARD,0,2018-01-01,21,0.0,1.0,31
1715.41845703125,18,306.8813781738281,306.8813781738281,R_A5,19,STANDARD,0,2018-01-01,21,0.0,1.0,31
1716.8189697265625,19,306.8570251464844,306.8570251464844,R_A5,28,STANDARD,0,2018-01-01,21,0.0,1.0,31
