PRESSURE,CONKPOS,WELL,DRAWDOWN,DATE,CONIDX,CONIPOS,SGAS,CONBPRES,DEPTH,SWAT,CONJPOS,WELLMODEL
301.9580993652344,11,R_A2,0,2018-01-01,11,22,0.0,301.9580993652344,1660.9046630859375,0.08323079347610474,30,STANDARD
302.0908203125,12,R_A2,0,2018-01-01,12,22,0.0,302.0908203125,1662.883544921875,0.08736779540777206,30,STANDARD
302.22357177734375,13,R_A2,0,2018-01-01,13,22,0.0,302.22357177734375,1664.8623046875,0.487756609916687,30,STANDARD
302.3563232421875,14,R_A2,0,2018-01-01,14,22,0.0,302.3563232421875,1666.8411865234375,0.5466930866241455,30,STANDARD
302.4890441894531,15,R_A2,0,2018-01-01,15,22,0.0,302.4890441894531,1668.820068359375,0.7353753447532654,30,STANDARD
302.6217956542969,16,R_A2,0,2018-01-01,16,22,0.0,302.6217956542969,1670.7989501953125,0.9978572726249695,30,STANDARD
302.6429443359375,16,R_A2,0,2018-01-01,17,22,0.0,302.6429443359375,1671.11376953125,1.0,29,STANDARD
302.781494140625,17,R_A2,0,2018-01-01,18,22,0.0,302.781494140625,1673.17919921875,1.0,29,STANDARD
302.91754150390625,18,R_A2,0,2018-01-01,19,22,0.0,302.91754150390625,1675.207275390625,1.0,29,STANDARD
303.4179382324219,25,R_A2,0,2018-01-01,20,22,0.0,303.4179382324219,1677.302490234375,1.0,29,STANDARD
303.5855407714844,26,R_A2,0,2018-01-01,21,22,0.0,303.5855407714844,1679.0711669921875,1.0,29,STANDARD
303.7531433105469,27,R_A2,0,2018-01-01,22,22,0.0,303.7531433105469,1680.83984375,1.0,29,STANDARD
303.9207458496094,28,R_A2,0,2018-01-01,23,22,0.0,303.9207458496094,1682.6085205078125,1.0,29,STANDARD
304.0883483886719,29,R_A2,0,2018-01-01,24,22,0.0,304.0883483886719,1684.377197265625,1.0,29,STANDARD
298.71142578125,1,R_A3,0,2018-01-01,1,28,0.0,298.71142578125,1612.480712890625,0.6481541991233826,41,STANDARD
298.85650634765625,2,R_A3,0,2018-01-01,2,28,0.0,298.85650634765625,1614.6453857421875,0.29326778650283813,41,STANDARD
299.0016174316406,3,R_A3,0,2018-01-01,3,28,0.0,299.0016174316406,1616.8101806640625,0.2028300166130066,41,STANDARD
299.1466979980469,4,R_A3,0,2018-01-01,4,28,0.0,299.1466979980469,1618.974853515625,0.3823496401309967,41,STANDARD
299.29180908203125,5,R_A3,0,2018-01-01,5,28,0.0,299.29180908203125,1621.1395263671875,0.8367684483528137,41,STANDARD
298.073974609375,5,R_A3,0,2018-01-01,6,29,0.0,298.073974609375,1602.96826171875,0.8198596239089966,41,STANDARD
298.22686767578125,6,R_A3,0,2018-01-01,7,29,0.0,298.22686767578125,1605.25,0.6481541991233826,41,STANDARD
298.3797607421875,7,R_A3,0,2018-01-01,8,29,0.0,298.3797607421875,1607.5316162109375,0.1943311095237732,41,STANDARD
