CONKPOS,CONJPOS,CONIPOS,DEPTH,CONBPRES,SWAT,CONIDX,WELLMODEL,PRESSURE,SGAS,DRAWDOWN,WELL,DATE
1,30,22,1641.094970703125,300.6733093261719,0.056692592799663544,1,STANDARD,300.6733093261719,0.0,0,R_A2,2018-01-01
2,30,22,1642.8890380859375,300.7936096191406,0.05867929756641388,2,STANDARD,300.7936096191406,0.0,0,R_A2,2018-01-01
3,30,22,1644.68310546875,300.9139099121094,0.061895012855529785,3,STANDARD,300.9139099121094,0.0,0,R_A2,2018-01-01
4,30,22,1646.4771728515625,301.0342102050781,0.06773295253515244,4,STANDARD,301.0342102050781,0.0,0,R_A2,2018-01-01
5,30,22,1648.2713623046875,301.1545104980469,0.07102545350790024,5,STANDARD,301.1545104980469,0.0,0,R_A2,2018-01-01
6,30,22,1650.0654296875,301.27484130859375,0.32000941038131714,6,STANDARD,301.27484130859375,0.0,0,R_A2,2018-01-01
7,30,22,1651.859619140625,301.3951721191406,0.8964528441429138,7,STANDARD,301.3951721191406,0.0,0,R_A2,2018-01-01
8,30,22,1653.6536865234375,301.5154724121094,0.721605658531189,8,STANDARD,301.5154724121094,0.0,0,R_A2,2018-01-01
9,30,22,1655.44775390625,301.63580322265625,0.8981422781944275,9,STANDARD,301.63580322265625,0.0,0,R_A2,2018-01-01
10,30,22,1657.2418212890625,301.7561340332031,0.9288972020149231,10,STANDARD,301.7561340332031,0.0,0,R_A2,2018-01-01
11,30,22,1659.1368408203125,301.88323974609375,0.0764261856675148,11,STANDARD,301.88323974609375,0.0,0,R_A2,2018-01-01
12,30,22,1661.132568359375,302.01708984375,0.07991793006658554,12,STANDARD,302.01708984375,0.0,0,R_A2,2018-01-01
13,30,22,1663.12841796875,302.1509704589844,0.44190388917922974,13,STANDARD,302.1509704589844,0.0,0,R_A2,2018-01-01
14,30,22,1665.1241455078125,302.28485107421875,0.5030866861343384,14,STANDARD,302.28485107421875,0.0,0,R_A2,2018-01-01
15,30,22,1667.1199951171875,302.4187316894531,0.6875477433204651,15,STANDARD,302.4187316894531,0.0,0,R_A2,2018-01-01
16,30,22,1669.11572265625,302.5526123046875,0.9696621894836426,16,STANDARD,302.5526123046875,0.0,0,R_A2,2018-01-01
17,30,22,1671.111572265625,302.6864929199219,0.9681722521781921,17,STANDARD,302.6864929199219,0.0,0,R_A2,2018-01-01
18,30,22,1672.9881591796875,302.8123779296875,0.988319993019104,18,STANDARD,302.8123779296875,0.0,0,R_A2,2018-01-01
18,29,22,1674.229736328125,302.89569091796875,0.9956573843955994,19,STANDARD,302.89569091796875,0.0,0,R_A2,2018-01-01
27,29,22,1676.1676025390625,303.02569580078125,1.0,20,STANDARD,303.02569580078125,0.0,0,R_A2,2018-01-01
28,29,22,1677.9368896484375,303.47802734375,1.0,21,STANDARD,303.47802734375,0.0,0,R_A2,2018-01-01
29,29,22,1679.7061767578125,303.64569091796875,1.0,22,STANDARD,303.64569091796875,0.0,0,R_A2,2018-01-01
30,29,22,1681.4754638671875,303.8133544921875,1.0,23,STANDARD,303.8133544921875,0.0,0,R_A2,2018-01-01
31,29,22,1683.2447509765625,303.98101806640625,1.0,24,STANDARD,303.98101806640625,0.0,0,R_A2,2018-01-01
1,41,28,1609.243408203125,298.53814697265625,0.6481541991233826,1,STANDARD,298.53814697265625,0.0,0,R_A3,2018-01-01
2,41,28,1611.3077392578125,298.676513671875,0.19344687461853027,2,STANDARD,298.676513671875,0.0,0,R_A3,2018-01-01
3,41,28,1613.3720703125,298.8148498535156,0.19432701170444489,3,STANDARD,298.8148498535156,0.0,0,R_A3,2018-01-01
4,41,28,1615.4365234375,298.9532165527344,0.24996744096279144,4,STANDARD,298.9532165527344,0.0,0,R_A3,2018-01-01
5,41,28,1617.5008544921875,299.0915832519531,0.6481541991233826,5,STANDARD,299.0915832519531,0.0,0,R_A3,2018-01-01
6,41,28,1619.565185546875,299.2299499511719,0.1498473584651947,6,STANDARD,299.2299499511719,0.0,0,R_A3,2018-01-01
6,41,29,1609.3663330078125,298.54638671875,0.2754424512386322,7,STANDARD,298.54638671875,0.0,0,R_A3,2018-01-01
7,41,29,1611.4163818359375,298.68377685546875,0.19882161915302277,8,STANDARD,298.68377685546875,0.0,0,R_A3,2018-01-01
8,41,29,1613.46630859375,298.8211669921875,0.1460786610841751,9,STANDARD,298.8211669921875,0.0,0,R_A3,2018-01-01
9,41,29,1615.516357421875,298.95855712890625,0.6481541991233826,10,STANDARD,298.95855712890625,0.0,0,R_A3,2018-01-01
10,41,29,1617.5662841796875,299.095947265625,0.8030344843864441,11,STANDARD,299.095947265625,0.0,0,R_A3,2018-01-01
11,41,29,1619.750732421875,299.24237060546875,0.04831019043922424,12,STANDARD,299.24237060546875,0.0,0,R_A3,2018-01-01
12,41,29,1622.0697021484375,299.3978271484375,0.053891588002443314,13,STANDARD,299.3978271484375,0.0,0,R_A3,2018-01-01
13,41,29,1624.388671875,299.5532531738281,0.37262097001075745,14,STANDARD,299.5532531738281,0.0,0,R_A3,2018-01-01
14,41,29,1626.707763671875,299.7087097167969,0.3456023037433624,15,STANDARD,299.7087097167969,0.0,0,R_A3,2018-01-01
15,41,29,1629.026611328125,299.8641662597656,0.49332767724990845,16,STANDARD,299.8641662597656,0.0,0,R_A3,2018-01-01
16,41,29,1630.9468994140625,299.992919921875,0.8019264936447144,17,STANDARD,299.992919921875,0.0,0,R_A3,2018-01-01
27,41,29,1633.5262451171875,300.16583251953125,0.6481541991233826,18,STANDARD,300.16583251953125,0.0,0,R_A3,2018-01-01
28,41,29,1637.1630859375,300.40966796875,0.04582946002483368,19,STANDARD,300.40966796875,0.0,0,R_A3,2018-01-01
29,41,29,1640.8001708984375,300.6535339355469,0.05228268727660179,20,STANDARD,300.6535339355469,0.0,0,R_A3,2018-01-01
30,41,29,1644.4371337890625,300.89739990234375,0.6481541991233826,21,STANDARD,300.89739990234375,0.0,0,R_A3,2018-01-01
31,41,29,1648.0740966796875,301.14129638671875,0.06127921864390373,22,STANDARD,301.14129638671875,0.0,0,R_A3,2018-01-01
1,52,30,1631.1873779296875,300.009033203125,0.05178655683994293,1,STANDARD,300.009033203125,0.0,0,R_A4,2018-01-01
1,52,31,1627.4293212890625,299.7571105957031,0.050683874636888504,2,STANDARD,299.7571105957031,0.0,0,R_A4,2018-01-01
2,52,31,1629.4896240234375,299.89520263671875,0.051592472940683365,3,STANDARD,299.89520263671875,0.0,0,R_A4,2018-01-01
3,52,31,1631.5498046875,300.0333251953125,0.053491584956645966,4,STANDARD,300.0333251953125,0.0,0,R_A4,2018-01-01
4,52,31,1633.610107421875,300.17144775390625,0.6481541991233826,5,STANDARD,300.17144775390625,0.0,0,R_A4,2018-01-01
4,52,32,1632.3968505859375,300.0901184082031,0.05713524669408798,6,STANDARD,300.0901184082031,0.0,0,R_A4,2018-01-01
4,51,32,1635.880615234375,300.3236999511719,0.6481541991233826,7,STANDARD,300.3236999511719,0.0,0,R_A4,2018-01-01
4,51,33,1637.321044921875,300.4202575683594,0.6481541991233826,8,STANDARD,300.4202575683594,0.0,0,R_A4,2018-01-01
3,51,33,1635.474609375,300.29644775390625,0.05947340279817581,9,STANDARD,300.29644775390625,0.0,0,R_A4,2018-01-01
4,50,33,1642.1485595703125,300.74395751953125,0.6481541991233826,10,STANDARD,300.74395751953125,0.0,0,R_A4,2018-01-01
4,50,34,1641.132080078125,300.67578125,0.09878486394882202,11,STANDARD,300.67578125,0.0,0,R_A4,2018-01-01
3,50,34,1639.20703125,300.5467224121094,0.15478037297725677,12,STANDARD,300.5467224121094,0.0,0,R_A4,2018-01-01
3,50,35,1640.9061279296875,300.66064453125,0.2293243557214737,13,STANDARD,300.66064453125,0.0,0,R_A4,2018-01-01
2,50,35,1639.0426025390625,300.53570556640625,0.2288455367088318,14,STANDARD,300.53570556640625,0.0,0,R_A4,2018-01-01
2,49,35,1641.93212890625,300.72943115234375,0.24109753966331482,15,STANDARD,300.72943115234375,0.0,0,R_A4,2018-01-01
30,49,36,1642.357421875,300.7579650878906,0.05171753093600273,16,STANDARD,300.7579650878906,0.0,0,R_A4,2018-01-01
30,48,36,1639.6068115234375,300.5735168457031,0.194771870970726,17,STANDARD,300.5735168457031,0.0,0,R_A4,2018-01-01
30,48,37,1646.7513427734375,301.0526123046875,0.09849477559328079,18,STANDARD,301.0526123046875,0.0,0,R_A4,2018-01-01
30,48,38,1653.461669921875,301.5025939941406,0.10194094479084015,19,STANDARD,301.5025939941406,0.0,0,R_A4,2018-01-01
30,47,38,1657.8184814453125,301.7947998046875,0.11428860574960709,20,STANDARD,301.7947998046875,0.0,0,R_A4,2018-01-01
1,20,31,1685.026611328125,303.8440856933594,1.0,1,STANDARD,303.8440856933594,0.0,0,R_A5,2018-01-01
2,20,31,1687.3070068359375,304.0601806640625,1.0,2,STANDARD,304.0601806640625,0.0,0,R_A5,2018-01-01
3,20,31,1689.5875244140625,304.58209228515625,1.0,3,STANDARD,304.58209228515625,0.0,0,R_A5,2018-01-01
4,20,31,1691.8680419921875,304.4924011230469,1.0,4,STANDARD,304.4924011230469,0.0,0,R_A5,2018-01-01
5,20,31,1694.1485595703125,304.7085266113281,1.0,5,STANDARD,304.7085266113281,0.0,0,R_A5,2018-01-01
6,20,31,1696.4290771484375,304.9246520996094,1.0,6,STANDARD,304.9246520996094,0.0,0,R_A5,2018-01-01
