CONBPRES,CONJPOS,SWAT,PRESSURE,WELL,CONKPOS,CONIDX,CONIPOS,SGAS,WELLMODEL,DRAWDOWN,DATE,DEPTH
300.6733093261719,30,0.05673010274767876,300.6733093261719,R_A2,1,1,22,0.0,STANDARD,0,2018-01-01,1641.094970703125
300.7936096191406,30,0.05777252838015556,300.7936096191406,R_A2,2,2,22,0.0,STANDARD,0,2018-01-01,1642.8890380859375
300.9139099121094,30,0.060030754655599594,300.9139099121094,R_A2,3,3,22,0.0,STANDARD,0,2018-01-01,1644.68310546875
301.0342102050781,30,0.06766234338283539,301.0342102050781,R_A2,4,4,22,0.0,STANDARD,0,2018-01-01,1646.4771728515625
301.1545104980469,30,0.06880508363246918,301.1545104980469,R_A2,5,5,22,0.0,STANDARD,0,2018-01-01,1648.2713623046875
301.27484130859375,30,0.31025803089141846,301.27484130859375,R_A2,6,6,22,0.0,STANDARD,0,2018-01-01,1650.0654296875
301.3951721191406,30,0.891412079334259,301.3951721191406,R_A2,7,7,22,0.0,STANDARD,0,2018-01-01,1651.859619140625
301.5154724121094,30,0.8774909377098083,301.5154724121094,R_A2,8,8,22,0.0,STANDARD,0,2018-01-01,1653.6536865234375
301.63580322265625,30,0.9038383364677429,301.63580322265625,R_A2,9,9,22,0.0,STANDARD,0,2018-01-01,1655.44775390625
301.7561340332031,30,0.9149646162986755,301.7561340332031,R_A2,10,10,22,0.0,STANDARD,0,2018-01-01,1657.2418212890625
301.88323974609375,30,0.07614300400018692,301.88323974609375,R_A2,11,11,22,0.0,STANDARD,0,2018-01-01,1659.1368408203125
302.01708984375,30,0.07716154307126999,302.01708984375,R_A2,12,12,22,0.0,STANDARD,0,2018-01-01,1661.132568359375
302.1509704589844,30,0.4616602957248688,302.1509704589844,R_A2,13,13,22,0.0,STANDARD,0,2018-01-01,1663.12841796875
302.28485107421875,30,0.5056487321853638,302.28485107421875,R_A2,14,14,22,0.0,STANDARD,0,2018-01-01,1665.1241455078125
302.4187316894531,30,0.6890329718589783,302.4187316894531,R_A2,15,15,22,0.0,STANDARD,0,2018-01-01,1667.1199951171875
302.5526123046875,30,0.9704177379608154,302.5526123046875,R_A2,16,16,22,0.0,STANDARD,0,2018-01-01,1669.11572265625
302.6864929199219,30,0.949622392654419,302.6864929199219,R_A2,17,17,22,0.0,STANDARD,0,2018-01-01,1671.111572265625
302.8123779296875,30,0.9828952550888062,302.8123779296875,R_A2,18,18,22,0.0,STANDARD,0,2018-01-01,1672.9881591796875
302.89569091796875,29,0.9966256022453308,302.89569091796875,R_A2,18,19,22,0.0,STANDARD,0,2018-01-01,1674.229736328125
303.02569580078125,29,1.0,303.02569580078125,R_A2,27,20,22,0.0,STANDARD,0,2018-01-01,1676.1676025390625
303.47802734375,29,1.0,303.47802734375,R_A2,28,21,22,0.0,STANDARD,0,2018-01-01,1677.9368896484375
303.64569091796875,29,1.0,303.64569091796875,R_A2,29,22,22,0.0,STANDARD,0,2018-01-01,1679.7061767578125
303.8133544921875,29,1.0,303.8133544921875,R_A2,30,23,22,0.0,STANDARD,0,2018-01-01,1681.4754638671875
303.98101806640625,29,1.0,303.98101806640625,R_A2,31,24,22,0.0,STANDARD,0,2018-01-01,1683.2447509765625
298.53814697265625,41,0.6481541991233826,298.53814697265625,R_A3,1,1,28,0.0,STANDARD,0,2018-01-01,1609.243408203125
298.676513671875,41,0.19717952609062195,298.676513671875,R_A3,2,2,28,0.0,STANDARD,0,2018-01-01,1611.3077392578125
298.8148498535156,41,0.15042813122272491,298.8148498535156,R_A3,3,3,28,0.0,STANDARD,0,2018-01-01,1613.3720703125
298.9532165527344,41,0.6481541991233826,298.9532165527344,R_A3,4,4,28,0.0,STANDARD,0,2018-01-01,1615.4365234375
299.0915832519531,41,0.8328844904899597,299.0915832519531,R_A3,5,5,28,0.0,STANDARD,0,2018-01-01,1617.5008544921875
299.2299499511719,41,0.6481541991233826,299.2299499511719,R_A3,6,6,28,0.0,STANDARD,0,2018-01-01,1619.565185546875
298.54638671875,41,0.6481541991233826,298.54638671875,R_A3,6,7,29,0.0,STANDARD,0,2018-01-01,1609.3663330078125
298.68377685546875,41,0.19782783091068268,298.68377685546875,R_A3,7,8,29,0.0,STANDARD,0,2018-01-01,1611.4163818359375
298.8211669921875,41,0.1995648592710495,298.8211669921875,R_A3,8,9,29,0.0,STANDARD,0,2018-01-01,1613.46630859375
298.95855712890625,41,0.7997170090675354,298.95855712890625,R_A3,9,10,29,0.0,STANDARD,0,2018-01-01,1615.516357421875
299.095947265625,41,0.8015515208244324,299.095947265625,R_A3,10,11,29,0.0,STANDARD,0,2018-01-01,1617.5662841796875
299.24237060546875,41,0.04906727373600006,299.24237060546875,R_A3,11,12,29,0.0,STANDARD,0,2018-01-01,1619.750732421875
299.3978271484375,41,0.05435820296406746,299.3978271484375,R_A3,12,13,29,0.0,STANDARD,0,2018-01-01,1622.0697021484375
