CONKPOS,CONBPRES,CONIPOS,CONIDX,CONJPOS,DEPTH,WELL,DATE,SGAS,SWAT,PRESSURE,WELLMODEL,DRAWDOWN
1,300.66558837890625,22,1,30,1639.4833984375,R_A2,2018-01-01,0.0,0.052961260080337524,300.66558837890625,STANDARD,0
2,300.7825927734375,22,2,30,1641.2281494140625,R_A2,2018-01-01,0.0,0.05491678789258003,300.7825927734375,STANDARD,0
3,300.89959716796875,22,3,30,1642.972900390625,R_A2,2018-01-01,0.0,0.0577971525490284,300.89959716796875,STANDARD,0
4,301.0166015625,22,4,30,1644.7176513671875,R_A2,2018-01-01,0.0,0.06243547797203064,301.0166015625,STANDARD,0
5,301.13360595703125,22,5,30,1646.46240234375,R_A2,2018-01-01,0.0,0.15788967907428741,301.13360595703125,STANDARD,0
6,301.2506103515625,22,6,30,1648.207275390625,R_A2,2018-01-01,0.0,0.31314143538475037,301.2506103515625,STANDARD,0
7,301.36761474609375,22,7,30,1649.9520263671875,R_A2,2018-01-01,0.0,0.8740221858024597,301.36761474609375,STANDARD,0
8,301.484619140625,22,8,30,1651.69677734375,R_A2,2018-01-01,0.0,0.8349844217300415,301.484619140625,STANDARD,0
9,301.60162353515625,22,9,30,1653.4415283203125,R_A2,2018-01-01,0.0,0.8848292231559753,301.60162353515625,STANDARD,0
10,301.7186584472656,22,10,30,1655.186279296875,R_A2,2018-01-01,0.0,0.16202403604984283,301.7186584472656,STANDARD,0
11,301.8445739746094,22,11,30,1657.0634765625,R_A2,2018-01-01,0.0,0.06857422739267349,301.8445739746094,STANDARD,0
12,301.9793701171875,22,12,30,1659.0732421875,R_A2,2018-01-01,0.0,0.06756449490785599,301.9793701171875,STANDARD,0
13,302.1141662597656,22,13,30,1661.0830078125,R_A2,2018-01-01,0.0,0.43102532625198364,302.1141662597656,STANDARD,0
14,302.2489929199219,22,14,30,1663.0928955078125,R_A2,2018-01-01,0.0,0.47284671664237976,302.2489929199219,STANDARD,0
15,302.3837890625,22,15,30,1665.1026611328125,R_A2,2018-01-01,0.0,0.8938589692115784,302.3837890625,STANDARD,0
16,302.51861572265625,22,16,30,1667.1124267578125,R_A2,2018-01-01,0.0,0.9158132076263428,302.51861572265625,STANDARD,0
17,302.6534423828125,22,17,30,1669.1221923828125,R_A2,2018-01-01,0.0,0.8559322953224182,302.6534423828125,STANDARD,0
17,302.7929992675781,22,18,29,1671.202392578125,R_A2,2018-01-01,0.0,0.8964554667472839,302.7929992675781,STANDARD,0
18,302.920654296875,22,19,29,1673.105224609375,R_A2,2018-01-01,0.0,0.9466341733932495,302.920654296875,STANDARD,0
29,303.0414733886719,22,20,29,1674.906005859375,R_A2,2018-01-01,0.0,0.7318515181541443,303.0414733886719,STANDARD,0
30,303.1607971191406,22,21,29,1676.6845703125,R_A2,2018-01-01,0.0,1.0,303.1607971191406,STANDARD,0
31,303.2801513671875,22,22,29,1678.4632568359375,R_A2,2018-01-01,0.0,1.0,303.2801513671875,STANDARD,0
32,303.39947509765625,22,23,29,1680.241943359375,R_A2,2018-01-01,0.0,1.0,303.39947509765625,STANDARD,0
33,303.8650207519531,22,24,29,1682.0206298828125,R_A2,2018-01-01,0.0,1.0,303.8650207519531,STANDARD,0
1,298.7241516113281,28,1,41,1610.5220947265625,R_A3,2018-01-01,0.0,0.18480783700942993,298.7241516113281,STANDARD,0
2,298.8584289550781,28,2,41,1612.5255126953125,R_A3,2018-01-01,0.0,0.09408233314752579,298.8584289550781,STANDARD,0
3,298.9927062988281,28,3,41,1614.529052734375,R_A3,2018-01-01,0.0,0.11646110564470291,298.9927062988281,STANDARD,0
4,299.1269836425781,28,4,41,1616.532470703125,R_A3,2018-01-01,0.0,0.1366691142320633,299.1269836425781,STANDARD,0
5,299.26129150390625,28,5,41,1618.5360107421875,R_A3,2018-01-01,0.0,0.6481541991233826,299.26129150390625,STANDARD,0
5,298.5154113769531,29,6,41,1607.4073486328125,R_A3,2018-01-01,0.0,0.811608076095581,298.5154113769531,STANDARD,0
6,298.651123046875,29,7,41,1609.4324951171875,R_A3,2018-01-01,0.0,0.26930496096611023,298.651123046875,STANDARD,0
7,298.7868347167969,29,8,41,1611.45751953125,R_A3,2018-01-01,0.0,0.1950901448726654,298.7868347167969,STANDARD,0
8,298.9225769042969,29,9,41,1613.482666015625,R_A3,2018-01-01,0.0,0.19571208953857422,298.9225769042969,STANDARD,0
9,299.05828857421875,29,10,41,1615.5076904296875,R_A3,2018-01-01,0.0,0.6643012166023254,299.05828857421875,STANDARD,0
10,299.19403076171875,29,11,41,1617.53271484375,R_A3,2018-01-01,0.0,0.7961298227310181,299.19403076171875,STANDARD,0
