ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,18415697,2633627,1268963,884912,124595557
Valysar,CentralSouth,60360192,12552807,10081260,7030167,989847565
Valysar,CentralNorth,39199733,6705109,4930574,3438336,484117700
Valysar,NorthHorst,4527257,687973,415644,255310,50015130
Valysar,CentralRamp,13409271,2184925,1702606,1187313,167173642
Valysar,CentralHorst,86955874,15309476,12218598,8520640,1199706145
Valysar,EastLowland,485633,88440,36605,25526,3594094
Therys,WestLowland,2166888,531249,299576,208909,29414392
Therys,CentralSouth,11615162,2876061,2024938,1412091,198822385
Therys,CentralNorth,22557148,4047897,2335859,1628911,229350701
Therys,NorthHorst,7144154,907539,339997,208844,40912458
Therys,CentralRamp,6547641,1554406,1190258,830027,116867784
Therys,CentralHorst,31311901,8065349,6217795,4335980,610505951
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,18436,3048,485,338,47584
Volon,CentralSouth,43242001,8427156,6598576,4601518,647893715
Volon,CentralNorth,6401025,921922,560894,391139,55072396
Volon,NorthHorst,5091163,993979,805001,494473,96867165
Volon,CentralRamp,12924265,2392963,1923539,1341380,188866305
Volon,CentralHorst,85978611,15076119,11927428,8317593,1171117130
Volon,EastLowland,0,0,0,0,0
