Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 15:44:44
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       240636650.66         40611081.77         31311043.06         19692479.57
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  240636650.66         40611081.77         31311043.06         19692479.57
MidReek    1                       230314823.81         43947753.06         34127934.01         21464109.08
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  230314823.81         43947753.06         34127934.01         21464109.08
LowerReek  1                       148790817.59         28114832.71         21624480.52         13600301.99
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  148790817.59         28114832.71         21624480.52         13600301.99
Totals     1                       619742292.05        112673667.54         87063457.59         54756890.64
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  619742292.05        112673667.54         87063457.59         54756890.64
