CONIPOS,DRAWDOWN,DATE,CONJPOS,CONBPRES,SGAS,CONKPOS,WELLMODEL,DEPTH,PRESSURE,WELL,CONIDX,SWAT
22,0,2018-01-01,30,300.52447509765625,0.0,1,STANDARD,1639.6009521484375,300.52447509765625,R_A2,1,0.056492600589990616
22,0,2018-01-01,30,300.64544677734375,0.0,2,STANDARD,1641.405517578125,300.64544677734375,R_A2,2,0.05949484929442406
22,0,2018-01-01,30,300.7664489746094,0.0,3,STANDARD,1643.2099609375,300.7664489746094,R_A2,3,0.062079161405563354
22,0,2018-01-01,30,300.887451171875,0.0,4,STANDARD,1645.014404296875,300.887451171875,R_A2,4,0.06773115694522858
22,0,2018-01-01,30,301.0084533691406,0.0,5,STANDARD,1646.81884765625,301.0084533691406,R_A2,5,0.07204592227935791
22,0,2018-01-01,30,301.12945556640625,0.0,6,STANDARD,1648.6234130859375,301.12945556640625,R_A2,6,0.32245007157325745
22,0,2018-01-01,30,301.2504577636719,0.0,7,STANDARD,1650.4278564453125,301.2504577636719,R_A2,7,0.8946595191955566
22,0,2018-01-01,30,301.3714904785156,0.0,8,STANDARD,1652.2322998046875,301.3714904785156,R_A2,8,0.8894031643867493
22,0,2018-01-01,30,301.49249267578125,0.0,9,STANDARD,1654.036865234375,301.49249267578125,R_A2,9,0.9289172887802124
22,0,2018-01-01,30,301.613525390625,0.0,10,STANDARD,1655.84130859375,301.613525390625,R_A2,10,0.9408764243125916
22,0,2018-01-01,30,301.7408142089844,0.0,11,STANDARD,1657.7391357421875,301.7408142089844,R_A2,11,0.08066687732934952
22,0,2018-01-01,30,301.8743591308594,0.0,12,STANDARD,1659.73046875,301.8743591308594,R_A2,12,0.08205895870923996
22,0,2018-01-01,30,302.0079345703125,0.0,13,STANDARD,1661.7216796875,302.0079345703125,R_A2,13,0.43549928069114685
22,0,2018-01-01,30,302.1414794921875,0.0,14,STANDARD,1663.712890625,302.1414794921875,R_A2,14,0.5262792110443115
22,0,2018-01-01,30,302.2750549316406,0.0,15,STANDARD,1665.7042236328125,302.2750549316406,R_A2,15,0.6998999714851379
22,0,2018-01-01,30,302.40863037109375,0.0,16,STANDARD,1667.6954345703125,302.40863037109375,R_A2,16,0.9716307520866394
22,0,2018-01-01,30,302.5422058105469,0.0,17,STANDARD,1669.6866455078125,302.5422058105469,R_A2,17,0.9478388428688049
22,0,2018-01-01,30,302.67041015625,0.0,18,STANDARD,1671.5975341796875,302.67041015625,R_A2,18,0.973438560962677
22,0,2018-01-01,29,302.7596130371094,0.0,18,STANDARD,1672.92724609375,302.7596130371094,R_A2,19,0.9858106374740601
22,0,2018-01-01,29,302.8849182128906,0.0,25,STANDARD,1674.7952880859375,302.8849182128906,R_A2,20,1.0
22,0,2018-01-01,29,303.3499450683594,0.0,26,STANDARD,1676.5849609375,303.3499450683594,R_A2,21,1.0
22,0,2018-01-01,29,303.51953125,0.0,27,STANDARD,1678.37451171875,303.51953125,R_A2,22,1.0
22,0,2018-01-01,29,303.6891174316406,0.0,28,STANDARD,1680.1641845703125,303.6891174316406,R_A2,23,1.0
22,0,2018-01-01,29,303.85870361328125,0.0,29,STANDARD,1681.953857421875,303.85870361328125,R_A2,24,1.0
28,0,2018-01-01,41,298.5526123046875,0.0,1,STANDARD,1610.18505859375,298.5526123046875,R_A3,1,0.6481541991233826
28,0,2018-01-01,41,298.683837890625,0.0,2,STANDARD,1612.1429443359375,298.683837890625,R_A3,2,0.3050632178783417
28,0,2018-01-01,41,298.8150329589844,0.0,3,STANDARD,1614.100830078125,298.8150329589844,R_A3,3,0.35992196202278137
28,0,2018-01-01,41,298.9462585449219,0.0,4,STANDARD,1616.0587158203125,298.9462585449219,R_A3,4,0.6481541991233826
29,0,2018-01-01,41,298.1292724609375,0.0,4,STANDARD,1603.867919921875,298.1292724609375,R_A3,5,0.6481541991233826
29,0,2018-01-01,41,298.27764892578125,0.0,5,STANDARD,1606.08203125,298.27764892578125,R_A3,6,0.8066520690917969
29,0,2018-01-01,41,298.426025390625,0.0,6,STANDARD,1608.296142578125,298.426025390625,R_A3,7,0.24916455149650574
29,0,2018-01-01,41,298.57440185546875,0.0,7,STANDARD,1610.5101318359375,298.57440185546875,R_A3,8,0.12985746562480927
29,0,2018-01-01,41,298.7227783203125,0.0,8,STANDARD,1612.7242431640625,298.7227783203125,R_A3,9,0.17627158761024475
29,0,2018-01-01,41,298.8711853027344,0.0,9,STANDARD,1614.938232421875,298.8711853027344,R_A3,10,0.7979865670204163
29,0,2018-01-01,41,299.0195617675781,0.0,10,STANDARD,1617.15234375,299.0195617675781,R_A3,11,0.8013923168182373
29,0,2018-01-01,41,299.17193603515625,0.0,11,STANDARD,1619.4254150390625,299.17193603515625,R_A3,12,0.04796172305941582
29,0,2018-01-01,41,299.3282470703125,0.0,12,STANDARD,1621.757568359375,299.3282470703125,R_A3,13,0.05550849437713623
29,0,2018-01-01,41,299.48455810546875,0.0,13,STANDARD,1624.089599609375,299.48455810546875,R_A3,14,0.37718403339385986
29,0,2018-01-01,41,299.7972412109375,0.0,15,STANDARD,1628.75390625,299.7972412109375,R_A3,15,0.44733935594558716
29,0,2018-01-01,41,299.93511962890625,0.0,16,STANDARD,1630.8106689453125,299.93511962890625,R_A3,16,0.8148612380027771
29,0,2018-01-01,41,300.1197204589844,0.0,25,STANDARD,1633.564208984375,300.1197204589844,R_A3,17,1.0
29,0,2018-01-01,41,300.3639221191406,0.0,26,STANDARD,1637.206787109375,300.3639221191406,R_A3,18,0.08358624577522278
29,0,2018-01-01,41,300.608154296875,0.0,27,STANDARD,1640.8492431640625,300.608154296875,R_A3,19,0.05173790454864502
29,0,2018-01-01,41,300.8523864746094,0.0,28,STANDARD,1644.49169921875,300.8523864746094,R_A3,20,1.0
29,0,2018-01-01,41,301.0966491699219,0.0,29,STANDARD,1648.13427734375,301.0966491699219,R_A3,21,0.6481541991233826
30,0,2018-01-01,52,300.206298828125,0.0,1,STANDARD,1634.85546875,300.206298828125,R_A4,1,0.05478251725435257
31,0,2018-01-01,52,299.8570251464844,0.0,1,STANDARD,1629.64599609375,299.8570251464844,R_A4,2,0.0522344745695591
31,0,2018-01-01,52,299.9921875,0.0,2,STANDARD,1631.661865234375,299.9921875,R_A4,3,0.054311539977788925
31,0,2018-01-01,52,300.1273193359375,0.0,3,STANDARD,1633.677734375,300.1273193359375,R_A4,4,0.05831119418144226
32,0,2018-01-01,52,299.8667907714844,0.0,3,STANDARD,1629.79150390625,299.8667907714844,R_A4,5,0.056164685636758804
32,0,2018-01-01,51,300.2809753417969,0.0,3,STANDARD,1635.96923828125,300.2809753417969,R_A4,6,0.059980787336826324
33,0,2018-01-01,51,300.18408203125,0.0,3,STANDARD,1634.5240478515625,300.18408203125,R_A4,7,0.06201924383640289
33,0,2018-01-01,51,300.3050842285156,0.0,4,STANDARD,1636.3287353515625,300.3050842285156,R_A4,8,0.06029340252280235
33,0,2018-01-01,50,300.69708251953125,0.0,4,STANDARD,1642.17529296875,300.69708251953125,R_A4,9,0.06579093635082245
33,0,2018-01-01,50,300.8208923339844,0.0,5,STANDARD,1644.02197265625,300.8208923339844,R_A4,10,0.2886373996734619
34,0,2018-01-01,50,300.71978759765625,0.0,5,STANDARD,1642.51416015625,300.71978759765625,R_A4,11,0.6481541991233826
34,0,2018-01-01,50,300.5923156738281,0.0,4,STANDARD,1640.6129150390625,300.5923156738281,R_A4,12,0.06315124034881592
34,0,2018-01-01,50,300.46484375,0.0,3,STANDARD,1638.711669921875,300.46484375,R_A4,13,0.06440404057502747
35,0,2018-01-01,50,300.6564636230469,0.0,3,STANDARD,1641.5694580078125,300.6564636230469,R_A4,14,0.10695705562829971
35,0,2018-01-01,50,300.5381164550781,0.0,2,STANDARD,1639.8045654296875,300.5381164550781,R_A4,15,0.23707829415798187
35,0,2018-01-01,49,300.8084411621094,0.0,2,STANDARD,1643.836181640625,300.8084411621094,R_A4,16,0.2468140870332718
35,0,2018-01-01,49,300.69158935546875,0.0,1,STANDARD,1642.093505859375,300.69158935546875,R_A4,17,0.23589828610420227
36,0,2018-01-01,49,300.7342834472656,0.0,28,STANDARD,1642.72998046875,300.7342834472656,R_A4,18,0.059989362955093384
36,0,2018-01-01,48,300.3294982910156,0.0,28,STANDARD,1636.6932373046875,300.3294982910156,R_A4,19,0.22373688220977783
37,0,2018-01-01,48,300.7694396972656,0.0,28,STANDARD,1643.2545166015625,300.7694396972656,R_A4,20,0.060624051839113235
37,0,2018-01-01,48,301.1585388183594,0.0,29,STANDARD,1649.0567626953125,301.1585388183594,R_A4,21,0.06311962753534317
38,0,2018-01-01,48,301.6177062988281,0.0,29,STANDARD,1655.9036865234375,301.6177062988281,R_A4,22,0.6481541991233826
38,0,2018-01-01,47,301.63031005859375,0.0,29,STANDARD,1656.0916748046875,301.63031005859375,R_A4,23,0.14949633181095123
31,0,2018-01-01,20,303.7364196777344,0.0,1,STANDARD,1683.890380859375,303.7364196777344,R_A5,1,1.0
31,0,2018-01-01,20,303.94927978515625,0.0,2,STANDARD,1686.13671875,303.94927978515625,R_A5,2,1.0
31,0,2018-01-01,20,304.1621398925781,0.0,3,STANDARD,1688.3829345703125,304.1621398925781,R_A5,3,1.0
31,0,2018-01-01,20,304.3750305175781,0.0,4,STANDARD,1690.6292724609375,304.3750305175781,R_A5,4,1.0
31,0,2018-01-01,20,304.587890625,0.0,5,STANDARD,1692.87548828125,304.587890625,R_A5,5,1.0
31,0,2018-01-01,20,304.8007507324219,0.0,6,STANDARD,1695.121826171875,304.8007507324219,R_A5,6,1.0
31,0,2018-01-01,20,305.3194274902344,0.0,7,STANDARD,1697.3681640625,305.3194274902344,R_A5,7,1.0
31,0,2018-01-01,20,305.84552001953125,0.0,11,STANDARD,1706.14501953125,305.84552001953125,R_A5,8,1.0
31,0,2018-01-01,20,306.0189514160156,0.0,12,STANDARD,1707.974853515625,306.0189514160156,R_A5,9,1.0
31,0,2018-01-01,20,306.2043151855469,0.0,13,STANDARD,1709.8045654296875,306.2043151855469,R_A5,10,1.0
