CONIPOS,DEPTH,CONKPOS,WELL,SWAT,DATE,SGAS,PRESSURE,CONBPRES,CONJPOS,WELLMODEL,CONIDX,DRAWDOWN
22,1641.288330078125,1,R_A2,0.05442706122994423,2018-01-01,0.0,300.7294006347656,300.7294006347656,30,STANDARD,1,0
22,1643.0582275390625,2,R_A2,0.05620681121945381,2018-01-01,0.0,300.84808349609375,300.84808349609375,30,STANDARD,2,0
22,1644.828125,3,R_A2,0.059746913611888885,2018-01-01,0.0,300.9667663574219,300.9667663574219,30,STANDARD,3,0
22,1646.59814453125,4,R_A2,0.06587237864732742,2018-01-01,0.0,301.08544921875,301.08544921875,30,STANDARD,4,0
22,1648.3680419921875,5,R_A2,0.069037526845932,2018-01-01,0.0,301.20416259765625,301.20416259765625,30,STANDARD,5,0
22,1650.1380615234375,6,R_A2,0.31498637795448303,2018-01-01,0.0,301.3228454589844,301.3228454589844,30,STANDARD,6,0
22,1651.907958984375,7,R_A2,0.8793553113937378,2018-01-01,0.0,301.4415588378906,301.4415588378906,30,STANDARD,7,0
22,1653.6778564453125,8,R_A2,0.8499550223350525,2018-01-01,0.0,301.56024169921875,301.56024169921875,30,STANDARD,8,0
22,1655.4478759765625,9,R_A2,0.8890826106071472,2018-01-01,0.0,301.678955078125,301.678955078125,30,STANDARD,9,0
22,1657.2177734375,10,R_A2,0.9032755494117737,2018-01-01,0.0,301.79766845703125,301.79766845703125,30,STANDARD,10,0
22,1659.1253662109375,11,R_A2,0.07421990483999252,2018-01-01,0.0,301.92559814453125,301.92559814453125,30,STANDARD,11,0
22,1661.170654296875,12,R_A2,0.13729599118232727,2018-01-01,0.0,302.06280517578125,302.06280517578125,30,STANDARD,12,0
22,1663.2159423828125,13,R_A2,0.44263139367103577,2018-01-01,0.0,302.1999816894531,302.1999816894531,30,STANDARD,13,0
22,1665.26123046875,14,R_A2,0.49031612277030945,2018-01-01,0.0,302.3371887207031,302.3371887207031,30,STANDARD,14,0
22,1667.306396484375,15,R_A2,0.6720473766326904,2018-01-01,0.0,302.4743957519531,302.4743957519531,30,STANDARD,15,0
22,1669.3516845703125,16,R_A2,0.9617776274681091,2018-01-01,0.0,302.611572265625,302.611572265625,30,STANDARD,16,0
22,1671.39697265625,17,R_A2,0.9266519546508789,2018-01-01,0.0,302.748779296875,302.748779296875,30,STANDARD,17,0
22,1673.22314453125,18,R_A2,0.9767111539840698,2018-01-01,0.0,302.8713073730469,302.8713073730469,30,STANDARD,18,0
22,1674.8819580078125,28,R_A2,0.4281717836856842,2018-01-01,0.0,302.98260498046875,302.98260498046875,30,STANDARD,19,0
22,1678.5615234375,28,R_A2,1.0,2018-01-01,0.0,303.5372314453125,303.5372314453125,29,STANDARD,20,0
22,1680.3048095703125,29,R_A2,1.0,2018-01-01,0.0,303.7024230957031,303.7024230957031,29,STANDARD,21,0
22,1682.048095703125,30,R_A2,1.0,2018-01-01,0.0,303.8676452636719,303.8676452636719,29,STANDARD,22,0
22,1683.79150390625,31,R_A2,1.0,2018-01-01,0.0,304.0328369140625,304.0328369140625,29,STANDARD,23,0
22,1685.534912109375,32,R_A2,1.0,2018-01-01,0.0,304.1980285644531,304.1980285644531,29,STANDARD,24,0
28,1611.41796875,1,R_A3,0.6481541991233826,2018-01-01,0.0,298.72698974609375,298.72698974609375,41,STANDARD,1,0
28,1613.4937744140625,2,R_A3,0.20021729171276093,2018-01-01,0.0,298.8661193847656,298.8661193847656,41,STANDARD,2,0
28,1615.569580078125,3,R_A3,0.11823459714651108,2018-01-01,0.0,299.0052490234375,299.0052490234375,41,STANDARD,3,0
28,1617.6453857421875,4,R_A3,0.15763811767101288,2018-01-01,0.0,299.1443786621094,299.1443786621094,41,STANDARD,4,0
28,1619.72119140625,5,R_A3,0.6481541991233826,2018-01-01,0.0,299.28350830078125,299.28350830078125,41,STANDARD,5,0
29,1606.593017578125,5,R_A3,0.806499719619751,2018-01-01,0.0,298.4036560058594,298.4036560058594,41,STANDARD,6,0
29,1608.644775390625,6,R_A3,0.3414487838745117,2018-01-01,0.0,298.5411376953125,298.5411376953125,41,STANDARD,7,0
29,1610.6964111328125,7,R_A3,0.19674107432365417,2018-01-01,0.0,298.67864990234375,298.67864990234375,41,STANDARD,8,0
29,1612.7481689453125,8,R_A3,0.23498095571994781,2018-01-01,0.0,298.8161315917969,298.8161315917969,41,STANDARD,9,0
29,1614.7998046875,9,R_A3,0.7983179688453674,2018-01-01,0.0,298.9536437988281,298.9536437988281,41,STANDARD,10,0
29,1616.8514404296875,10,R_A3,0.8007541298866272,2018-01-01,0.0,299.0911560058594,299.0911560058594,41,STANDARD,11,0
29,1619.023193359375,11,R_A3,0.04946776106953621,2018-01-01,0.0,299.2367248535156,299.2367248535156,41,STANDARD,12,0
29,1621.315185546875,12,R_A3,0.054344139993190765,2018-01-01,0.0,299.3903503417969,299.3903503417969,41,STANDARD,13,0
29,1623.6070556640625,13,R_A3,0.36857515573501587,2018-01-01,0.0,299.5439758300781,299.5439758300781,41,STANDARD,14,0
29,1625.89892578125,14,R_A3,0.3509393632411957,2018-01-01,0.0,299.6976318359375,299.6976318359375,41,STANDARD,15,0
29,1628.15380859375,15,R_A3,0.6364501714706421,2018-01-01,0.0,299.8487854003906,299.8487854003906,41,STANDARD,16,0
29,1630.0560302734375,16,R_A3,0.8062477707862854,2018-01-01,0.0,299.976318359375,299.976318359375,41,STANDARD,17,0
29,1632.7149658203125,28,R_A3,0.1250830739736557,2018-01-01,0.0,300.1545715332031,300.1545715332031,41,STANDARD,18,0
29,1636.35107421875,29,R_A3,0.044852059334516525,2018-01-01,0.0,300.3983459472656,300.3983459472656,41,STANDARD,19,0
29,1639.987060546875,30,R_A3,0.05236424505710602,2018-01-01,0.0,300.64215087890625,300.64215087890625,41,STANDARD,20,0
29,1643.623046875,31,R_A3,1.0,2018-01-01,0.0,300.8859558105469,300.8859558105469,41,STANDARD,21,0
29,1647.2591552734375,32,R_A3,0.06181769073009491,2018-01-01,0.0,301.1297912597656,301.1297912597656,41,STANDARD,22,0
30,1629.6458740234375,1,R_A4,0.04993240535259247,2018-01-01,0.0,299.9488220214844,299.9488220214844,52,STANDARD,1,0
31,1626.331298828125,1,R_A4,0.04875824600458145,2018-01-01,0.0,299.7265930175781,299.7265930175781,52,STANDARD,2,0
31,1628.4306640625,2,R_A4,0.049712538719177246,2018-01-01,0.0,299.8673400878906,299.8673400878906,52,STANDARD,3,0
31,1630.530029296875,3,R_A4,0.052460189908742905,2018-01-01,0.0,300.0080871582031,300.0080871582031,52,STANDARD,4,0
31,1632.6295166015625,4,R_A4,0.05331215634942055,2018-01-01,0.0,300.1488342285156,300.1488342285156,52,STANDARD,5,0
32,1632.77001953125,4,R_A4,0.05369528383016586,2018-01-01,0.0,300.15826416015625,300.15826416015625,52,STANDARD,6,0
32,1634.6700439453125,5,R_A4,0.05701104924082756,2018-01-01,0.0,300.28564453125,300.28564453125,52,STANDARD,7,0
32,1636.9478759765625,5,R_A4,0.058779507875442505,2018-01-01,0.0,300.4383850097656,300.4383850097656,51,STANDARD,8,0
32,1635.13525390625,4,R_A4,0.05835423246026039,2018-01-01,0.0,300.31683349609375,300.31683349609375,51,STANDARD,9,0
33,1637.6405029296875,4,R_A4,0.05775126442313194,2018-01-01,0.0,300.48480224609375,300.48480224609375,51,STANDARD,10,0
33,1635.76025390625,3,R_A4,0.056448888033628464,2018-01-01,0.0,300.3587341308594,300.3587341308594,51,STANDARD,11,0
33,1642.02587890625,4,R_A4,0.062390949577093124,2018-01-01,0.0,300.77886962890625,300.77886962890625,50,STANDARD,12,0
34,1640.76806640625,4,R_A4,0.06347988545894623,2018-01-01,0.0,300.69451904296875,300.69451904296875,50,STANDARD,13,0
34,1638.7978515625,3,R_A4,0.10425575077533722,2018-01-01,0.0,300.5624084472656,300.5624084472656,50,STANDARD,14,0
35,1641.5010986328125,4,R_A4,0.06258709728717804,2018-01-01,0.0,300.7436828613281,300.7436828613281,50,STANDARD,15,0
35,1639.6007080078125,3,R_A4,0.08177389204502106,2018-01-01,0.0,300.6162414550781,300.6162414550781,50,STANDARD,16,0
35,1642.845458984375,3,R_A4,0.21310478448867798,2018-01-01,0.0,300.83380126953125,300.83380126953125,49,STANDARD,17,0
35,1640.937744140625,2,R_A4,0.2298326939344406,2018-01-01,0.0,300.7059020996094,300.7059020996094,49,STANDARD,18,0
36,1643.070556640625,31,R_A4,0.27602481842041016,2018-01-01,0.0,300.8489074707031,300.8489074707031,49,STANDARD,19,0
36,1641.7628173828125,31,R_A4,0.3411385118961334,2018-01-01,0.0,300.76123046875,300.76123046875,48,STANDARD,20,0
37,1650.3677978515625,31,R_A4,0.31468501687049866,2018-01-01,0.0,301.3382568359375,301.3382568359375,48,STANDARD,21,0
37,1644.7794189453125,30,R_A4,0.3063167631626129,2018-01-01,0.0,300.9635009765625,300.9635009765625,48,STANDARD,22,0
38,1651.276123046875,30,R_A4,0.20140862464904785,2018-01-01,0.0,301.399169921875,301.399169921875,48,STANDARD,23,0
38,1657.673095703125,30,R_A4,0.15969620645046234,2018-01-01,0.0,301.8282165527344,301.8282165527344,47,STANDARD,24,0
31,1684.6719970703125,1,R_A5,1.0,2018-01-01,0.0,303.81048583984375,303.81048583984375,20,STANDARD,1,0
31,1686.82421875,2,R_A5,1.0,2018-01-01,0.0,304.0144348144531,304.0144348144531,20,STANDARD,2,0
31,1688.9765625,3,R_A5,1.0,2018-01-01,0.0,304.2184143066406,304.2184143066406,20,STANDARD,3,0
31,1691.12890625,4,R_A5,1.0,2018-01-01,0.0,304.42236328125,304.42236328125,20,STANDARD,4,0
31,1693.2811279296875,5,R_A5,1.0,2018-01-01,0.0,304.6263122558594,304.6263122558594,20,STANDARD,5,0
31,1695.433349609375,6,R_A5,1.0,2018-01-01,0.0,304.8302917480469,304.8302917480469,20,STANDARD,6,0
