CONIPOS,WELL,SWAT,DRAWDOWN,DEPTH,CONKPOS,DATE,CONJPOS,CONBPRES,SGAS,CONIDX,WELLMODEL,PRESSURE
22,R_A2,0.053048502653837204,0,1639.97802734375,1,2018-01-01,30,300.70318603515625,0.0,1,STANDARD,300.70318603515625
22,R_A2,0.05562862381339073,0,1641.731689453125,2,2018-01-01,30,300.8207702636719,0.0,2,STANDARD,300.8207702636719
22,R_A2,0.05779949575662613,0,1643.4853515625,3,2018-01-01,30,300.9383850097656,0.0,3,STANDARD,300.9383850097656
22,R_A2,0.06280547380447388,0,1645.2391357421875,4,2018-01-01,30,301.05596923828125,0.0,4,STANDARD,301.05596923828125
22,R_A2,0.0664537250995636,0,1646.9927978515625,5,2018-01-01,30,301.173583984375,0.0,5,STANDARD,301.173583984375
22,R_A2,0.3110043406486511,0,1648.74658203125,6,2018-01-01,30,301.29119873046875,0.0,6,STANDARD,301.29119873046875
22,R_A2,0.8714959621429443,0,1650.500244140625,7,2018-01-01,30,301.4088134765625,0.0,7,STANDARD,301.4088134765625
22,R_A2,0.8620770573616028,0,1652.25390625,8,2018-01-01,30,301.5263977050781,0.0,8,STANDARD,301.5263977050781
22,R_A2,0.8764137625694275,0,1654.0076904296875,9,2018-01-01,30,301.64404296875,0.0,9,STANDARD,301.64404296875
22,R_A2,0.8891358971595764,0,1655.7613525390625,10,2018-01-01,30,301.76165771484375,0.0,10,STANDARD,301.76165771484375
22,R_A2,0.0692533403635025,0,1657.626220703125,11,2018-01-01,30,301.88671875,0.0,11,STANDARD,301.88671875
22,R_A2,0.4272617697715759,0,1661.5782470703125,13,2018-01-01,30,302.15179443359375,0.0,12,STANDARD,302.15179443359375
22,R_A2,0.46207383275032043,0,1663.55419921875,14,2018-01-01,30,302.28436279296875,0.0,13,STANDARD,302.28436279296875
22,R_A2,0.6325202584266663,0,1665.5301513671875,15,2018-01-01,30,302.4169006347656,0.0,14,STANDARD,302.4169006347656
22,R_A2,0.9162504076957703,0,1667.5062255859375,16,2018-01-01,30,302.5494689941406,0.0,15,STANDARD,302.5494689941406
22,R_A2,0.8654036521911621,0,1669.482177734375,17,2018-01-01,30,302.6820068359375,0.0,16,STANDARD,302.6820068359375
22,R_A2,0.8906162977218628,0,1671.8162841796875,17,2018-01-01,29,302.838623046875,0.0,17,STANDARD,302.838623046875
22,R_A2,0.9510526061058044,0,1673.7763671875,18,2018-01-01,29,302.9700927734375,0.0,18,STANDARD,302.9700927734375
22,R_A2,1.0,0,1675.7598876953125,25,2018-01-01,29,303.1031799316406,0.0,19,STANDARD,303.1031799316406
22,R_A2,0.8713564872741699,0,1677.5467529296875,26,2018-01-01,29,303.22308349609375,0.0,20,STANDARD,303.22308349609375
22,R_A2,0.674516499042511,0,1679.3336181640625,27,2018-01-01,29,303.34295654296875,0.0,21,STANDARD,303.34295654296875
22,R_A2,1.0,0,1681.1204833984375,28,2018-01-01,29,303.77972412109375,0.0,22,STANDARD,303.77972412109375
22,R_A2,1.0,0,1682.907470703125,29,2018-01-01,29,303.9490661621094,0.0,23,STANDARD,303.9490661621094
28,R_A3,0.3290829062461853,0,1609.697265625,1,2018-01-01,41,298.67327880859375,0.0,1,STANDARD,298.67327880859375
28,R_A3,0.19487710297107697,0,1611.6531982421875,2,2018-01-01,41,298.80438232421875,0.0,2,STANDARD,298.80438232421875
29,R_A3,0.18346010148525238,0,1601.1787109375,2,2018-01-01,41,298.1024475097656,0.0,3,STANDARD,298.1024475097656
29,R_A3,0.18086031079292297,0,1603.365234375,3,2018-01-01,41,298.24896240234375,0.0,4,STANDARD,298.24896240234375
