CONIDX,SWAT,CONBPRES,WELL,DRAWDOWN,DEPTH,CONKPOS,CONJPOS,SGAS,PRESSURE,DATE,CONIPOS,WELLMODEL
1,0.05343934893608093,300.82177734375,R_A2,0,1641.44970703125,1,30,0.0,300.82177734375,2018-01-01,22,STANDARD
2,0.054681774228811264,300.94097900390625,R_A2,0,1643.2274169921875,2,30,0.0,300.94097900390625,2018-01-01,22,STANDARD
3,0.05843811482191086,301.0601806640625,R_A2,0,1645.005126953125,3,30,0.0,301.0601806640625,2018-01-01,22,STANDARD
4,0.06361973285675049,301.1794128417969,R_A2,0,1646.7828369140625,4,30,0.0,301.1794128417969,2018-01-01,22,STANDARD
5,0.06716609746217728,301.2986145019531,R_A2,0,1648.5606689453125,5,30,0.0,301.2986145019531,2018-01-01,22,STANDARD
6,0.6516042351722717,301.4178466796875,R_A2,0,1650.33837890625,6,30,0.0,301.4178466796875,2018-01-01,22,STANDARD
7,0.8691171407699585,301.5370788574219,R_A2,0,1652.1162109375,7,30,0.0,301.5370788574219,2018-01-01,22,STANDARD
8,0.6481541991233826,301.65631103515625,R_A2,0,1653.8939208984375,8,30,0.0,301.65631103515625,2018-01-01,22,STANDARD
9,0.23349393904209137,301.7755432128906,R_A2,0,1655.671630859375,9,30,0.0,301.7755432128906,2018-01-01,22,STANDARD
10,0.8899471759796143,301.894775390625,R_A2,0,1657.4493408203125,10,30,0.0,301.894775390625,2018-01-01,22,STANDARD
11,0.06976740062236786,302.0231018066406,R_A2,0,1659.3624267578125,11,30,0.0,302.0231018066406,2018-01-01,22,STANDARD
12,0.06524841487407684,302.1604919433594,R_A2,0,1661.41064453125,12,30,0.0,302.1604919433594,2018-01-01,22,STANDARD
13,0.4307458698749542,302.2978820800781,R_A2,0,1663.458984375,13,30,0.0,302.2978820800781,2018-01-01,22,STANDARD
14,0.4785684645175934,302.4352722167969,R_A2,0,1665.5072021484375,14,30,0.0,302.4352722167969,2018-01-01,22,STANDARD
15,0.9177106618881226,302.57269287109375,R_A2,0,1667.5555419921875,15,30,0.0,302.57269287109375,2018-01-01,22,STANDARD
16,0.9374518990516663,302.7100830078125,R_A2,0,1669.603759765625,16,30,0.0,302.7100830078125,2018-01-01,22,STANDARD
17,0.878091037273407,302.8475036621094,R_A2,0,1671.652099609375,17,30,0.0,302.8475036621094,2018-01-01,22,STANDARD
18,0.9033761620521545,302.95599365234375,R_A2,0,1673.269287109375,17,29,0.0,302.95599365234375,2018-01-01,22,STANDARD
19,0.9696508049964905,303.0841369628906,R_A2,0,1675.178955078125,18,29,0.0,303.0841369628906,2018-01-01,22,STANDARD
20,0.7815904021263123,303.2080383300781,R_A2,0,1677.026123046875,25,29,0.0,303.2080383300781,2018-01-01,22,STANDARD
21,1.0,303.3268127441406,R_A2,0,1678.796142578125,26,29,0.0,303.3268127441406,2018-01-01,22,STANDARD
22,1.0,303.4455871582031,R_A2,0,1680.566162109375,27,29,0.0,303.4455871582031,2018-01-01,22,STANDARD
23,1.0,303.8949279785156,R_A2,0,1682.3360595703125,28,29,0.0,303.8949279785156,2018-01-01,22,STANDARD
24,1.0,304.0626525878906,R_A2,0,1684.106201171875,29,29,0.0,304.0626525878906,2018-01-01,22,STANDARD
1,0.6481541991233826,298.6285400390625,R_A3,0,1608.732666015625,1,41,0.0,298.6285400390625,2018-01-01,28,STANDARD
2,0.19307009875774384,298.76287841796875,R_A3,0,1610.7373046875,2,41,0.0,298.76287841796875,2018-01-01,28,STANDARD
3,0.11900512129068375,298.8972473144531,R_A3,0,1612.741943359375,3,41,0.0,298.8972473144531,2018-01-01,28,STANDARD
4,0.1336546391248703,298.4458312988281,R_A3,0,1606.0064697265625,4,41,0.0,298.4458312988281,2018-01-01,29,STANDARD
5,0.8076934814453125,298.5854797363281,R_A3,0,1608.090087890625,5,41,0.0,298.5854797363281,2018-01-01,29,STANDARD
6,0.6481541991233826,298.7251281738281,R_A3,0,1610.173828125,6,41,0.0,298.7251281738281,2018-01-01,29,STANDARD
7,0.1652964949607849,298.8647766113281,R_A3,0,1612.257568359375,7,41,0.0,298.8647766113281,2018-01-01,29,STANDARD
8,0.1969081312417984,299.0044250488281,R_A3,0,1614.3411865234375,8,41,0.0,299.0044250488281,2018-01-01,29,STANDARD
9,0.796312153339386,299.14410400390625,R_A3,0,1616.4249267578125,9,41,0.0,299.14410400390625,2018-01-01,29,STANDARD
10,0.7977226376533508,299.28375244140625,R_A3,0,1618.5086669921875,10,41,0.0,299.28375244140625,2018-01-01,29,STANDARD
11,0.049235694110393524,299.430419921875,R_A3,0,1620.696533203125,11,41,0.0,299.430419921875,2018-01-01,29,STANDARD
12,0.053099729120731354,299.5840759277344,R_A3,0,1622.98876953125,12,41,0.0,299.5840759277344,2018-01-01,29,STANDARD
