DEPTH,WELL,CONBPRES,CONJPOS,DATE,WELLMODEL,CONIDX,SWAT,DRAWDOWN,CONIPOS,CONKPOS,PRESSURE,SGAS
1640.0877685546875,R_A2,300.58917236328125,30,2018-01-01,STANDARD,1,0.0559391975402832,0,22,1,300.58917236328125,0.0
1641.867431640625,R_A2,300.70849609375,30,2018-01-01,STANDARD,2,0.05722254514694214,0,22,2,300.70849609375,0.0
1643.64697265625,R_A2,300.8278503417969,30,2018-01-01,STANDARD,3,0.06119183450937271,0,22,3,300.8278503417969,0.0
1645.4267578125,R_A2,300.9471740722656,30,2018-01-01,STANDARD,4,0.06857170164585114,0,22,4,300.9471740722656,0.0
1647.2064208984375,R_A2,301.0665283203125,30,2018-01-01,STANDARD,5,0.071042500436306,0,22,5,301.0665283203125,0.0
1648.986083984375,R_A2,301.18585205078125,30,2018-01-01,STANDARD,6,0.3236536979675293,0,22,6,301.18585205078125,0.0
1650.765869140625,R_A2,301.3052062988281,30,2018-01-01,STANDARD,7,0.8947227597236633,0,22,7,301.3052062988281,0.0
1652.5455322265625,R_A2,301.424560546875,30,2018-01-01,STANDARD,8,0.8787367939949036,0,22,8,301.424560546875,0.0
1654.3251953125,R_A2,301.5439147949219,30,2018-01-01,STANDARD,9,0.9206529855728149,0,22,9,301.5439147949219,0.0
1656.104736328125,R_A2,301.66326904296875,30,2018-01-01,STANDARD,10,0.9320143461227417,0,22,10,301.66326904296875,0.0
1657.9268798828125,R_A2,301.7854919433594,30,2018-01-01,STANDARD,11,0.07628374546766281,0,22,11,301.7854919433594,0.0
1659.79150390625,R_A2,301.9105529785156,30,2018-01-01,STANDARD,12,0.07541116327047348,0,22,12,301.9105529785156,0.0
1661.6561279296875,R_A2,302.0356140136719,30,2018-01-01,STANDARD,13,0.44604164361953735,0,22,13,302.0356140136719,0.0
1663.520751953125,R_A2,302.16070556640625,30,2018-01-01,STANDARD,14,0.49391117691993713,0,22,14,302.16070556640625,0.0
1665.3853759765625,R_A2,302.2857666015625,30,2018-01-01,STANDARD,15,0.6770668625831604,0,22,15,302.2857666015625,0.0
1667.25,R_A2,302.4108581542969,30,2018-01-01,STANDARD,16,0.9587885737419128,0,22,16,302.4108581542969,0.0
1669.1146240234375,R_A2,302.5359191894531,30,2018-01-01,STANDARD,17,0.9531664252281189,0,22,17,302.5359191894531,0.0
1669.9180908203125,R_A2,302.5898132324219,29,2018-01-01,STANDARD,18,0.9542930722236633,0,22,17,302.5898132324219,0.0
1672.01806640625,R_A2,302.730712890625,29,2018-01-01,STANDARD,19,0.9708300828933716,0,22,18,302.730712890625,0.0
1673.2935791015625,R_A2,302.8162841796875,29,2018-01-01,STANDARD,20,1.0,0,22,19,302.8162841796875,0.0
1674.4091796875,R_A2,302.89111328125,29,2018-01-01,STANDARD,21,0.6481541991233826,0,22,27,302.89111328125,0.0
1676.188232421875,R_A2,303.0104675292969,29,2018-01-01,STANDARD,22,1.0,0,22,28,303.0104675292969,0.0
1677.9671630859375,R_A2,303.48089599609375,29,2018-01-01,STANDARD,23,1.0,0,22,29,303.48089599609375,0.0
1679.74609375,R_A2,303.64947509765625,29,2018-01-01,STANDARD,24,1.0,0,22,30,303.64947509765625,0.0
1681.5250244140625,R_A2,303.81805419921875,29,2018-01-01,STANDARD,25,1.0,0,22,31,303.81805419921875,0.0
1613.421142578125,R_A3,298.8015441894531,41,2018-01-01,STANDARD,1,0.2552070617675781,0,28,1,298.8015441894531,0.0
1615.5372314453125,R_A3,298.9433898925781,41,2018-01-01,STANDARD,2,0.20080778002738953,0,28,2,298.9433898925781,0.0
1617.6533203125,R_A3,299.085205078125,41,2018-01-01,STANDARD,3,0.20252838730812073,0,28,3,299.085205078125,0.0
1619.76953125,R_A3,299.22705078125,41,2018-01-01,STANDARD,4,0.378661185503006,0,28,4,299.22705078125,0.0
1621.8856201171875,R_A3,299.368896484375,41,2018-01-01,STANDARD,5,0.8391672372817993,0,28,5,299.368896484375,0.0
1624.0018310546875,R_A3,299.5107421875,41,2018-01-01,STANDARD,6,0.6481541991233826,0,28,6,299.5107421875,0.0
1607.01025390625,R_A3,298.3719177246094,41,2018-01-01,STANDARD,7,0.6481541991233826,0,29,6,298.3719177246094,0.0
1609.1829833984375,R_A3,298.51751708984375,41,2018-01-01,STANDARD,8,0.1957906186580658,0,29,7,298.51751708984375,0.0
1611.3558349609375,R_A3,298.66314697265625,41,2018-01-01,STANDARD,9,0.1972508579492569,0,29,8,298.66314697265625,0.0
1613.528564453125,R_A3,298.8087463378906,41,2018-01-01,STANDARD,10,0.8005891442298889,0,29,9,298.8087463378906,0.0
1615.701416015625,R_A3,298.9543762207031,41,2018-01-01,STANDARD,11,0.8011898994445801,0,29,10,298.9543762207031,0.0
1617.91845703125,R_A3,299.10296630859375,41,2018-01-01,STANDARD,12,0.04893460124731064,0,29,11,299.10296630859375,0.0
1620.1796875,R_A3,299.2545471191406,41,2018-01-01,STANDARD,13,0.05553197115659714,0,29,12,299.2545471191406,0.0
1622.44091796875,R_A3,299.4061279296875,41,2018-01-01,STANDARD,14,0.36602869629859924,0,29,13,299.4061279296875,0.0
1624.7021484375,R_A3,299.55767822265625,41,2018-01-01,STANDARD,15,0.39200299978256226,0,29,14,299.55767822265625,0.0
1626.96337890625,R_A3,299.7092590332031,41,2018-01-01,STANDARD,16,0.37925875186920166,0,29,15,299.7092590332031,0.0
1628.9595947265625,R_A3,299.84307861328125,41,2018-01-01,STANDARD,17,0.8064366579055786,0,29,16,299.84307861328125,0.0
1629.986328125,R_A3,299.91192626953125,41,2018-01-01,STANDARD,18,0.7777363657951355,0,29,17,299.91192626953125,0.0
1632.021484375,R_A3,300.0483703613281,41,2018-01-01,STANDARD,19,0.6481541991233826,0,29,27,300.0483703613281,0.0
1635.769287109375,R_A3,300.29962158203125,41,2018-01-01,STANDARD,20,0.046042680740356445,0,29,28,300.29962158203125,0.0
