SW,KRW,KROW,PCOW,SATNUM,KEYWORD,SG,KRG,KROG,PCOG
0.0205601,0.0,1.0,9.95715,1,SWOF,,,,
0.0305601,0.0,0.9384235,4.1634181,1,SWOF,,,,
0.0405601,0.0001711,0.8789141,2.2334317,1,SWOF,,,,
0.0605601,0.001276,0.7667672,0.9246556,1,SWOF,,,,
0.0805601,0.0033034,0.6644978,0.4935447,1,SWOF,,,,
0.1005601,0.0062476,0.5724711,0.3030079,1,SWOF,,,,
0.1205601,0.0101358,0.4905977,0.2033024,1,SWOF,,,,
0.1405601,0.0150095,0.4184568,0.1450421,1,SWOF,,,,
0.1605601,0.0209192,0.3554077,0.10824,1,SWOF,,,,
0.1805601,0.0279211,0.3006829,0.0836031,1,SWOF,,,,
0.2005601,0.0360763,0.2534602,0.0663518,1,SWOF,,,,
0.2205601,0.0454487,0.212914,0.0538308,1,SWOF,,,,
0.2405601,0.0561046,0.1782503,0.0444732,1,SWOF,,,,
0.2605601,0.0681114,0.1487282,0.0373072,1,SWOF,,,,
0.2805601,0.0815363,0.123671,0.0317054,1,SWOF,,,,
0.3005601,0.0964456,0.1024707,0.0272484,1,SWOF,,,,
0.3205601,0.1129024,0.0845879,0.0236477,1,SWOF,,,,
0.3405601,0.1309656,0.0695482,0.0206997,1,SWOF,,,,
0.3605601,0.150688,0.0569377,0.0182574,1,SWOF,,,,
0.3805601,0.1721141,0.0463971,0.0162129,1,SWOF,,,,
0.4005601,0.1952777,0.037616,0.0144851,1,SWOF,,,,
0.4205601,0.2201999,0.0303268,0.0130127,1,SWOF,,,,
0.4405601,0.2468861,0.0242999,0.0117484,1,SWOF,,,,
0.4605601,0.2753238,0.0193385,0.0106552,1,SWOF,,,,
0.4805601,0.3054794,0.0152738,0.0097039,1,SWOF,,,,
0.5005601,0.3372959,0.0119621,0.0088713,1,SWOF,,,,
0.5205601,0.3706903,0.0092802,0.0081387,1,SWOF,,,,
0.5405601,0.4055517,0.0071236,0.0074909,1,SWOF,,,,
0.5605601,0.4417394,0.005403,0.0069155,1,SWOF,,,,
0.5805601,0.479082,0.0040426,0.0064022,1,SWOF,,,,
0.6005601,0.5173767,0.0029782,0.0059425,1,SWOF,,,,
0.6205601,0.5563902,0.0021553,0.0055293,1,SWOF,,,,
0.6405601,0.5958595,0.0015278,0.0051565,1,SWOF,,,,
0.6605601,0.6354943,0.0010572,0.0048193,1,SWOF,,,,
0.6805601,0.67498,0.000711,0.0045132,1,SWOF,,,,
0.7005601,0.7139813,0.000462,0.0042346,1,SWOF,,,,
0.7205601,0.7521463,0.000288,0.0039803,1,SWOF,,,,
0.7405601,0.7891102,0.0001705,0.0037476,1,SWOF,,,,
0.7605601,0.8244991,9.45e-05,0.0035343,1,SWOF,,,,
0.7805601,0.857931,4.8e-05,0.0033381,1,SWOF,,,,
0.8005601,0.8890143,2.17e-05,0.0031574,1,SWOF,,,,
0.8205601,0.9173385,8.2e-06,0.0029905,1,SWOF,,,,
0.8405601,0.9424507,2.4e-06,0.0028362,1,SWOF,,,,
