CONBPRES,CONIDX,SGAS,DEPTH,PRESSURE,DRAWDOWN,WELL,WELLMODEL,SWAT,CONKPOS,DATE,CONIPOS,CONJPOS
300.6733093261719,1,0.0,1641.094970703125,300.6733093261719,0,R_A2,STANDARD,0.055880606174468994,1,2018-01-01,22,30
300.7936096191406,2,0.0,1642.8890380859375,300.7936096191406,0,R_A2,STANDARD,0.05794878676533699,2,2018-01-01,22,30
300.9139099121094,3,0.0,1644.68310546875,300.9139099121094,0,R_A2,STANDARD,0.06058797240257263,3,2018-01-01,22,30
301.0342102050781,4,0.0,1646.4771728515625,301.0342102050781,0,R_A2,STANDARD,0.0678098052740097,4,2018-01-01,22,30
301.1545104980469,5,0.0,1648.2713623046875,301.1545104980469,0,R_A2,STANDARD,0.07152793556451797,5,2018-01-01,22,30
301.27484130859375,6,0.0,1650.0654296875,301.27484130859375,0,R_A2,STANDARD,0.14327770471572876,6,2018-01-01,22,30
301.3951721191406,7,0.0,1651.859619140625,301.3951721191406,0,R_A2,STANDARD,0.2598637044429779,7,2018-01-01,22,30
301.5154724121094,8,0.0,1653.6536865234375,301.5154724121094,0,R_A2,STANDARD,0.6481541991233826,8,2018-01-01,22,30
301.63580322265625,9,0.0,1655.44775390625,301.63580322265625,0,R_A2,STANDARD,0.6481541991233826,9,2018-01-01,22,30
301.7561340332031,10,0.0,1657.2418212890625,301.7561340332031,0,R_A2,STANDARD,0.9135551452636719,10,2018-01-01,22,30
301.88323974609375,11,0.0,1659.1368408203125,301.88323974609375,0,R_A2,STANDARD,0.07876349240541458,11,2018-01-01,22,30
302.01708984375,12,0.0,1661.132568359375,302.01708984375,0,R_A2,STANDARD,0.0862409919500351,12,2018-01-01,22,30
302.1509704589844,13,0.0,1663.12841796875,302.1509704589844,0,R_A2,STANDARD,0.4577699303627014,13,2018-01-01,22,30
302.28485107421875,14,0.0,1665.1241455078125,302.28485107421875,0,R_A2,STANDARD,0.519985556602478,14,2018-01-01,22,30
302.4187316894531,15,0.0,1667.1199951171875,302.4187316894531,0,R_A2,STANDARD,0.6918675303459167,15,2018-01-01,22,30
302.5526123046875,16,0.0,1669.11572265625,302.5526123046875,0,R_A2,STANDARD,0.9727101922035217,16,2018-01-01,22,30
302.6864929199219,17,0.0,1671.111572265625,302.6864929199219,0,R_A2,STANDARD,0.9494145512580872,17,2018-01-01,22,30
302.8123779296875,18,0.0,1672.9881591796875,302.8123779296875,0,R_A2,STANDARD,0.9820622205734253,18,2018-01-01,22,30
302.89569091796875,19,0.0,1674.229736328125,302.89569091796875,0,R_A2,STANDARD,0.9921741485595703,18,2018-01-01,22,29
303.02569580078125,20,0.0,1676.1676025390625,303.02569580078125,0,R_A2,STANDARD,0.4947701394557953,27,2018-01-01,22,29
303.47802734375,21,0.0,1677.9368896484375,303.47802734375,0,R_A2,STANDARD,1.0,28,2018-01-01,22,29
303.64569091796875,22,0.0,1679.7061767578125,303.64569091796875,0,R_A2,STANDARD,1.0,29,2018-01-01,22,29
