PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID,REAL,ENSEMBLE
PERM,LowerReek,Dorne,Background,11.25769,,100.0,0.13257687,1.6300101,25.802546,14.094572,geogrid,geogrid,2,iter-0
PORO,LowerReek,Dorne,Background,0.105114296,,0.28318968,0.0,0.04518007,0.16548736,0.046583053,geogrid,geogrid,2,iter-0
SW,LowerReek,Dorne,Background,1.0,,1.0,1.0,1.0,1.0,0.0,geogrid,geogrid,2,iter-0
PERM,LowerReek,Dorne,Channel,3461.2812,,10000.0,29.085485,561.37775,9912.503,3059.5337,geogrid,geogrid,2,iter-0
PORO,LowerReek,Dorne,Channel,0.2541391,,0.4277972,0.0690946,0.19270091,0.31730735,0.04805363,geogrid,geogrid,2,iter-0
SW,LowerReek,Dorne,Channel,0.9860772,,1.0,0.08061312,1.0,1.0,0.10335102,geogrid,geogrid,2,iter-0
PERM,LowerReek,Dorne,Crevasse,172.31836,,1000.0,2.1518085,20.709703,428.4066,218.10538,geogrid,geogrid,2,iter-0
PORO,LowerReek,Dorne,Crevasse,0.19662794,,0.37587208,0.030516416,0.13219936,0.26101187,0.051522963,geogrid,geogrid,2,iter-0
SW,LowerReek,Dorne,Crevasse,0.99371374,,1.0,0.21530133,1.0,1.0,0.05561851,geogrid,geogrid,2,iter-0
PERM,LowerReek,IronIslands,Background,14.058147,,100.0,0.086853705,1.5014918,35.252357,19.216125,geogrid,geogrid,2,iter-0
PORO,LowerReek,IronIslands,Background,0.11513002,,0.32851014,0.0,0.045379218,0.1864009,0.053850137,geogrid,geogrid,2,iter-0
SW,LowerReek,IronIslands,Background,0.7322438,,1.0,0.0,0.28373748,1.0,0.3194448,geogrid,geogrid,2,iter-0
PERM,LowerReek,IronIslands,Channel,3314.3113,,10000.0,16.987383,525.97485,9035.571,2953.9463,geogrid,geogrid,2,iter-0
PORO,LowerReek,IronIslands,Channel,0.25416124,,0.41316554,0.0708331,0.19392075,0.31461725,0.047663964,geogrid,geogrid,2,iter-0
SW,LowerReek,IronIslands,Channel,0.27510697,,1.0,0.022061393,0.032591105,1.0,0.3895702,geogrid,geogrid,2,iter-0
PERM,LowerReek,IronIslands,Crevasse,194.65652,,1000.0,3.9539661,26.393234,486.16824,220.23676,geogrid,geogrid,2,iter-0
PORO,LowerReek,IronIslands,Crevasse,0.20418285,,0.37942708,0.02147843,0.13893712,0.26522014,0.04923025,geogrid,geogrid,2,iter-0
SW,LowerReek,IronIslands,Crevasse,0.39458278,,1.0,0.053013355,0.083095394,1.0,0.3726336,geogrid,geogrid,2,iter-0
PERM,LowerReek,North,Background,15.321407,,100.0,0.09325737,1.8668892,36.616314,18.951155,geogrid,geogrid,2,iter-0
PORO,LowerReek,North,Background,0.114263736,,0.27418625,0.0,0.05104603,0.17518216,0.04800777,geogrid,geogrid,2,iter-0
SW,LowerReek,North,Background,0.99473685,,1.0,0.23592876,1.0,1.0,0.056748036,geogrid,geogrid,2,iter-0
PERM,LowerReek,North,Channel,3300.2917,,10000.0,38.06027,503.0416,9454.167,3022.6992,geogrid,geogrid,2,iter-0
PORO,LowerReek,North,Channel,0.25317606,,0.43401515,0.097191796,0.19029129,0.31716263,0.049086884,geogrid,geogrid,2,iter-0
SW,LowerReek,North,Channel,0.9886368,,1.0,0.029463496,1.0,1.0,0.10223262,geogrid,geogrid,2,iter-0
PERM,LowerReek,North,Crevasse,181.4075,,1000.0,0.8133846,21.245861,449.90482,214.99393,geogrid,geogrid,2,iter-0
PORO,LowerReek,North,Crevasse,0.19976756,,0.3716911,0.011621892,0.13311604,0.2672886,0.051322684,geogrid,geogrid,2,iter-0
SW,LowerReek,North,Crevasse,0.9906829,,1.0,0.08985316,1.0,1.0,0.0856243,geogrid,geogrid,2,iter-0
