DATE,DEPTH,SWAT,CONIDX,CONBPRES,SGAS,CONKPOS,WELL,CONJPOS,WELLMODEL,CONIPOS,PRESSURE,DRAWDOWN
2018-01-01,1641.98046875,0.11555589735507965,1,300.7791442871094,0.0,1,R_A2,30,STANDARD,22,300.7791442871094,0
2018-01-01,1643.73486328125,0.05844000354409218,2,300.8967590332031,0.0,2,R_A2,30,STANDARD,22,300.8967590332031,0
2018-01-01,1645.4892578125,0.10386548936367035,3,301.014404296875,0.0,3,R_A2,30,STANDARD,22,301.014404296875,0
2018-01-01,1647.2435302734375,0.14478810131549835,4,301.1320495605469,0.0,4,R_A2,30,STANDARD,22,301.1320495605469,0
2018-01-01,1648.9979248046875,0.10943415015935898,5,301.24969482421875,0.0,5,R_A2,30,STANDARD,22,301.24969482421875,0
2018-01-01,1650.752197265625,0.3130512833595276,6,301.3673400878906,0.0,6,R_A2,30,STANDARD,22,301.3673400878906,0
2018-01-01,1652.5064697265625,0.8911706209182739,7,301.4850158691406,0.0,7,R_A2,30,STANDARD,22,301.4850158691406,0
2018-01-01,1654.2608642578125,0.8666343092918396,8,301.6026611328125,0.0,8,R_A2,30,STANDARD,22,301.6026611328125,0
2018-01-01,1656.01513671875,0.9026603102684021,9,301.7203369140625,0.0,9,R_A2,30,STANDARD,22,301.7203369140625,0
2018-01-01,1657.76953125,0.9018562436103821,10,301.8379821777344,0.0,10,R_A2,30,STANDARD,22,301.8379821777344,0
2018-01-01,1659.6934814453125,0.0739516094326973,11,301.967041015625,0.0,11,R_A2,30,STANDARD,22,301.967041015625,0
2018-01-01,1661.787109375,0.1877819299697876,12,302.1074523925781,0.0,12,R_A2,30,STANDARD,22,302.1074523925781,0
2018-01-01,1663.880615234375,0.4520062804222107,13,302.2478942871094,0.0,13,R_A2,30,STANDARD,22,302.2478942871094,0
2018-01-01,1665.9742431640625,0.5018254518508911,14,302.3883361816406,0.0,14,R_A2,30,STANDARD,22,302.3883361816406,0
2018-01-01,1668.06787109375,0.9364000558853149,15,302.5287780761719,0.0,15,R_A2,30,STANDARD,22,302.5287780761719,0
2018-01-01,1670.161376953125,0.9686603546142578,16,302.6692199707031,0.0,16,R_A2,30,STANDARD,22,302.6692199707031,0
2018-01-01,1672.2550048828125,0.9250120520591736,17,302.8096618652344,0.0,17,R_A2,30,STANDARD,22,302.8096618652344,0
2018-01-01,1674.009521484375,0.9914858937263489,18,302.9273681640625,0.0,18,R_A2,30,STANDARD,22,302.9273681640625,0
2018-01-01,1675.6162109375,0.6481541991233826,19,303.0351867675781,0.0,25,R_A2,30,STANDARD,22,303.0351867675781,0
2018-01-01,1677.7493896484375,1.0,20,303.1783142089844,0.0,25,R_A2,29,STANDARD,22,303.1783142089844,0
2018-01-01,1679.4951171875,1.0,21,303.6257019042969,0.0,26,R_A2,29,STANDARD,22,303.6257019042969,0
2018-01-01,1681.24072265625,1.0,22,303.7911071777344,0.0,27,R_A2,29,STANDARD,22,303.7911071777344,0
2018-01-01,1682.986328125,1.0,23,303.95654296875,0.0,28,R_A2,29,STANDARD,22,303.95654296875,0
2018-01-01,1684.7320556640625,1.0,24,304.1219482421875,0.0,29,R_A2,29,STANDARD,22,304.1219482421875,0
2018-01-01,1595.98876953125,0.6481541991233826,1,297.6963806152344,0.0,1,R_A3,41,STANDARD,29,297.6963806152344,0
2018-01-01,1598.271240234375,0.14480489492416382,2,297.84930419921875,0.0,2,R_A3,41,STANDARD,29,297.84930419921875,0
2018-01-01,1600.5535888671875,0.18555380403995514,3,298.00225830078125,0.0,3,R_A3,41,STANDARD,29,298.00225830078125,0
2018-01-01,1602.8360595703125,0.22168119251728058,4,298.1551818847656,0.0,4,R_A3,41,STANDARD,29,298.1551818847656,0
2018-01-01,1605.1185302734375,0.6481541991233826,5,298.3081359863281,0.0,5,R_A3,41,STANDARD,29,298.3081359863281,0
2018-01-01,1607.4010009765625,0.22955842316150665,6,298.4610900878906,0.0,6,R_A3,41,STANDARD,29,298.4610900878906,0
2018-01-01,1609.683349609375,0.19404222071170807,7,298.61407470703125,0.0,7,R_A3,41,STANDARD,29,298.61407470703125,0
2018-01-01,1611.9658203125,0.24132698774337769,8,298.76702880859375,0.0,8,R_A3,41,STANDARD,29,298.76702880859375,0
2018-01-01,1614.248291015625,0.7936692833900452,9,298.9200134277344,0.0,9,R_A3,41,STANDARD,29,298.9200134277344,0
2018-01-01,1616.5306396484375,0.7942212820053101,10,299.0729675292969,0.0,10,R_A3,41,STANDARD,29,299.0729675292969,0
2018-01-01,1618.826171875,0.046423885971307755,11,299.2268371582031,0.0,11,R_A3,41,STANDARD,29,299.2268371582031,0
2018-01-01,1621.1346435546875,0.05412507802248001,12,299.381591796875,0.0,12,R_A3,41,STANDARD,29,299.381591796875,0
2018-01-01,1623.443115234375,0.36405739188194275,13,299.53631591796875,0.0,13,R_A3,41,STANDARD,29,299.53631591796875,0
2018-01-01,1625.7515869140625,0.24261876940727234,14,299.6910705566406,0.0,14,R_A3,41,STANDARD,29,299.6910705566406,0
2018-01-01,1628.06005859375,0.601466715335846,15,299.8458251953125,0.0,15,R_A3,41,STANDARD,29,299.8458251953125,0
2018-01-01,1630.2586669921875,0.8034430742263794,16,299.99322509765625,0.0,16,R_A3,41,STANDARD,29,299.99322509765625,0
2018-01-01,1633.477783203125,1.0,17,300.2090148925781,0.0,25,R_A3,41,STANDARD,29,300.2090148925781,0
2018-01-01,1637.2872314453125,0.04938458278775215,18,300.4644470214844,0.0,26,R_A3,41,STANDARD,29,300.4644470214844,0
