SGAS,SWAT,CONKPOS,CONIDX,PRESSURE,DRAWDOWN,CONBPRES,WELLMODEL,DATE,DEPTH,CONIPOS,CONJPOS,WELL
0.0,0.05426788702607155,1,1,300.8115234375,0,300.8115234375,STANDARD,2018-01-01,1641.094970703125,22,30,R_A2
0.0,0.05498146638274193,2,2,300.93182373046875,0,300.93182373046875,STANDARD,2018-01-01,1642.8890380859375,22,30,R_A2
0.0,0.057267770171165466,3,3,301.0521545410156,0,301.0521545410156,STANDARD,2018-01-01,1644.68310546875,22,30,R_A2
0.0,0.061878751963377,4,4,301.1724548339844,0,301.1724548339844,STANDARD,2018-01-01,1646.4771728515625,22,30,R_A2
0.0,0.06384351849555969,5,5,301.29278564453125,0,301.29278564453125,STANDARD,2018-01-01,1648.2713623046875,22,30,R_A2
0.0,0.30262210965156555,6,6,301.4130859375,0,301.4130859375,STANDARD,2018-01-01,1650.0654296875,22,30,R_A2
0.0,0.8768700957298279,7,7,301.5334167480469,0,301.5334167480469,STANDARD,2018-01-01,1651.859619140625,22,30,R_A2
0.0,0.8405710458755493,8,8,301.65374755859375,0,301.65374755859375,STANDARD,2018-01-01,1653.6536865234375,22,30,R_A2
0.0,0.885481059551239,9,9,301.7740783691406,0,301.7740783691406,STANDARD,2018-01-01,1655.44775390625,22,30,R_A2
0.0,0.8823855519294739,10,10,301.8944091796875,0,301.8944091796875,STANDARD,2018-01-01,1657.2418212890625,22,30,R_A2
0.0,0.06779664009809494,11,11,302.0215148925781,0,302.0215148925781,STANDARD,2018-01-01,1659.1368408203125,22,30,R_A2
0.0,0.06967419385910034,12,12,302.1553649902344,0,302.1553649902344,STANDARD,2018-01-01,1661.132568359375,22,30,R_A2
0.0,0.4177432358264923,13,13,302.28924560546875,0,302.28924560546875,STANDARD,2018-01-01,1663.12841796875,22,30,R_A2
0.0,0.4637545645236969,14,14,302.4231262207031,0,302.4231262207031,STANDARD,2018-01-01,1665.1241455078125,22,30,R_A2
0.0,0.6344468593597412,15,15,302.5570068359375,0,302.5570068359375,STANDARD,2018-01-01,1667.1199951171875,22,30,R_A2
0.0,0.9170445203781128,16,16,302.6908874511719,0,302.6908874511719,STANDARD,2018-01-01,1669.11572265625,22,30,R_A2
0.0,0.8761357069015503,17,17,302.8247985839844,0,302.8247985839844,STANDARD,2018-01-01,1671.111572265625,22,30,R_A2
0.0,0.9218479990959167,18,18,302.95068359375,0,302.95068359375,STANDARD,2018-01-01,1672.9881591796875,22,30,R_A2
0.0,0.9398056864738464,18,19,303.03399658203125,0,303.03399658203125,STANDARD,2018-01-01,1674.229736328125,22,29,R_A2
0.0,0.6481541991233826,27,20,303.16400146484375,0,303.16400146484375,STANDARD,2018-01-01,1676.1676025390625,22,29,R_A2
0.0,1.0,28,21,303.28271484375,0,303.28271484375,STANDARD,2018-01-01,1677.9368896484375,22,29,R_A2
0.0,1.0,29,22,303.40142822265625,0,303.40142822265625,STANDARD,2018-01-01,1679.7061767578125,22,29,R_A2
0.0,1.0,30,23,303.5201416015625,0,303.5201416015625,STANDARD,2018-01-01,1681.4754638671875,22,29,R_A2
0.0,1.0,31,24,303.98101806640625,0,303.98101806640625,STANDARD,2018-01-01,1683.2447509765625,22,29,R_A2
0.0,0.6481541991233826,1,1,298.6763000488281,0,298.6763000488281,STANDARD,2018-01-01,1609.243408203125,28,41,R_A3
0.0,0.1936720609664917,2,2,298.8146667480469,0,298.8146667480469,STANDARD,2018-01-01,1611.3077392578125,28,41,R_A3
0.0,0.189294695854187,3,3,298.9530334472656,0,298.9530334472656,STANDARD,2018-01-01,1613.3720703125,28,41,R_A3
0.0,0.2514387369155884,4,4,299.09136962890625,0,299.09136962890625,STANDARD,2018-01-01,1615.4365234375,28,41,R_A3
0.0,0.8199065923690796,5,5,299.2297668457031,0,299.2297668457031,STANDARD,2018-01-01,1617.5008544921875,28,41,R_A3
0.0,0.6481541991233826,6,6,299.3681335449219,0,299.3681335449219,STANDARD,2018-01-01,1619.565185546875,28,41,R_A3
0.0,0.6481541991233826,6,7,298.6845397949219,0,298.6845397949219,STANDARD,2018-01-01,1609.3663330078125,29,41,R_A3
0.0,0.19403135776519775,7,8,298.8219299316406,0,298.8219299316406,STANDARD,2018-01-01,1611.4163818359375,29,41,R_A3
0.0,0.19557419419288635,8,9,298.9593200683594,0,298.9593200683594,STANDARD,2018-01-01,1613.46630859375,29,41,R_A3
0.0,0.7951235175132751,9,10,299.09674072265625,0,299.09674072265625,STANDARD,2018-01-01,1615.516357421875,29,41,R_A3
0.0,0.7937182784080505,10,11,299.234130859375,0,299.234130859375,STANDARD,2018-01-01,1617.5662841796875,29,41,R_A3
0.0,0.04587762802839279,11,12,299.38055419921875,0,299.38055419921875,STANDARD,2018-01-01,1619.750732421875,29,41,R_A3
0.0,0.05252784863114357,12,13,299.5360107421875,0,299.5360107421875,STANDARD,2018-01-01,1622.0697021484375,29,41,R_A3
0.0,0.3622743487358093,13,14,299.69146728515625,0,299.69146728515625,STANDARD,2018-01-01,1624.388671875,29,41,R_A3
0.0,0.3949447274208069,15,15,300.00238037109375,0,300.00238037109375,STANDARD,2018-01-01,1629.026611328125,29,41,R_A3
0.0,0.8037111163139343,16,16,300.1311340332031,0,300.1311340332031,STANDARD,2018-01-01,1630.9468994140625,29,41,R_A3
0.0,0.6481541991233826,27,17,300.3040466308594,0,300.3040466308594,STANDARD,2018-01-01,1633.5262451171875,29,41,R_A3
0.0,0.044127456843853,28,18,300.54791259765625,0,300.54791259765625,STANDARD,2018-01-01,1637.1630859375,29,41,R_A3
0.0,0.05128121003508568,29,19,300.7917785644531,0,300.7917785644531,STANDARD,2018-01-01,1640.8001708984375,29,41,R_A3
0.0,1.0,30,20,301.03564453125,0,301.03564453125,STANDARD,2018-01-01,1644.4371337890625,29,41,R_A3
0.0,0.05791408196091652,31,21,301.279541015625,0,301.279541015625,STANDARD,2018-01-01,1648.0740966796875,29,41,R_A3
0.0,0.0474134236574173,1,1,300.1472473144531,0,300.1472473144531,STANDARD,2018-01-01,1631.1873779296875,30,52,R_A4
0.0,0.047597501426935196,1,2,299.8952941894531,0,299.8952941894531,STANDARD,2018-01-01,1627.4293212890625,31,52,R_A4
0.0,0.048960763961076736,2,3,300.0334167480469,0,300.0334167480469,STANDARD,2018-01-01,1629.4896240234375,31,52,R_A4
0.0,0.05124382674694061,3,4,300.1715393066406,0,300.1715393066406,STANDARD,2018-01-01,1631.5498046875,31,52,R_A4
0.0,0.05557719245553017,4,5,300.3096618652344,0,300.3096618652344,STANDARD,2018-01-01,1633.610107421875,31,52,R_A4
0.0,0.05375424027442932,4,6,300.22833251953125,0,300.22833251953125,STANDARD,2018-01-01,1632.3968505859375,32,52,R_A4
0.0,0.056050099432468414,4,7,300.4619140625,0,300.4619140625,STANDARD,2018-01-01,1635.880615234375,32,51,R_A4
0.0,0.0886857733130455,4,8,300.5585021972656,0,300.5585021972656,STANDARD,2018-01-01,1637.321044921875,33,51,R_A4
0.0,0.16332729160785675,3,9,300.4346923828125,0,300.4346923828125,STANDARD,2018-01-01,1635.474609375,33,51,R_A4
0.0,0.1819848120212555,4,10,300.8821716308594,0,300.8821716308594,STANDARD,2018-01-01,1642.1485595703125,33,50,R_A4
0.0,0.15355999767780304,4,11,300.81402587890625,0,300.81402587890625,STANDARD,2018-01-01,1641.132080078125,34,50,R_A4
0.0,0.24582448601722717,3,12,300.6849365234375,0,300.6849365234375,STANDARD,2018-01-01,1639.20703125,34,50,R_A4
0.0,0.16243889927864075,3,13,300.7988586425781,0,300.7988586425781,STANDARD,2018-01-01,1640.9061279296875,35,50,R_A4
