CONBPRES,DEPTH,SWAT,CONKPOS,WELL,CONIDX,DRAWDOWN,SGAS,WELLMODEL,PRESSURE,DATE,CONJPOS,CONIPOS
300.6733093261719,1641.094970703125,0.10821601003408432,1,R_A2,1,0,0.0,STANDARD,300.6733093261719,2018-01-01,30,22
300.7936096191406,1642.8890380859375,0.11058630049228668,2,R_A2,2,0,0.0,STANDARD,300.7936096191406,2018-01-01,30,22
300.9139099121094,1644.68310546875,0.07774579524993896,3,R_A2,3,0,0.0,STANDARD,300.9139099121094,2018-01-01,30,22
301.0342102050781,1646.4771728515625,0.06678543984889984,4,R_A2,4,0,0.0,STANDARD,301.0342102050781,2018-01-01,30,22
301.1545104980469,1648.2713623046875,0.07244458049535751,5,R_A2,5,0,0.0,STANDARD,301.1545104980469,2018-01-01,30,22
301.27484130859375,1650.0654296875,0.1185254231095314,6,R_A2,6,0,0.0,STANDARD,301.27484130859375,2018-01-01,30,22
301.3951721191406,1651.859619140625,0.6481541991233826,7,R_A2,7,0,0.0,STANDARD,301.3951721191406,2018-01-01,30,22
301.5154724121094,1653.6536865234375,0.6481541991233826,8,R_A2,8,0,0.0,STANDARD,301.5154724121094,2018-01-01,30,22
301.63580322265625,1655.44775390625,0.1735297441482544,9,R_A2,9,0,0.0,STANDARD,301.63580322265625,2018-01-01,30,22
301.7561340332031,1657.2418212890625,0.32667964696884155,10,R_A2,10,0,0.0,STANDARD,301.7561340332031,2018-01-01,30,22
301.88323974609375,1659.1368408203125,0.07769951224327087,11,R_A2,11,0,0.0,STANDARD,301.88323974609375,2018-01-01,30,22
302.01708984375,1661.132568359375,0.07633190602064133,12,R_A2,12,0,0.0,STANDARD,302.01708984375,2018-01-01,30,22
302.1509704589844,1663.12841796875,0.4555773138999939,13,R_A2,13,0,0.0,STANDARD,302.1509704589844,2018-01-01,30,22
302.28485107421875,1665.1241455078125,0.49689048528671265,14,R_A2,14,0,0.0,STANDARD,302.28485107421875,2018-01-01,30,22
302.4187316894531,1667.1199951171875,0.697963297367096,15,R_A2,15,0,0.0,STANDARD,302.4187316894531,2018-01-01,30,22
302.5526123046875,1669.11572265625,0.9702016711235046,16,R_A2,16,0,0.0,STANDARD,302.5526123046875,2018-01-01,30,22
302.6864929199219,1671.111572265625,0.9523286819458008,17,R_A2,17,0,0.0,STANDARD,302.6864929199219,2018-01-01,30,22
302.8123779296875,1672.9881591796875,0.9832528829574585,18,R_A2,18,0,0.0,STANDARD,302.8123779296875,2018-01-01,30,22
302.89569091796875,1674.229736328125,0.9928692579269409,18,R_A2,19,0,0.0,STANDARD,302.89569091796875,2018-01-01,29,22
302.963134765625,1675.235107421875,1.0,19,R_A2,20,0,0.0,STANDARD,302.963134765625,2018-01-01,29,22
303.02569580078125,1676.1676025390625,0.6481541991233826,27,R_A2,21,0,0.0,STANDARD,303.02569580078125,2018-01-01,29,22
303.47802734375,1677.9368896484375,1.0,28,R_A2,22,0,0.0,STANDARD,303.47802734375,2018-01-01,29,22
303.64569091796875,1679.7061767578125,1.0,29,R_A2,23,0,0.0,STANDARD,303.64569091796875,2018-01-01,29,22
303.8133544921875,1681.4754638671875,1.0,30,R_A2,24,0,0.0,STANDARD,303.8133544921875,2018-01-01,29,22
303.98101806640625,1683.2447509765625,1.0,31,R_A2,25,0,0.0,STANDARD,303.98101806640625,2018-01-01,29,22
298.53814697265625,1609.243408203125,0.1351146101951599,1,R_A3,1,0,0.0,STANDARD,298.53814697265625,2018-01-01,41,28
298.676513671875,1611.3077392578125,0.11823459714651108,2,R_A3,2,0,0.0,STANDARD,298.676513671875,2018-01-01,41,28
298.8148498535156,1613.3720703125,0.12243370711803436,3,R_A3,3,0,0.0,STANDARD,298.8148498535156,2018-01-01,41,28
298.9532165527344,1615.4365234375,0.24829745292663574,4,R_A3,4,0,0.0,STANDARD,298.9532165527344,2018-01-01,41,28
299.0915832519531,1617.5008544921875,0.6481541991233826,5,R_A3,5,0,0.0,STANDARD,299.0915832519531,2018-01-01,41,28
299.2299499511719,1619.565185546875,0.3404858112335205,6,R_A3,6,0,0.0,STANDARD,299.2299499511719,2018-01-01,41,28
298.54638671875,1609.3663330078125,0.6481541991233826,6,R_A3,7,0,0.0,STANDARD,298.54638671875,2018-01-01,41,29
298.68377685546875,1611.4163818359375,0.1983322650194168,7,R_A3,8,0,0.0,STANDARD,298.68377685546875,2018-01-01,41,29
298.8211669921875,1613.46630859375,0.20094092190265656,8,R_A3,9,0,0.0,STANDARD,298.8211669921875,2018-01-01,41,29
298.95855712890625,1615.516357421875,0.6481541991233826,9,R_A3,10,0,0.0,STANDARD,298.95855712890625,2018-01-01,41,29
299.095947265625,1617.5662841796875,0.7979751825332642,10,R_A3,11,0,0.0,STANDARD,299.095947265625,2018-01-01,41,29
299.24237060546875,1619.750732421875,0.05079192295670509,11,R_A3,12,0,0.0,STANDARD,299.24237060546875,2018-01-01,41,29
299.3978271484375,1622.0697021484375,0.05455172061920166,12,R_A3,13,0,0.0,STANDARD,299.3978271484375,2018-01-01,41,29
299.5532531738281,1624.388671875,0.3680056035518646,13,R_A3,14,0,0.0,STANDARD,299.5532531738281,2018-01-01,41,29
299.7087097167969,1626.707763671875,0.3714577257633209,14,R_A3,15,0,0.0,STANDARD,299.7087097167969,2018-01-01,41,29
299.8641662597656,1629.026611328125,0.4909714162349701,15,R_A3,16,0,0.0,STANDARD,299.8641662597656,2018-01-01,41,29
299.992919921875,1630.9468994140625,0.8089039921760559,16,R_A3,17,0,0.0,STANDARD,299.992919921875,2018-01-01,41,29
300.16583251953125,1633.5262451171875,0.3014692962169647,27,R_A3,18,0,0.0,STANDARD,300.16583251953125,2018-01-01,41,29
300.40966796875,1637.1630859375,0.044041041284799576,28,R_A3,19,0,0.0,STANDARD,300.40966796875,2018-01-01,41,29
300.6535339355469,1640.8001708984375,0.08846355974674225,29,R_A3,20,0,0.0,STANDARD,300.6535339355469,2018-01-01,41,29
300.89739990234375,1644.4371337890625,1.0,30,R_A3,21,0,0.0,STANDARD,300.89739990234375,2018-01-01,41,29
301.14129638671875,1648.0740966796875,0.06317919492721558,31,R_A3,22,0,0.0,STANDARD,301.14129638671875,2018-01-01,41,29
300.009033203125,1631.1873779296875,0.05148448422551155,1,R_A4,1,0,0.0,STANDARD,300.009033203125,2018-01-01,52,30
299.7571105957031,1627.4293212890625,0.04942012205719948,1,R_A4,2,0,0.0,STANDARD,299.7571105957031,2018-01-01,52,31
299.89520263671875,1629.4896240234375,0.05094006285071373,2,R_A4,3,0,0.0,STANDARD,299.89520263671875,2018-01-01,52,31
300.0333251953125,1631.5498046875,0.05282565578818321,3,R_A4,4,0,0.0,STANDARD,300.0333251953125,2018-01-01,52,31
300.17144775390625,1633.610107421875,0.059012703597545624,4,R_A4,5,0,0.0,STANDARD,300.17144775390625,2018-01-01,52,31
300.0901184082031,1632.3968505859375,0.05643600597977638,4,R_A4,6,0,0.0,STANDARD,300.0901184082031,2018-01-01,52,32
300.3236999511719,1635.880615234375,0.05788363516330719,4,R_A4,7,0,0.0,STANDARD,300.3236999511719,2018-01-01,51,32
300.4202575683594,1637.321044921875,0.058634817600250244,4,R_A4,8,0,0.0,STANDARD,300.4202575683594,2018-01-01,51,33
