CONKPOS,PRESSURE,WELL,CONJPOS,SWAT,SGAS,DRAWDOWN,DEPTH,CONBPRES,CONIPOS,CONIDX,DATE,WELLMODEL
1,300.6733093261719,R_A2,30,0.05682307109236717,0.0,0,1641.094970703125,300.6733093261719,22,1,2018-01-01,STANDARD
2,300.7936096191406,R_A2,30,0.059868622571229935,0.0,0,1642.8890380859375,300.7936096191406,22,2,2018-01-01,STANDARD
3,300.9139099121094,R_A2,30,0.0626271441578865,0.0,0,1644.68310546875,300.9139099121094,22,3,2018-01-01,STANDARD
4,301.0342102050781,R_A2,30,0.06645650416612625,0.0,0,1646.4771728515625,301.0342102050781,22,4,2018-01-01,STANDARD
5,301.1545104980469,R_A2,30,0.07079914212226868,0.0,0,1648.2713623046875,301.1545104980469,22,5,2018-01-01,STANDARD
6,301.27484130859375,R_A2,30,0.23910002410411835,0.0,0,1650.0654296875,301.27484130859375,22,6,2018-01-01,STANDARD
7,301.3951721191406,R_A2,30,0.8951376676559448,0.0,0,1651.859619140625,301.3951721191406,22,7,2018-01-01,STANDARD
8,301.5154724121094,R_A2,30,0.8685147166252136,0.0,0,1653.6536865234375,301.5154724121094,22,8,2018-01-01,STANDARD
9,301.63580322265625,R_A2,30,0.894565999507904,0.0,0,1655.44775390625,301.63580322265625,22,9,2018-01-01,STANDARD
10,301.7561340332031,R_A2,30,0.9062598943710327,0.0,0,1657.2418212890625,301.7561340332031,22,10,2018-01-01,STANDARD
11,301.88323974609375,R_A2,30,0.07765933871269226,0.0,0,1659.1368408203125,301.88323974609375,22,11,2018-01-01,STANDARD
12,302.01708984375,R_A2,30,0.08095082640647888,0.0,0,1661.132568359375,302.01708984375,22,12,2018-01-01,STANDARD
13,302.1509704589844,R_A2,30,0.4631236791610718,0.0,0,1663.12841796875,302.1509704589844,22,13,2018-01-01,STANDARD
14,302.28485107421875,R_A2,30,0.5077258348464966,0.0,0,1665.1241455078125,302.28485107421875,22,14,2018-01-01,STANDARD
15,302.4187316894531,R_A2,30,0.6800851821899414,0.0,0,1667.1199951171875,302.4187316894531,22,15,2018-01-01,STANDARD
16,302.5526123046875,R_A2,30,0.9764990210533142,0.0,0,1669.11572265625,302.5526123046875,22,16,2018-01-01,STANDARD
17,302.6864929199219,R_A2,30,0.9521156549453735,0.0,0,1671.111572265625,302.6864929199219,22,17,2018-01-01,STANDARD
18,302.8123779296875,R_A2,30,0.9803889393806458,0.0,0,1672.9881591796875,302.8123779296875,22,18,2018-01-01,STANDARD
18,302.89569091796875,R_A2,29,0.9921049475669861,0.0,0,1674.229736328125,302.89569091796875,22,19,2018-01-01,STANDARD
27,303.02569580078125,R_A2,29,0.4429566264152527,0.0,0,1676.1676025390625,303.02569580078125,22,20,2018-01-01,STANDARD
28,303.47802734375,R_A2,29,1.0,0.0,0,1677.9368896484375,303.47802734375,22,21,2018-01-01,STANDARD
29,303.64569091796875,R_A2,29,1.0,0.0,0,1679.7061767578125,303.64569091796875,22,22,2018-01-01,STANDARD
30,303.8133544921875,R_A2,29,1.0,0.0,0,1681.4754638671875,303.8133544921875,22,23,2018-01-01,STANDARD
31,303.98101806640625,R_A2,29,1.0,0.0,0,1683.2447509765625,303.98101806640625,22,24,2018-01-01,STANDARD
1,298.53814697265625,R_A3,41,0.6481541991233826,0.0,0,1609.243408203125,298.53814697265625,28,1,2018-01-01,STANDARD
2,298.676513671875,R_A3,41,0.1953458935022354,0.0,0,1611.3077392578125,298.676513671875,28,2,2018-01-01,STANDARD
3,298.8148498535156,R_A3,41,0.19456657767295837,0.0,0,1613.3720703125,298.8148498535156,28,3,2018-01-01,STANDARD
4,298.9532165527344,R_A3,41,0.3696915805339813,0.0,0,1615.4365234375,298.9532165527344,28,4,2018-01-01,STANDARD
5,299.0915832519531,R_A3,41,0.834352970123291,0.0,0,1617.5008544921875,299.0915832519531,28,5,2018-01-01,STANDARD
6,299.2299499511719,R_A3,41,0.6481541991233826,0.0,0,1619.565185546875,299.2299499511719,28,6,2018-01-01,STANDARD
6,298.54638671875,R_A3,41,0.6481541991233826,0.0,0,1609.3663330078125,298.54638671875,29,7,2018-01-01,STANDARD
7,298.68377685546875,R_A3,41,0.1984773725271225,0.0,0,1611.4163818359375,298.68377685546875,29,8,2018-01-01,STANDARD
8,298.8211669921875,R_A3,41,0.1977151483297348,0.0,0,1613.46630859375,298.8211669921875,29,9,2018-01-01,STANDARD
9,298.95855712890625,R_A3,41,0.800819993019104,0.0,0,1615.516357421875,298.95855712890625,29,10,2018-01-01,STANDARD
10,299.095947265625,R_A3,41,0.7992424964904785,0.0,0,1617.5662841796875,299.095947265625,29,11,2018-01-01,STANDARD
11,299.24237060546875,R_A3,41,0.05049673467874527,0.0,0,1619.750732421875,299.24237060546875,29,12,2018-01-01,STANDARD
12,299.3978271484375,R_A3,41,0.05441533401608467,0.0,0,1622.0697021484375,299.3978271484375,29,13,2018-01-01,STANDARD
13,299.5532531738281,R_A3,41,0.3730502128601074,0.0,0,1624.388671875,299.5532531738281,29,14,2018-01-01,STANDARD
14,299.7087097167969,R_A3,41,0.4005099833011627,0.0,0,1626.707763671875,299.7087097167969,29,15,2018-01-01,STANDARD
15,299.8641662597656,R_A3,41,0.4975426495075226,0.0,0,1629.026611328125,299.8641662597656,29,16,2018-01-01,STANDARD
16,299.992919921875,R_A3,41,0.8084018230438232,0.0,0,1630.9468994140625,299.992919921875,29,17,2018-01-01,STANDARD
27,300.16583251953125,R_A3,41,1.0,0.0,0,1633.5262451171875,300.16583251953125,29,18,2018-01-01,STANDARD
