CONJPOS,DRAWDOWN,CONIPOS,SWAT,PRESSURE,SGAS,CONKPOS,CONBPRES,WELL,DATE,WELLMODEL,DEPTH,CONIDX
30,0,22,0.05649875849485397,300.6733093261719,0.0,1,300.6733093261719,R_A2,2018-01-01,STANDARD,1641.094970703125,1
30,0,22,0.05709094554185867,300.7936096191406,0.0,2,300.7936096191406,R_A2,2018-01-01,STANDARD,1642.8890380859375,2
30,0,22,0.06132970005273819,300.9139099121094,0.0,3,300.9139099121094,R_A2,2018-01-01,STANDARD,1644.68310546875,3
30,0,22,0.06751589477062225,301.0342102050781,0.0,4,301.0342102050781,R_A2,2018-01-01,STANDARD,1646.4771728515625,4
30,0,22,0.07101739197969437,301.1545104980469,0.0,5,301.1545104980469,R_A2,2018-01-01,STANDARD,1648.2713623046875,5
30,0,22,0.3220924139022827,301.27484130859375,0.0,6,301.27484130859375,R_A2,2018-01-01,STANDARD,1650.0654296875,6
30,0,22,0.6901668310165405,301.3951721191406,0.0,7,301.3951721191406,R_A2,2018-01-01,STANDARD,1651.859619140625,7
30,0,22,0.6481541991233826,301.5154724121094,0.0,8,301.5154724121094,R_A2,2018-01-01,STANDARD,1653.6536865234375,8
30,0,22,0.6481541991233826,301.63580322265625,0.0,9,301.63580322265625,R_A2,2018-01-01,STANDARD,1655.44775390625,9
30,0,22,0.9162277579307556,301.7561340332031,0.0,10,301.7561340332031,R_A2,2018-01-01,STANDARD,1657.2418212890625,10
30,0,22,0.07591938227415085,301.88323974609375,0.0,11,301.88323974609375,R_A2,2018-01-01,STANDARD,1659.1368408203125,11
30,0,22,0.08079689741134644,302.01708984375,0.0,12,302.01708984375,R_A2,2018-01-01,STANDARD,1661.132568359375,12
30,0,22,0.45630839467048645,302.1509704589844,0.0,13,302.1509704589844,R_A2,2018-01-01,STANDARD,1663.12841796875,13
30,0,22,0.503816545009613,302.28485107421875,0.0,14,302.28485107421875,R_A2,2018-01-01,STANDARD,1665.1241455078125,14
30,0,22,0.6866241097450256,302.4187316894531,0.0,15,302.4187316894531,R_A2,2018-01-01,STANDARD,1667.1199951171875,15
30,0,22,0.9751048684120178,302.5526123046875,0.0,16,302.5526123046875,R_A2,2018-01-01,STANDARD,1669.11572265625,16
30,0,22,0.9595911502838135,302.6864929199219,0.0,17,302.6864929199219,R_A2,2018-01-01,STANDARD,1671.111572265625,17
30,0,22,0.980763852596283,302.8123779296875,0.0,18,302.8123779296875,R_A2,2018-01-01,STANDARD,1672.9881591796875,18
29,0,22,0.999263346195221,302.89569091796875,0.0,18,302.89569091796875,R_A2,2018-01-01,STANDARD,1674.229736328125,19
29,0,22,1.0,303.02569580078125,0.0,27,303.02569580078125,R_A2,2018-01-01,STANDARD,1676.1676025390625,20
29,0,22,1.0,303.47802734375,0.0,28,303.47802734375,R_A2,2018-01-01,STANDARD,1677.9368896484375,21
29,0,22,1.0,303.64569091796875,0.0,29,303.64569091796875,R_A2,2018-01-01,STANDARD,1679.7061767578125,22
29,0,22,1.0,303.8133544921875,0.0,30,303.8133544921875,R_A2,2018-01-01,STANDARD,1681.4754638671875,23
29,0,22,1.0,303.98101806640625,0.0,31,303.98101806640625,R_A2,2018-01-01,STANDARD,1683.2447509765625,24
41,0,28,0.6481541991233826,298.53814697265625,0.0,1,298.53814697265625,R_A3,2018-01-01,STANDARD,1609.243408203125,1
41,0,28,0.22876429557800293,298.676513671875,0.0,2,298.676513671875,R_A3,2018-01-01,STANDARD,1611.3077392578125,2
41,0,28,0.19760067760944366,298.8148498535156,0.0,3,298.8148498535156,R_A3,2018-01-01,STANDARD,1613.3720703125,3
41,0,28,0.3792901039123535,298.9532165527344,0.0,4,298.9532165527344,R_A3,2018-01-01,STANDARD,1615.4365234375,4
41,0,28,0.8267315626144409,299.0915832519531,0.0,5,299.0915832519531,R_A3,2018-01-01,STANDARD,1617.5008544921875,5
41,0,28,0.22688354551792145,299.2299499511719,0.0,6,299.2299499511719,R_A3,2018-01-01,STANDARD,1619.565185546875,6
41,0,29,0.26596105098724365,298.54638671875,0.0,6,298.54638671875,R_A3,2018-01-01,STANDARD,1609.3663330078125,7
41,0,29,0.19722381234169006,298.68377685546875,0.0,7,298.68377685546875,R_A3,2018-01-01,STANDARD,1611.4163818359375,8
41,0,29,0.3807685971260071,298.8211669921875,0.0,8,298.8211669921875,R_A3,2018-01-01,STANDARD,1613.46630859375,9
41,0,29,0.8020743727684021,298.95855712890625,0.0,9,298.95855712890625,R_A3,2018-01-01,STANDARD,1615.516357421875,10
41,0,29,0.7998339533805847,299.095947265625,0.0,10,299.095947265625,R_A3,2018-01-01,STANDARD,1617.5662841796875,11
41,0,29,0.048946261405944824,299.24237060546875,0.0,11,299.24237060546875,R_A3,2018-01-01,STANDARD,1619.750732421875,12
41,0,29,0.05424661189317703,299.3978271484375,0.0,12,299.3978271484375,R_A3,2018-01-01,STANDARD,1622.0697021484375,13
41,0,29,0.3695291578769684,299.5532531738281,0.0,13,299.5532531738281,R_A3,2018-01-01,STANDARD,1624.388671875,14
41,0,29,0.36767199635505676,299.7087097167969,0.0,14,299.7087097167969,R_A3,2018-01-01,STANDARD,1626.707763671875,15
41,0,29,0.4412824809551239,299.8641662597656,0.0,15,299.8641662597656,R_A3,2018-01-01,STANDARD,1629.026611328125,16
41,0,29,0.8111897110939026,299.992919921875,0.0,16,299.992919921875,R_A3,2018-01-01,STANDARD,1630.9468994140625,17
41,0,29,0.37905046343803406,300.16583251953125,0.0,27,300.16583251953125,R_A3,2018-01-01,STANDARD,1633.5262451171875,18
