CONJPOS,DRAWDOWN,CONIDX,CONBPRES,PRESSURE,SWAT,CONKPOS,WELLMODEL,DEPTH,DATE,CONIPOS,WELL,SGAS
30,0,1,300.6733093261719,300.6733093261719,0.05659883841872215,1,STANDARD,1641.094970703125,2018-01-01,22,R_A2,0.0
30,0,2,300.7936096191406,300.7936096191406,0.057897210121154785,2,STANDARD,1642.8890380859375,2018-01-01,22,R_A2,0.0
30,0,3,300.9139099121094,300.9139099121094,0.06060889735817909,3,STANDARD,1644.68310546875,2018-01-01,22,R_A2,0.0
30,0,4,301.0342102050781,301.0342102050781,0.06530755013227463,4,STANDARD,1646.4771728515625,2018-01-01,22,R_A2,0.0
30,0,5,301.1545104980469,301.1545104980469,0.06916967034339905,5,STANDARD,1648.2713623046875,2018-01-01,22,R_A2,0.0
30,0,6,301.27484130859375,301.27484130859375,0.3080350458621979,6,STANDARD,1650.0654296875,2018-01-01,22,R_A2,0.0
30,0,7,301.3951721191406,301.3951721191406,0.8966805338859558,7,STANDARD,1651.859619140625,2018-01-01,22,R_A2,0.0
30,0,8,301.5154724121094,301.5154724121094,0.8801488876342773,8,STANDARD,1653.6536865234375,2018-01-01,22,R_A2,0.0
30,0,9,301.63580322265625,301.63580322265625,0.9076734781265259,9,STANDARD,1655.44775390625,2018-01-01,22,R_A2,0.0
30,0,10,301.7561340332031,301.7561340332031,0.9077416062355042,10,STANDARD,1657.2418212890625,2018-01-01,22,R_A2,0.0
30,0,11,301.88323974609375,301.88323974609375,0.07622610777616501,11,STANDARD,1659.1368408203125,2018-01-01,22,R_A2,0.0
30,0,12,302.01708984375,302.01708984375,0.08180969953536987,12,STANDARD,1661.132568359375,2018-01-01,22,R_A2,0.0
30,0,13,302.1509704589844,302.1509704589844,0.4750072658061981,13,STANDARD,1663.12841796875,2018-01-01,22,R_A2,0.0
30,0,14,302.28485107421875,302.28485107421875,0.512985348701477,14,STANDARD,1665.1241455078125,2018-01-01,22,R_A2,0.0
30,0,15,302.4187316894531,302.4187316894531,0.679781973361969,15,STANDARD,1667.1199951171875,2018-01-01,22,R_A2,0.0
30,0,16,302.5526123046875,302.5526123046875,0.9705216884613037,16,STANDARD,1669.11572265625,2018-01-01,22,R_A2,0.0
30,0,17,302.6864929199219,302.6864929199219,0.9569120407104492,17,STANDARD,1671.111572265625,2018-01-01,22,R_A2,0.0
30,0,18,302.8123779296875,302.8123779296875,0.9819161295890808,18,STANDARD,1672.9881591796875,2018-01-01,22,R_A2,0.0
29,0,19,302.89569091796875,302.89569091796875,0.9946486949920654,18,STANDARD,1674.229736328125,2018-01-01,22,R_A2,0.0
29,0,20,303.02569580078125,303.02569580078125,1.0,27,STANDARD,1676.1676025390625,2018-01-01,22,R_A2,0.0
29,0,21,303.47802734375,303.47802734375,1.0,28,STANDARD,1677.9368896484375,2018-01-01,22,R_A2,0.0
29,0,22,303.64569091796875,303.64569091796875,1.0,29,STANDARD,1679.7061767578125,2018-01-01,22,R_A2,0.0
29,0,23,303.8133544921875,303.8133544921875,1.0,30,STANDARD,1681.4754638671875,2018-01-01,22,R_A2,0.0
29,0,24,303.98101806640625,303.98101806640625,1.0,31,STANDARD,1683.2447509765625,2018-01-01,22,R_A2,0.0
41,0,1,298.53814697265625,298.53814697265625,0.6481541991233826,1,STANDARD,1609.243408203125,2018-01-01,28,R_A3,0.0
41,0,2,298.676513671875,298.676513671875,0.1989089697599411,2,STANDARD,1611.3077392578125,2018-01-01,28,R_A3,0.0
41,0,3,298.8148498535156,298.8148498535156,0.19339895248413086,3,STANDARD,1613.3720703125,2018-01-01,28,R_A3,0.0
41,0,4,298.9532165527344,298.9532165527344,0.3768196403980255,4,STANDARD,1615.4365234375,2018-01-01,28,R_A3,0.0
41,0,5,299.0915832519531,299.0915832519531,0.6481541991233826,5,STANDARD,1617.5008544921875,2018-01-01,28,R_A3,0.0
41,0,6,299.2299499511719,299.2299499511719,0.11064504086971283,6,STANDARD,1619.565185546875,2018-01-01,28,R_A3,0.0
41,0,7,298.54638671875,298.54638671875,0.2853010296821594,6,STANDARD,1609.3663330078125,2018-01-01,29,R_A3,0.0
41,0,8,298.68377685546875,298.68377685546875,0.1971457451581955,7,STANDARD,1611.4163818359375,2018-01-01,29,R_A3,0.0
41,0,9,298.8211669921875,298.8211669921875,0.19843679666519165,8,STANDARD,1613.46630859375,2018-01-01,29,R_A3,0.0
41,0,10,298.95855712890625,298.95855712890625,0.6858067512512207,9,STANDARD,1615.516357421875,2018-01-01,29,R_A3,0.0
41,0,11,299.095947265625,299.095947265625,0.6481541991233826,10,STANDARD,1617.5662841796875,2018-01-01,29,R_A3,0.0
41,0,12,299.24237060546875,299.24237060546875,0.0510573647916317,11,STANDARD,1619.750732421875,2018-01-01,29,R_A3,0.0
41,0,13,299.3978271484375,299.3978271484375,0.054299186915159225,12,STANDARD,1622.0697021484375,2018-01-01,29,R_A3,0.0
41,0,14,299.5532531738281,299.5532531738281,0.37318161129951477,13,STANDARD,1624.388671875,2018-01-01,29,R_A3,0.0
41,0,15,299.7087097167969,299.7087097167969,0.35039278864860535,14,STANDARD,1626.707763671875,2018-01-01,29,R_A3,0.0
41,0,16,299.8641662597656,299.8641662597656,0.4955688714981079,15,STANDARD,1629.026611328125,2018-01-01,29,R_A3,0.0
41,0,17,299.992919921875,299.992919921875,0.8111844658851624,16,STANDARD,1630.9468994140625,2018-01-01,29,R_A3,0.0
41,0,18,300.16583251953125,300.16583251953125,0.7162989377975464,27,STANDARD,1633.5262451171875,2018-01-01,29,R_A3,0.0
41,0,19,300.40966796875,300.40966796875,0.043079812079668045,28,STANDARD,1637.1630859375,2018-01-01,29,R_A3,0.0
41,0,20,300.6535339355469,300.6535339355469,0.11963227391242981,29,STANDARD,1640.8001708984375,2018-01-01,29,R_A3,0.0
41,0,21,300.89739990234375,300.89739990234375,0.6481541991233826,30,STANDARD,1644.4371337890625,2018-01-01,29,R_A3,0.0
41,0,22,301.14129638671875,301.14129638671875,0.06493213027715683,31,STANDARD,1648.0740966796875,2018-01-01,29,R_A3,0.0
52,0,1,300.009033203125,300.009033203125,0.05092088505625725,1,STANDARD,1631.1873779296875,2018-01-01,30,R_A4,0.0
52,0,2,299.7571105957031,299.7571105957031,0.04962099716067314,1,STANDARD,1627.4293212890625,2018-01-01,31,R_A4,0.0
52,0,3,299.89520263671875,299.89520263671875,0.051607757806777954,2,STANDARD,1629.4896240234375,2018-01-01,31,R_A4,0.0
52,0,4,300.0333251953125,300.0333251953125,0.054534994065761566,3,STANDARD,1631.5498046875,2018-01-01,31,R_A4,0.0
52,0,5,300.17144775390625,300.17144775390625,0.056367576122283936,4,STANDARD,1633.610107421875,2018-01-01,31,R_A4,0.0
52,0,6,300.0901184082031,300.0901184082031,0.05706184357404709,4,STANDARD,1632.3968505859375,2018-01-01,32,R_A4,0.0
51,0,7,300.3236999511719,300.3236999511719,0.11242767423391342,4,STANDARD,1635.880615234375,2018-01-01,32,R_A4,0.0
51,0,8,300.4202575683594,300.4202575683594,0.1584090143442154,4,STANDARD,1637.321044921875,2018-01-01,33,R_A4,0.0
51,0,9,300.29644775390625,300.29644775390625,0.19343797862529755,3,STANDARD,1635.474609375,2018-01-01,33,R_A4,0.0
50,0,10,300.74395751953125,300.74395751953125,0.06403730064630508,4,STANDARD,1642.1485595703125,2018-01-01,33,R_A4,0.0
50,0,11,300.67578125,300.67578125,0.062113311141729355,4,STANDARD,1641.132080078125,2018-01-01,34,R_A4,0.0
50,0,12,300.5467224121094,300.5467224121094,0.6481541991233826,3,STANDARD,1639.20703125,2018-01-01,34,R_A4,0.0
50,0,13,300.66064453125,300.66064453125,0.2713562548160553,3,STANDARD,1640.9061279296875,2018-01-01,35,R_A4,0.0
50,0,14,300.53570556640625,300.53570556640625,0.23927634954452515,2,STANDARD,1639.0426025390625,2018-01-01,35,R_A4,0.0
49,0,15,300.72943115234375,300.72943115234375,0.24014364182949066,2,STANDARD,1641.93212890625,2018-01-01,35,R_A4,0.0
49,0,16,300.7579650878906,300.7579650878906,0.24251782894134521,30,STANDARD,1642.357421875,2018-01-01,36,R_A4,0.0
48,0,17,300.5735168457031,300.5735168457031,0.21051277220249176,30,STANDARD,1639.6068115234375,2018-01-01,36,R_A4,0.0
48,0,18,301.0526123046875,301.0526123046875,0.6481541991233826,30,STANDARD,1646.7513427734375,2018-01-01,37,R_A4,0.0
48,0,19,301.5025939941406,301.5025939941406,0.6481541991233826,30,STANDARD,1653.461669921875,2018-01-01,38,R_A4,0.0
47,0,20,301.7947998046875,301.7947998046875,0.6481541991233826,30,STANDARD,1657.8184814453125,2018-01-01,38,R_A4,0.0
20,0,1,303.8440856933594,303.8440856933594,1.0,1,STANDARD,1685.026611328125,2018-01-01,31,R_A5,0.0
20,0,2,304.0601806640625,304.0601806640625,1.0,2,STANDARD,1687.3070068359375,2018-01-01,31,R_A5,0.0
20,0,3,304.27630615234375,304.27630615234375,1.0,3,STANDARD,1689.5875244140625,2018-01-01,31,R_A5,0.0
20,0,4,304.4924011230469,304.4924011230469,1.0,4,STANDARD,1691.8680419921875,2018-01-01,31,R_A5,0.0
20,0,5,304.7085266113281,304.7085266113281,1.0,5,STANDARD,1694.1485595703125,2018-01-01,31,R_A5,0.0
20,0,6,304.9246520996094,304.9246520996094,1.0,6,STANDARD,1696.4290771484375,2018-01-01,31,R_A5,0.0
20,0,7,305.446533203125,305.446533203125,1.0,7,STANDARD,1698.70947265625,2018-01-01,31,R_A5,0.0
20,0,8,305.988037109375,305.988037109375,1.0,11,STANDARD,1707.6488037109375,2018-01-01,31,R_A5,0.0
20,0,9,306.1695251464844,306.1695251464844,1.0,12,STANDARD,1709.5638427734375,2018-01-01,31,R_A5,0.0
21,0,10,305.4322814941406,305.4322814941406,1.0,12,STANDARD,1701.7845458984375,2018-01-01,31,R_A5,0.0
21,0,11,305.6291198730469,305.6291198730469,1.0,13,STANDARD,1703.735107421875,2018-01-01,31,R_A5,0.0
21,0,12,305.81396484375,305.81396484375,1.0,14,STANDARD,1705.6856689453125,2018-01-01,31,R_A5,0.0
21,0,13,305.9988098144531,305.9988098144531,1.0,15,STANDARD,1707.63623046875,2018-01-01,31,R_A5,0.0
21,0,14,306.3287048339844,306.3287048339844,1.0,16,STANDARD,1709.5867919921875,2018-01-01,31,R_A5,0.0
21,0,15,306.5135498046875,306.5135498046875,1.0,17,STANDARD,1711.537353515625,2018-01-01,31,R_A5,0.0
21,0,16,306.6856994628906,306.6856994628906,1.0,18,STANDARD,1713.35400390625,2018-01-01,31,R_A5,0.0
21,0,17,306.7843933105469,306.7843933105469,1.0,19,STANDARD,1714.3951416015625,2018-01-01,31,R_A5,0.0
21,0,18,306.75689697265625,306.75689697265625,1.0,27,STANDARD,1715.7628173828125,2018-01-01,31,R_A5,0.0
21,0,19,306.978271484375,306.978271484375,1.0,28,STANDARD,1718.098388671875,2018-01-01,31,R_A5,0.0
21,0,20,307.5054016113281,307.5054016113281,1.0,29,STANDARD,1720.43408203125,2018-01-01,31,R_A5,0.0
21,0,21,307.7267761230469,307.7267761230469,1.0,30,STANDARD,1722.7696533203125,2018-01-01,31,R_A5,0.0
21,0,22,307.9481506347656,307.9481506347656,1.0,31,STANDARD,1725.105224609375,2018-01-01,31,R_A5,0.0
42,0,1,305.11419677734375,305.11419677734375,1.0,1,STANDARD,1695.20263671875,2018-01-01,17,R_A6,0.0
42,0,2,305.2609558105469,305.2609558105469,1.0,2,STANDARD,1696.7510986328125,2018-01-01,17,R_A6,0.0
42,0,3,305.4076843261719,305.4076843261719,1.0,3,STANDARD,1698.299560546875,2018-01-01,17,R_A6,0.0
42,0,4,305.554443359375,305.554443359375,1.0,4,STANDARD,1699.84814453125,2018-01-01,17,R_A6,0.0
42,0,5,305.7012023925781,305.7012023925781,1.0,5,STANDARD,1701.3966064453125,2018-01-01,17,R_A6,0.0
42,0,6,305.84796142578125,305.84796142578125,1.0,6,STANDARD,1702.9451904296875,2018-01-01,17,R_A6,0.0
42,0,7,305.6956481933594,305.6956481933594,1.0,7,STANDARD,1704.49365234375,2018-01-01,17,R_A6,0.0
42,0,8,305.8424072265625,305.8424072265625,1.0,8,STANDARD,1706.042236328125,2018-01-01,17,R_A6,0.0
42,0,9,306.2882080078125,306.2882080078125,1.0,9,STANDARD,1707.5906982421875,2018-01-01,17,R_A6,0.0
42,0,10,306.1291809082031,306.1291809082031,1.0,10,STANDARD,1709.1392822265625,2018-01-01,17,R_A6,0.0
42,0,11,306.3109130859375,306.3109130859375,1.0,11,STANDARD,1711.055419921875,2018-01-01,17,R_A6,0.0
