CONIDX,SGAS,CONIPOS,WELL,PRESSURE,CONKPOS,CONJPOS,DATE,WELLMODEL,DEPTH,SWAT,CONBPRES,DRAWDOWN
1,0.0,22,R_A2,300.5663757324219,1,30,2018-01-01,STANDARD,1638.75390625,0.052792053669691086,300.5663757324219,0
2,0.0,22,R_A2,300.6800842285156,2,30,2018-01-01,STANDARD,1640.449462890625,0.055858638137578964,300.6800842285156,0
3,0.0,22,R_A2,300.79376220703125,3,30,2018-01-01,STANDARD,1642.145263671875,0.05862915515899658,300.79376220703125,0
4,0.0,22,R_A2,300.907470703125,4,30,2018-01-01,STANDARD,1643.8409423828125,0.10087522864341736,300.907470703125,0
5,0.0,22,R_A2,301.02117919921875,5,30,2018-01-01,STANDARD,1645.53662109375,0.18880724906921387,301.02117919921875,0
6,0.0,22,R_A2,301.1348876953125,6,30,2018-01-01,STANDARD,1647.2322998046875,0.675470232963562,301.1348876953125,0
7,0.0,22,R_A2,301.2486267089844,7,30,2018-01-01,STANDARD,1648.927978515625,0.8657958507537842,301.2486267089844,0
8,0.0,22,R_A2,301.3623352050781,8,30,2018-01-01,STANDARD,1650.6236572265625,0.8659457564353943,301.3623352050781,0
9,0.0,22,R_A2,301.4760437011719,9,30,2018-01-01,STANDARD,1652.3194580078125,0.8827516436576843,301.4760437011719,0
10,0.0,22,R_A2,301.58978271484375,10,30,2018-01-01,STANDARD,1654.01513671875,0.6481541991233826,301.58978271484375,0
11,0.0,22,R_A2,301.71319580078125,11,30,2018-01-01,STANDARD,1655.855224609375,0.06840022653341293,301.71319580078125,0
12,0.0,22,R_A2,301.8463134765625,12,30,2018-01-01,STANDARD,1657.83984375,0.11876736581325531,301.8463134765625,0
13,0.0,22,R_A2,301.97943115234375,13,30,2018-01-01,STANDARD,1659.824462890625,0.422577440738678,301.97943115234375,0
14,0.0,22,R_A2,302.1125183105469,14,30,2018-01-01,STANDARD,1661.80908203125,0.4753197133541107,302.1125183105469,0
15,0.0,22,R_A2,302.24566650390625,15,30,2018-01-01,STANDARD,1663.7935791015625,0.8987526893615723,302.24566650390625,0
16,0.0,22,R_A2,302.3787841796875,16,30,2018-01-01,STANDARD,1665.7781982421875,0.938296377658844,302.3787841796875,0
17,0.0,22,R_A2,302.9500732421875,16,29,2018-01-01,STANDARD,1674.294189453125,1.0,302.9500732421875,0
18,0.0,22,R_A2,303.0912780761719,17,29,2018-01-01,STANDARD,1676.3985595703125,0.986923098564148,303.0912780761719,0
19,0.0,22,R_A2,303.2033996582031,18,29,2018-01-01,STANDARD,1678.06982421875,1.0,303.2033996582031,0
20,0.0,22,R_A2,303.6297607421875,26,29,2018-01-01,STANDARD,1679.5380859375,1.0,303.6297607421875,0
21,0.0,22,R_A2,303.79071044921875,27,29,2018-01-01,STANDARD,1681.2364501953125,1.0,303.79071044921875,0
22,0.0,22,R_A2,303.95166015625,28,29,2018-01-01,STANDARD,1682.9349365234375,1.0,303.95166015625,0
23,0.0,22,R_A2,304.11260986328125,29,29,2018-01-01,STANDARD,1684.63330078125,1.0,304.11260986328125,0
24,0.0,22,R_A2,304.2735595703125,30,29,2018-01-01,STANDARD,1686.331787109375,1.0,304.2735595703125,0
1,0.0,29,R_A3,297.9811096191406,1,41,2018-01-01,STANDARD,1600.1844482421875,0.6481541991233826,297.9811096191406,0
2,0.0,29,R_A3,298.1258544921875,2,41,2018-01-01,STANDARD,1602.3443603515625,0.18966825306415558,298.1258544921875,0
3,0.0,29,R_A3,298.27056884765625,3,41,2018-01-01,STANDARD,1604.5042724609375,0.18455030024051666,298.27056884765625,0
4,0.0,29,R_A3,298.4153137207031,4,41,2018-01-01,STANDARD,1606.6640625,0.25925371050834656,298.4153137207031,0
5,0.0,29,R_A3,298.56005859375,5,41,2018-01-01,STANDARD,1608.823974609375,0.8080240488052368,298.56005859375,0
6,0.0,29,R_A3,298.7048034667969,6,41,2018-01-01,STANDARD,1610.9837646484375,0.6481541991233826,298.7048034667969,0
7,0.0,29,R_A3,298.8495788574219,7,41,2018-01-01,STANDARD,1613.1436767578125,0.3179547190666199,298.8495788574219,0
8,0.0,29,R_A3,298.99432373046875,8,41,2018-01-01,STANDARD,1615.303466796875,0.3697456121444702,298.99432373046875,0
9,0.0,29,R_A3,299.13909912109375,9,41,2018-01-01,STANDARD,1617.46337890625,0.7991505265235901,299.13909912109375,0
10,0.0,29,R_A3,299.28387451171875,10,41,2018-01-01,STANDARD,1619.623291015625,0.79709392786026,299.28387451171875,0
11,0.0,29,R_A3,299.4299621582031,11,41,2018-01-01,STANDARD,1621.8031005859375,0.048388127237558365,299.4299621582031,0
12,0.0,29,R_A3,299.57745361328125,12,41,2018-01-01,STANDARD,1624.0030517578125,0.05459496006369591,299.57745361328125,0
13,0.0,29,R_A3,299.72491455078125,13,41,2018-01-01,STANDARD,1626.2030029296875,0.3707977533340454,299.72491455078125,0
14,0.0,29,R_A3,299.8724060058594,14,41,2018-01-01,STANDARD,1628.40283203125,0.05194079875946045,299.8724060058594,0
