ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4808660,764444,428858,299064,42108209
Valysar,CentralSouth,67222679,12152710,9200539,6415997,903372348
Valysar,CentralNorth,39686384,6666720,4902510,3418766,481362196
Valysar,NorthHorst,4764233,811342,449830,276308,54128803
Valysar,CentralRamp,13410602,1989127,1396667,973966,137134386
Valysar,CentralHorst,86360952,13428999,10301643,7183852,1011486318
Valysar,EastLowland,3958772,640567,424795,296231,41709312
Therys,WestLowland,1773378,362425,162783,113517,15983195
Therys,CentralSouth,15729617,3694053,2221294,1549019,218101927
Therys,CentralNorth,22800537,4008675,2300581,1604310,225886924
Therys,NorthHorst,6511584,908723,367401,225676,44209966
Therys,CentralRamp,6687782,1462249,1150066,801999,112921424
Therys,CentralHorst,31919742,7926609,6258257,4364196,614478833
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,113930,20949,5331,3718,523427
Volon,CentralSouth,32475174,5701234,3876559,2703319,380627328
Volon,CentralNorth,7662252,1050967,544146,379460,53428032
Volon,NorthHorst,4094732,758426,557401,342384,67072960
Volon,CentralRamp,12617111,2283507,1773054,1236439,174090657
Volon,CentralHorst,84602327,14558659,11119109,7753911,1091750746
Volon,EastLowland,0,0,0,0,0
