WELLMODEL,DATE,SGAS,WELL,PRESSURE,CONBPRES,CONIPOS,DEPTH,CONIDX,SWAT,CONKPOS,DRAWDOWN,CONJPOS
STANDARD,2018-01-01,0.0,R_A2,300.75836181640625,300.75836181640625,22,1640.3145751953125,1,0.05354344844818115,1,0,30
STANDARD,2018-01-01,0.0,R_A2,300.87451171875,300.87451171875,22,1642.046630859375,2,0.0542914941906929,2,0,30
STANDARD,2018-01-01,0.0,R_A2,300.99066162109375,300.99066162109375,22,1643.77880859375,3,0.05756796896457672,3,0,30
STANDARD,2018-01-01,0.0,R_A2,301.1068115234375,301.1068115234375,22,1645.5108642578125,4,0.06198495998978615,4,0,30
STANDARD,2018-01-01,0.0,R_A2,301.2229919433594,301.2229919433594,22,1647.2430419921875,5,0.130180224776268,5,0,30
STANDARD,2018-01-01,0.0,R_A2,301.3391418457031,301.3391418457031,22,1648.97509765625,6,0.677945077419281,6,0,30
STANDARD,2018-01-01,0.0,R_A2,301.4552917480469,301.4552917480469,22,1650.707275390625,7,0.8666199445724487,7,0,30
STANDARD,2018-01-01,0.0,R_A2,301.57147216796875,301.57147216796875,22,1652.4393310546875,8,0.854835033416748,8,0,30
STANDARD,2018-01-01,0.0,R_A2,301.6876525878906,301.6876525878906,22,1654.17138671875,9,0.8819524049758911,9,0,30
STANDARD,2018-01-01,0.0,R_A2,301.8038024902344,301.8038024902344,22,1655.903564453125,10,0.8806154131889343,10,0,30
STANDARD,2018-01-01,0.0,R_A2,301.93182373046875,301.93182373046875,22,1657.8121337890625,11,0.06673096865415573,11,0,30
STANDARD,2018-01-01,0.0,R_A2,302.2115173339844,302.2115173339844,22,1661.9820556640625,12,0.42603084444999695,13,0,30
STANDARD,2018-01-01,0.0,R_A2,302.35137939453125,302.35137939453125,22,1664.0670166015625,13,0.4616808295249939,14,0,30
STANDARD,2018-01-01,0.0,R_A2,302.4912414550781,302.4912414550781,22,1666.1519775390625,14,0.8895202279090881,15,0,30
STANDARD,2018-01-01,0.0,R_A2,302.631103515625,302.631103515625,22,1668.2369384765625,15,0.9026363492012024,16,0,30
STANDARD,2018-01-01,0.0,R_A2,302.77099609375,302.77099609375,22,1670.3218994140625,16,0.8627589344978333,17,0,30
STANDARD,2018-01-01,0.0,R_A2,302.8804626464844,302.8804626464844,22,1671.9537353515625,17,0.9245670437812805,18,0,30
STANDARD,2018-01-01,0.0,R_A2,302.9832458496094,302.9832458496094,22,1673.48583984375,18,0.09269239753484726,26,0,30
STANDARD,2018-01-01,0.0,R_A2,303.28131103515625,303.28131103515625,22,1677.9283447265625,19,1.0,26,0,29
STANDARD,2018-01-01,0.0,R_A2,303.3985900878906,303.3985900878906,22,1679.67626953125,20,0.6964036822319031,27,0,29
STANDARD,2018-01-01,0.0,R_A2,303.5158996582031,303.5158996582031,22,1681.42431640625,21,0.5401213765144348,28,0,29
STANDARD,2018-01-01,0.0,R_A2,303.9741516113281,303.9741516113281,22,1683.1722412109375,22,1.0,29,0,29
STANDARD,2018-01-01,0.0,R_A2,304.1397705078125,304.1397705078125,22,1684.920166015625,23,1.0,30,0,29
STANDARD,2018-01-01,0.0,R_A3,298.61578369140625,298.61578369140625,28,1608.3524169921875,1,0.22476424276828766,1,0,41
STANDARD,2018-01-01,0.0,R_A3,298.749755859375,298.749755859375,28,1610.3514404296875,2,0.07468432188034058,2,0,41
STANDARD,2018-01-01,0.0,R_A3,298.1937561035156,298.1937561035156,29,1602.054931640625,3,0.14000242948532104,2,0,41
STANDARD,2018-01-01,0.0,R_A3,298.3327941894531,298.3327941894531,29,1604.130126953125,4,0.16352996230125427,3,0,41
STANDARD,2018-01-01,0.0,R_A3,298.47186279296875,298.47186279296875,29,1606.205322265625,5,0.36576974391937256,4,0,41
STANDARD,2018-01-01,0.0,R_A3,298.6109313964844,298.6109313964844,29,1608.2803955078125,6,0.8122356534004211,5,0,41
STANDARD,2018-01-01,0.0,R_A3,298.7500305175781,298.7500305175781,29,1610.3555908203125,7,0.6481541991233826,6,0,41
STANDARD,2018-01-01,0.0,R_A3,298.88909912109375,298.88909912109375,29,1612.4306640625,8,0.19572055339813232,7,0,41
STANDARD,2018-01-01,0.0,R_A3,299.0281677246094,299.0281677246094,29,1614.505859375,9,0.2435191571712494,8,0,41
STANDARD,2018-01-01,0.0,R_A3,299.1672668457031,299.1672668457031,29,1616.5810546875,10,0.7924429178237915,9,0,41
STANDARD,2018-01-01,0.0,R_A3,299.3063659667969,299.3063659667969,29,1618.6561279296875,11,0.796260416507721,10,0,41
STANDARD,2018-01-01,0.0,R_A3,299.4529724121094,299.4529724121094,29,1620.843505859375,12,0.046046771109104156,11,0,41
STANDARD,2018-01-01,0.0,R_A3,299.60711669921875,299.60711669921875,29,1623.14306640625,13,0.05057622864842415,12,0,41
STANDARD,2018-01-01,0.0,R_A3,299.76129150390625,299.76129150390625,29,1625.4427490234375,14,0.3651483654975891,13,0,41
STANDARD,2018-01-01,0.0,R_A3,299.9154357910156,299.9154357910156,29,1627.7423095703125,15,0.2230851948261261,14,0,41
STANDARD,2018-01-01,0.0,R_A3,300.0696105957031,300.0696105957031,29,1630.0418701171875,16,0.6421954035758972,15,0,41
STANDARD,2018-01-01,0.0,R_A3,300.21307373046875,300.21307373046875,29,1632.1817626953125,17,0.8026365041732788,16,0,41
STANDARD,2018-01-01,0.0,R_A3,300.4062805175781,300.4062805175781,29,1635.063232421875,18,0.6877465844154358,26,0,41
STANDARD,2018-01-01,0.0,R_A3,300.653076171875,300.653076171875,29,1638.7440185546875,19,0.044993963092565536,27,0,41
STANDARD,2018-01-01,0.0,R_A3,300.8998718261719,300.8998718261719,29,1642.4246826171875,20,0.05020264536142349,28,0,41
STANDARD,2018-01-01,0.0,R_A3,301.1466979980469,301.1466979980469,29,1646.10546875,21,0.6625497341156006,29,0,41
