CONBPRES,WELL,PRESSURE,CONKPOS,CONIPOS,DATE,WELLMODEL,DRAWDOWN,CONJPOS,SWAT,CONIDX,DEPTH,SGAS
300.735595703125,R_A2,300.735595703125,1,22,2018-01-01,STANDARD,0,30,0.18219701945781708,1,1642.6136474609375,0.0
300.8533935546875,R_A2,300.8533935546875,2,22,2018-01-01,STANDARD,0,30,0.11240426450967789,2,1644.370361328125,0.0
300.97119140625,R_A2,300.97119140625,3,22,2018-01-01,STANDARD,0,30,0.06552000343799591,3,1646.126953125,0.0
301.0889892578125,R_A2,301.0889892578125,4,22,2018-01-01,STANDARD,0,30,0.07141352444887161,4,1647.883544921875,0.0
301.206787109375,R_A2,301.206787109375,5,22,2018-01-01,STANDARD,0,30,0.07363513857126236,5,1649.6402587890625,0.0
301.3245849609375,R_A2,301.3245849609375,6,22,2018-01-01,STANDARD,0,30,0.6481541991233826,6,1651.39697265625,0.0
301.4423828125,R_A2,301.4423828125,7,22,2018-01-01,STANDARD,0,30,0.9110149145126343,7,1653.153564453125,0.0
301.5602111816406,R_A2,301.5602111816406,8,22,2018-01-01,STANDARD,0,30,0.8934064507484436,8,1654.91015625,0.0
301.6780090332031,R_A2,301.6780090332031,9,22,2018-01-01,STANDARD,0,30,0.9100387692451477,9,1656.6668701171875,0.0
301.79583740234375,R_A2,301.79583740234375,10,22,2018-01-01,STANDARD,0,30,0.9302278161048889,10,1658.423583984375,0.0
301.9181213378906,R_A2,301.9181213378906,11,22,2018-01-01,STANDARD,0,30,0.08254943042993546,11,1660.246826171875,0.0
302.0448913574219,R_A2,302.0448913574219,12,22,2018-01-01,STANDARD,0,30,0.08571761846542358,12,1662.13671875,0.0
302.1716613769531,R_A2,302.1716613769531,13,22,2018-01-01,STANDARD,0,30,0.4698420763015747,13,1664.026611328125,0.0
302.2984313964844,R_A2,302.2984313964844,14,22,2018-01-01,STANDARD,0,30,0.5209332704544067,14,1665.9163818359375,0.0
302.4252014160156,R_A2,302.4252014160156,15,22,2018-01-01,STANDARD,0,30,0.7245355844497681,15,1667.8062744140625,0.0
