DEPTH,CONKPOS,CONJPOS,PRESSURE,DATE,SGAS,CONIPOS,CONIDX,CONBPRES,DRAWDOWN,WELLMODEL,WELL,SWAT
1643.32421875,1,30,300.94720458984375,2018-01-01,0.0,22,1,300.94720458984375,0,STANDARD,R_A2,0.054158374667167664
1645.090087890625,2,30,301.06561279296875,2018-01-01,0.0,22,2,301.06561279296875,0,STANDARD,R_A2,0.05582519993185997
1646.85595703125,3,30,301.18402099609375,2018-01-01,0.0,22,3,301.18402099609375,0,STANDARD,R_A2,0.06039118394255638
1648.621826171875,4,30,301.3024597167969,2018-01-01,0.0,22,4,301.3024597167969,0,STANDARD,R_A2,0.0658678263425827
1650.3876953125,5,30,301.4208984375,2018-01-01,0.0,22,5,301.4208984375,0,STANDARD,R_A2,0.06933800876140594
1652.153564453125,6,30,301.539306640625,2018-01-01,0.0,22,6,301.539306640625,0,STANDARD,R_A2,0.31595075130462646
1653.91943359375,7,30,301.6577453613281,2018-01-01,0.0,22,7,301.6577453613281,0,STANDARD,R_A2,0.8783444166183472
1655.685302734375,8,30,301.77618408203125,2018-01-01,0.0,22,8,301.77618408203125,0,STANDARD,R_A2,0.854824960231781
1657.4512939453125,9,30,301.8946228027344,2018-01-01,0.0,22,9,301.8946228027344,0,STANDARD,R_A2,0.8932340145111084
1659.2171630859375,10,30,302.0130615234375,2018-01-01,0.0,22,10,302.0130615234375,0,STANDARD,R_A2,0.8988745808601379
1661.136474609375,11,30,302.1418151855469,2018-01-01,0.0,22,11,302.1418151855469,0,STANDARD,R_A2,0.07357411086559296
1665.281982421875,13,30,302.4198913574219,2018-01-01,0.0,22,12,302.4198913574219,0,STANDARD,R_A2,0.4388861358165741
1667.354736328125,14,30,302.5589294433594,2018-01-01,0.0,22,13,302.5589294433594,0,STANDARD,R_A2,0.4850214123725891
1669.427490234375,15,30,302.697998046875,2018-01-01,0.0,22,14,302.697998046875,0,STANDARD,R_A2,0.9224029183387756
1671.500244140625,16,30,302.8370361328125,2018-01-01,0.0,22,15,302.8370361328125,0,STANDARD,R_A2,0.9532818794250488
1673.572998046875,17,30,302.9761047363281,2018-01-01,0.0,22,16,302.9761047363281,0,STANDARD,R_A2,0.9010504484176636
1675.27978515625,18,30,303.0906066894531,2018-01-01,0.0,22,17,303.0906066894531,0,STANDARD,R_A2,0.9748189449310303
1675.25830078125,18,29,303.08917236328125,2018-01-01,0.0,22,18,303.08917236328125,0,STANDARD,R_A2,0.9619662165641785
1676.9481201171875,25,29,303.2025451660156,2018-01-01,0.0,22,19,303.2025451660156,0,STANDARD,R_A2,1.0
1678.719482421875,26,29,303.3214111328125,2018-01-01,0.0,22,20,303.3214111328125,0,STANDARD,R_A2,1.0
1680.4908447265625,27,29,303.44024658203125,2018-01-01,0.0,22,21,303.44024658203125,0,STANDARD,R_A2,0.8413727879524231
1682.2620849609375,28,29,303.8879089355469,2018-01-01,0.0,22,22,303.8879089355469,0,STANDARD,R_A2,1.0
1684.033447265625,29,29,304.0557556152344,2018-01-01,0.0,22,23,304.0557556152344,0,STANDARD,R_A2,1.0
