WELL,CONBPRES,CONIPOS,DATE,SWAT,CONKPOS,PRESSURE,DRAWDOWN,SGAS,CONIDX,WELLMODEL,DEPTH,CONJPOS
R_A2,300.6578674316406,22,2018-01-01,0.05462490767240524,1,300.6578674316406,0,0.0,1,STANDARD,1640.27099609375,30
R_A2,300.7756042480469,22,2018-01-01,0.05592094734311104,2,300.7756042480469,0,0.0,2,STANDARD,1642.026611328125,30
R_A2,300.893310546875,22,2018-01-01,0.05973711609840393,3,300.893310546875,0,0.0,3,STANDARD,1643.7822265625,30
R_A2,301.01104736328125,22,2018-01-01,0.06441165506839752,4,301.01104736328125,0,0.0,4,STANDARD,1645.537841796875,30
R_A2,301.1287841796875,22,2018-01-01,0.06633532792329788,5,301.1287841796875,0,0.0,5,STANDARD,1647.29345703125,30
R_A2,301.2464904785156,22,2018-01-01,0.31369125843048096,6,301.2464904785156,0,0.0,6,STANDARD,1649.049072265625,30
R_A2,301.3642272949219,22,2018-01-01,0.8850182294845581,7,301.3642272949219,0,0.0,7,STANDARD,1650.8046875,30
R_A2,301.4819641113281,22,2018-01-01,0.8759169578552246,8,301.4819641113281,0,0.0,8,STANDARD,1652.560302734375,30
R_A2,301.5997314453125,22,2018-01-01,0.8813167810440063,9,301.5997314453125,0,0.0,9,STANDARD,1654.31591796875,30
R_A2,301.71746826171875,22,2018-01-01,0.8989700078964233,10,301.71746826171875,0,0.0,10,STANDARD,1656.071533203125,30
R_A2,301.8445129394531,22,2018-01-01,0.0714109018445015,11,301.8445129394531,0,0.0,11,STANDARD,1657.9658203125,30
R_A2,301.9808654785156,22,2018-01-01,0.07425616681575775,12,301.9808654785156,0,0.0,12,STANDARD,1659.99853515625,30
R_A2,302.1172180175781,22,2018-01-01,0.4404929578304291,13,302.1172180175781,0,0.0,13,STANDARD,1662.0313720703125,30
R_A2,302.2535705566406,22,2018-01-01,0.4854907989501953,14,302.2535705566406,0,0.0,14,STANDARD,1664.064208984375,30
R_A2,302.3899230957031,22,2018-01-01,0.9321735501289368,15,302.3899230957031,0,0.0,15,STANDARD,1666.0970458984375,30
R_A2,302.52630615234375,22,2018-01-01,0.9642444849014282,16,302.52630615234375,0,0.0,16,STANDARD,1668.1298828125,30
R_A2,302.66265869140625,22,2018-01-01,0.9082424640655518,17,302.66265869140625,0,0.0,17,STANDARD,1670.1627197265625,30
R_A2,302.7792663574219,22,2018-01-01,0.9558009505271912,18,302.7792663574219,0,0.0,18,STANDARD,1671.900634765625,30
R_A2,302.9668273925781,22,2018-01-01,0.9889644980430603,18,302.9668273925781,0,0.0,19,STANDARD,1674.696533203125,29
R_A2,303.0721130371094,22,2018-01-01,1.0,26,303.0721130371094,0,0.0,20,STANDARD,1676.2655029296875,29
R_A2,303.189453125,22,2018-01-01,1.0,27,303.189453125,0,0.0,21,STANDARD,1678.0145263671875,29
R_A2,303.651123046875,22,2018-01-01,1.0,28,303.651123046875,0,0.0,22,STANDARD,1679.763427734375,29
R_A2,303.8168640136719,22,2018-01-01,1.0,29,303.8168640136719,0,0.0,23,STANDARD,1681.512451171875,29
R_A2,303.98260498046875,22,2018-01-01,1.0,30,303.98260498046875,0,0.0,24,STANDARD,1683.261474609375,29
R_A3,297.9774169921875,29,2018-01-01,0.6481541991233826,1,297.9774169921875,0,0.0,1,STANDARD,1600.2822265625,41
R_A3,298.1174011230469,29,2018-01-01,0.1896636039018631,2,298.1174011230469,0,0.0,2,STANDARD,1602.37109375,41
R_A3,298.25738525390625,29,2018-01-01,0.13133715093135834,3,298.25738525390625,0,0.0,3,STANDARD,1604.4599609375,41
R_A3,298.3973693847656,29,2018-01-01,0.15939176082611084,4,298.3973693847656,0,0.0,4,STANDARD,1606.548828125,41
R_A3,298.537353515625,29,2018-01-01,0.8059061169624329,5,298.537353515625,0,0.0,5,STANDARD,1608.6376953125,41
R_A3,298.6773376464844,29,2018-01-01,0.6481541991233826,6,298.6773376464844,0,0.0,6,STANDARD,1610.7265625,41
R_A3,298.8173522949219,29,2018-01-01,0.34687939286231995,7,298.8173522949219,0,0.0,7,STANDARD,1612.8154296875,41
R_A3,298.95733642578125,29,2018-01-01,0.28640079498291016,8,298.95733642578125,0,0.0,8,STANDARD,1614.904296875,41
R_A3,299.09735107421875,29,2018-01-01,0.7974818348884583,9,299.09735107421875,0,0.0,9,STANDARD,1616.9931640625,41
R_A3,299.23736572265625,29,2018-01-01,0.8005274534225464,10,299.23736572265625,0,0.0,10,STANDARD,1619.08203125,41
R_A3,299.38018798828125,29,2018-01-01,0.049249082803726196,11,299.38018798828125,0,0.0,11,STANDARD,1621.2130126953125,41
R_A3,299.5258483886719,29,2018-01-01,0.054731402546167374,12,299.5258483886719,0,0.0,12,STANDARD,1623.3861083984375,41
R_A3,299.6715393066406,29,2018-01-01,0.37046384811401367,13,299.6715393066406,0,0.0,13,STANDARD,1625.5592041015625,41
R_A3,299.962890625,29,2018-01-01,0.4628392457962036,15,299.962890625,0,0.0,14,STANDARD,1629.9052734375,41
R_A3,300.0824890136719,29,2018-01-01,0.8087263703346252,16,300.0824890136719,0,0.0,15,STANDARD,1631.689453125,41
R_A3,300.1388244628906,29,2018-01-01,0.8115546107292175,17,300.1388244628906,0,0.0,16,STANDARD,1632.529541015625,41
R_A3,300.2668762207031,29,2018-01-01,0.19955220818519592,26,300.2668762207031,0,0.0,17,STANDARD,1634.4395751953125,41
R_A3,300.50390625,29,2018-01-01,0.04522259905934334,27,300.50390625,0,0.0,18,STANDARD,1637.9749755859375,41
R_A3,300.740966796875,29,2018-01-01,0.05252361297607422,28,300.740966796875,0,0.0,19,STANDARD,1641.51025390625,41
R_A3,300.97802734375,29,2018-01-01,0.6481541991233826,29,300.97802734375,0,0.0,20,STANDARD,1645.0455322265625,41
R_A3,301.215087890625,29,2018-01-01,0.21632595360279083,30,301.215087890625,0,0.0,21,STANDARD,1648.580810546875,41
R_A4,299.93450927734375,30,2018-01-01,0.05126173794269562,1,299.93450927734375,0,0.0,1,STANDARD,1629.4818115234375,52
R_A4,299.58416748046875,31,2018-01-01,0.04638459533452988,1,299.58416748046875,0,0.0,2,STANDARD,1624.255859375,52
R_A4,299.7198181152344,31,2018-01-01,0.06265134364366531,2,299.7198181152344,0,0.0,3,STANDARD,1626.2796630859375,52
R_A4,299.8554992675781,31,2018-01-01,0.0900319442152977,3,299.8554992675781,0,0.0,4,STANDARD,1628.303466796875,52
R_A4,299.9911804199219,31,2018-01-01,0.052118971943855286,4,299.9911804199219,0,0.0,5,STANDARD,1630.3272705078125,52
R_A4,300.1268615722656,31,2018-01-01,0.0525546558201313,5,300.1268615722656,0,0.0,6,STANDARD,1632.35107421875,52
R_A4,300.2625427246094,31,2018-01-01,0.05443187430500984,6,300.2625427246094,0,0.0,7,STANDARD,1634.374755859375,52
R_A4,300.1027526855469,32,2018-01-01,0.05557180196046829,6,300.1027526855469,0,0.0,8,STANDARD,1631.991455078125,52
R_A4,300.31854248046875,32,2018-01-01,0.10235878080129623,6,300.31854248046875,0,0.0,9,STANDARD,1635.2100830078125,51
R_A4,300.433837890625,33,2018-01-01,0.24872659146785736,6,300.433837890625,0,0.0,10,STANDARD,1636.9295654296875,51
R_A4,300.3130187988281,33,2018-01-01,0.05954136699438095,5,300.3130187988281,0,0.0,11,STANDARD,1635.1278076171875,51
R_A4,300.9358825683594,33,2018-01-01,0.06118572875857353,6,300.9358825683594,0,0.0,12,STANDARD,1644.417236328125,50
R_A4,300.81976318359375,33,2018-01-01,0.06098609045147896,5,300.81976318359375,0,0.0,13,STANDARD,1642.685546875,50
R_A4,300.7390441894531,34,2018-01-01,0.0623319149017334,5,300.7390441894531,0,0.0,14,STANDARD,1641.4818115234375,50
R_A4,300.6198425292969,34,2018-01-01,0.06148117035627365,4,300.6198425292969,0,0.0,15,STANDARD,1639.70361328125,50
R_A4,300.5952453613281,35,2018-01-01,0.06175270304083824,4,300.5952453613281,0,0.0,16,STANDARD,1639.3369140625,50
R_A4,300.4771728515625,35,2018-01-01,0.22585313022136688,3,300.4771728515625,0,0.0,17,STANDARD,1637.5760498046875,50
R_A4,300.8960266113281,35,2018-01-01,0.23823429644107819,3,300.8960266113281,0,0.0,18,STANDARD,1643.8226318359375,49
R_A4,300.7782897949219,36,2018-01-01,0.23207733035087585,29,300.7782897949219,0,0.0,19,STANDARD,1642.066650390625,49
R_A4,300.86181640625,36,2018-01-01,0.05425505340099335,29,300.86181640625,0,0.0,20,STANDARD,1643.312744140625,48
R_A4,301.2600402832031,37,2018-01-01,0.26353442668914795,29,301.2600402832031,0,0.0,21,STANDARD,1649.2510986328125,48
R_A4,301.5635986328125,38,2018-01-01,0.20020896196365356,29,301.5635986328125,0,0.0,22,STANDARD,1653.7774658203125,48
R_A4,301.18426513671875,38,2018-01-01,0.09304023534059525,28,301.18426513671875,0,0.0,23,STANDARD,1648.12109375,48
R_A4,301.7287902832031,38,2018-01-01,0.11368910223245621,28,301.7287902832031,0,0.0,24,STANDARD,1656.240478515625,47
R_A5,303.8340148925781,31,2018-01-01,1.0,1,303.8340148925781,0,0.0,1,STANDARD,1684.920166015625,20
R_A5,304.02801513671875,31,2018-01-01,1.0,2,304.02801513671875,0,0.0,2,STANDARD,1686.9674072265625,20
R_A5,304.2220153808594,31,2018-01-01,1.0,3,304.2220153808594,0,0.0,3,STANDARD,1689.0147705078125,20
R_A5,304.416015625,31,2018-01-01,1.0,4,304.416015625,0,0.0,4,STANDARD,1691.06201171875,20
R_A5,304.61004638671875,31,2018-01-01,1.0,5,304.61004638671875,0,0.0,5,STANDARD,1693.109375,20
R_A5,304.8040466308594,31,2018-01-01,1.0,6,304.8040466308594,0,0.0,6,STANDARD,1695.1566162109375,20
R_A5,305.3038635253906,31,2018-01-01,1.0,7,305.3038635253906,0,0.0,7,STANDARD,1697.203857421875,20
R_A5,304.9226379394531,31,2018-01-01,1.0,7,304.9226379394531,0,0.0,8,STANDARD,1693.1812744140625,21
R_A5,305.13836669921875,31,2018-01-01,1.0,8,305.13836669921875,0,0.0,9,STANDARD,1695.45751953125,21
R_A5,305.3540954589844,31,2018-01-01,1.0,9,305.3540954589844,0,0.0,10,STANDARD,1697.73388671875,21
R_A5,305.5697937011719,31,2018-01-01,1.0,10,305.5697937011719,0,0.0,11,STANDARD,1700.01025390625,21
R_A5,305.46783447265625,31,2018-01-01,1.0,11,305.46783447265625,0,0.0,12,STANDARD,1702.1595458984375,21
R_A5,305.65948486328125,31,2018-01-01,1.0,12,305.65948486328125,0,0.0,13,STANDARD,1704.1820068359375,21
R_A5,305.8631286621094,31,2018-01-01,1.0,13,305.8631286621094,0,0.0,14,STANDARD,1706.2044677734375,21
R_A5,306.0548095703125,31,2018-01-01,1.0,14,306.0548095703125,0,0.0,15,STANDARD,1708.22705078125,21
R_A5,306.3915100097656,31,2018-01-01,1.0,15,306.3915100097656,0,0.0,16,STANDARD,1710.24951171875,21
R_A5,306.58319091796875,31,2018-01-01,1.0,16,306.58319091796875,0,0.0,17,STANDARD,1712.27197265625,21
R_A5,306.7569885253906,31,2018-01-01,1.0,17,306.7569885253906,0,0.0,18,STANDARD,1714.1058349609375,21
R_A5,306.8614196777344,31,2018-01-01,1.0,18,306.8614196777344,0,0.0,19,STANDARD,1715.2080078125,21
R_A5,306.83319091796875,31,2018-01-01,1.0,26,306.83319091796875,0,0.0,20,STANDARD,1716.5677490234375,21
R_A5,307.0331115722656,31,2018-01-01,1.0,27,307.0331115722656,0,0.0,21,STANDARD,1718.6768798828125,21
R_A5,307.5387878417969,31,2018-01-01,1.0,28,307.5387878417969,0,0.0,22,STANDARD,1720.7861328125,21
R_A5,307.7386779785156,31,2018-01-01,1.0,29,307.7386779785156,0,0.0,23,STANDARD,1722.895263671875,21
R_A5,307.9385986328125,31,2018-01-01,1.0,30,307.9385986328125,0,0.0,24,STANDARD,1725.00439453125,21
R_A6,305.0378723144531,17,2018-01-01,1.0,1,305.0378723144531,0,0.0,1,STANDARD,1694.3970947265625,42
R_A6,305.18316650390625,17,2018-01-01,1.0,2,305.18316650390625,0,0.0,2,STANDARD,1695.93017578125,42
R_A6,305.32843017578125,17,2018-01-01,1.0,3,305.32843017578125,0,0.0,3,STANDARD,1697.4632568359375,42
