CONJPOS,SGAS,DRAWDOWN,CONIDX,PRESSURE,CONKPOS,SWAT,DEPTH,WELL,CONIPOS,CONBPRES,DATE,WELLMODEL
30,0.0,0,1,300.7368469238281,1,0.0538078211247921,1640.3563232421875,R_A2,22,300.7368469238281,2018-01-01,STANDARD
30,0.0,0,2,300.85479736328125,2,0.05412232503294945,1642.115234375,R_A2,22,300.85479736328125,2018-01-01,STANDARD
30,0.0,0,3,300.9727478027344,3,0.057948850095272064,1643.8740234375,R_A2,22,300.9727478027344,2018-01-01,STANDARD
30,0.0,0,4,301.0906677246094,4,0.06274762004613876,1645.6329345703125,R_A2,22,301.0906677246094,2018-01-01,STANDARD
30,0.0,0,5,301.2086181640625,5,0.06462861597537994,1647.391845703125,R_A2,22,301.2086181640625,2018-01-01,STANDARD
30,0.0,0,6,301.32659912109375,6,0.30931198596954346,1649.150634765625,R_A2,22,301.32659912109375,2018-01-01,STANDARD
30,0.0,0,7,301.4445495605469,7,0.8784802556037903,1650.9095458984375,R_A2,22,301.4445495605469,2018-01-01,STANDARD
30,0.0,0,8,301.5625,8,0.8605538606643677,1652.66845703125,R_A2,22,301.5625,2018-01-01,STANDARD
30,0.0,0,9,301.68048095703125,9,0.8719260096549988,1654.42724609375,R_A2,22,301.68048095703125,2018-01-01,STANDARD
30,0.0,0,10,301.7984313964844,10,0.8838735222816467,1656.1861572265625,R_A2,22,301.7984313964844,2018-01-01,STANDARD
30,0.0,0,11,301.92681884765625,11,0.06883794069290161,1658.100341796875,R_A2,22,301.92681884765625,2018-01-01,STANDARD
30,0.0,0,12,302.0656433105469,12,0.07358771562576294,1660.1700439453125,R_A2,22,302.0656433105469,2018-01-01,STANDARD
30,0.0,0,13,302.2044677734375,13,0.43152087926864624,1662.23974609375,R_A2,22,302.2044677734375,2018-01-01,STANDARD
30,0.0,0,14,302.34332275390625,14,0.47358569502830505,1664.3094482421875,R_A2,22,302.34332275390625,2018-01-01,STANDARD
30,0.0,0,15,302.4821472167969,15,0.8993206024169922,1666.379150390625,R_A2,22,302.4821472167969,2018-01-01,STANDARD
30,0.0,0,16,302.6210021972656,16,0.9228885173797607,1668.4488525390625,R_A2,22,302.6210021972656,2018-01-01,STANDARD
30,0.0,0,17,302.75982666015625,17,0.871157169342041,1670.5185546875,R_A2,22,302.75982666015625,2018-01-01,STANDARD
30,0.0,0,18,302.8741149902344,18,0.9362942576408386,1672.221923828125,R_A2,22,302.8741149902344,2018-01-01,STANDARD
30,0.0,0,19,302.97613525390625,27,0.7667527794837952,1673.74267578125,R_A2,22,302.97613525390625,2018-01-01,STANDARD
30,0.0,0,20,303.0904846191406,28,0.6481541991233826,1675.447021484375,R_A2,22,303.0904846191406,2018-01-01,STANDARD
29,0.0,0,21,303.369384765625,28,0.6481541991233826,1679.603515625,R_A2,22,303.369384765625,2018-01-01,STANDARD
29,0.0,0,22,303.8025817871094,29,1.0,1681.361572265625,R_A2,22,303.8025817871094,2018-01-01,STANDARD
29,0.0,0,23,303.96917724609375,30,1.0,1683.1197509765625,R_A2,22,303.96917724609375,2018-01-01,STANDARD
29,0.0,0,24,304.1357727050781,31,1.0,1684.8778076171875,R_A2,22,304.1357727050781,2018-01-01,STANDARD
41,0.0,0,1,298.6729431152344,1,0.6481541991233826,1609.568115234375,R_A3,28,298.6729431152344,2018-01-01,STANDARD
41,0.0,0,2,298.80938720703125,2,0.11823459714651108,1611.60400390625,R_A3,28,298.80938720703125,2018-01-01,STANDARD
41,0.0,0,3,298.9458312988281,3,0.12943994998931885,1613.639892578125,R_A3,28,298.9458312988281,2018-01-01,STANDARD
41,0.0,0,4,299.082275390625,4,0.19506338238716125,1615.6756591796875,R_A3,28,299.082275390625,2018-01-01,STANDARD
41,0.0,0,5,298.4790954589844,4,0.31200867891311646,1606.67578125,R_A3,29,298.4790954589844,2018-01-01,STANDARD
41,0.0,0,6,298.6154479980469,5,0.8095207810401917,1608.710205078125,R_A3,29,298.6154479980469,2018-01-01,STANDARD
41,0.0,0,7,298.75177001953125,6,0.6481541991233826,1610.74462890625,R_A3,29,298.75177001953125,2018-01-01,STANDARD
