SWAT,DRAWDOWN,CONBPRES,WELLMODEL,CONJPOS,CONKPOS,PRESSURE,CONIPOS,SGAS,DEPTH,CONIDX,WELL,DATE
0.05673010274767876,0,300.6733093261719,STANDARD,30,1,300.6733093261719,22,0.0,1641.094970703125,1,R_A2,2018-01-01
0.05777252838015556,0,300.7936096191406,STANDARD,30,2,300.7936096191406,22,0.0,1642.8890380859375,2,R_A2,2018-01-01
0.060030754655599594,0,300.9139099121094,STANDARD,30,3,300.9139099121094,22,0.0,1644.68310546875,3,R_A2,2018-01-01
0.06766234338283539,0,301.0342102050781,STANDARD,30,4,301.0342102050781,22,0.0,1646.4771728515625,4,R_A2,2018-01-01
0.06880508363246918,0,301.1545104980469,STANDARD,30,5,301.1545104980469,22,0.0,1648.2713623046875,5,R_A2,2018-01-01
0.31025803089141846,0,301.27484130859375,STANDARD,30,6,301.27484130859375,22,0.0,1650.0654296875,6,R_A2,2018-01-01
0.891412079334259,0,301.3951721191406,STANDARD,30,7,301.3951721191406,22,0.0,1651.859619140625,7,R_A2,2018-01-01
0.8774909377098083,0,301.5154724121094,STANDARD,30,8,301.5154724121094,22,0.0,1653.6536865234375,8,R_A2,2018-01-01
0.9038383364677429,0,301.63580322265625,STANDARD,30,9,301.63580322265625,22,0.0,1655.44775390625,9,R_A2,2018-01-01
0.9149646162986755,0,301.7561340332031,STANDARD,30,10,301.7561340332031,22,0.0,1657.2418212890625,10,R_A2,2018-01-01
0.07614300400018692,0,301.88323974609375,STANDARD,30,11,301.88323974609375,22,0.0,1659.1368408203125,11,R_A2,2018-01-01
0.07716154307126999,0,302.01708984375,STANDARD,30,12,302.01708984375,22,0.0,1661.132568359375,12,R_A2,2018-01-01
0.4616602957248688,0,302.1509704589844,STANDARD,30,13,302.1509704589844,22,0.0,1663.12841796875,13,R_A2,2018-01-01
0.5056487321853638,0,302.28485107421875,STANDARD,30,14,302.28485107421875,22,0.0,1665.1241455078125,14,R_A2,2018-01-01
0.6890329718589783,0,302.4187316894531,STANDARD,30,15,302.4187316894531,22,0.0,1667.1199951171875,15,R_A2,2018-01-01
0.9704177379608154,0,302.5526123046875,STANDARD,30,16,302.5526123046875,22,0.0,1669.11572265625,16,R_A2,2018-01-01
0.949622392654419,0,302.6864929199219,STANDARD,30,17,302.6864929199219,22,0.0,1671.111572265625,17,R_A2,2018-01-01
0.9828952550888062,0,302.8123779296875,STANDARD,30,18,302.8123779296875,22,0.0,1672.9881591796875,18,R_A2,2018-01-01
0.9966256022453308,0,302.89569091796875,STANDARD,29,18,302.89569091796875,22,0.0,1674.229736328125,19,R_A2,2018-01-01
1.0,0,303.02569580078125,STANDARD,29,27,303.02569580078125,22,0.0,1676.1676025390625,20,R_A2,2018-01-01
1.0,0,303.47802734375,STANDARD,29,28,303.47802734375,22,0.0,1677.9368896484375,21,R_A2,2018-01-01
1.0,0,303.64569091796875,STANDARD,29,29,303.64569091796875,22,0.0,1679.7061767578125,22,R_A2,2018-01-01
1.0,0,303.8133544921875,STANDARD,29,30,303.8133544921875,22,0.0,1681.4754638671875,23,R_A2,2018-01-01
1.0,0,303.98101806640625,STANDARD,29,31,303.98101806640625,22,0.0,1683.2447509765625,24,R_A2,2018-01-01
0.6481541991233826,0,298.53814697265625,STANDARD,41,1,298.53814697265625,28,0.0,1609.243408203125,1,R_A3,2018-01-01
0.19717952609062195,0,298.676513671875,STANDARD,41,2,298.676513671875,28,0.0,1611.3077392578125,2,R_A3,2018-01-01
0.15042813122272491,0,298.8148498535156,STANDARD,41,3,298.8148498535156,28,0.0,1613.3720703125,3,R_A3,2018-01-01
0.6481541991233826,0,298.9532165527344,STANDARD,41,4,298.9532165527344,28,0.0,1615.4365234375,4,R_A3,2018-01-01
0.8328844904899597,0,299.0915832519531,STANDARD,41,5,299.0915832519531,28,0.0,1617.5008544921875,5,R_A3,2018-01-01
0.6481541991233826,0,299.2299499511719,STANDARD,41,6,299.2299499511719,28,0.0,1619.565185546875,6,R_A3,2018-01-01
0.6481541991233826,0,298.54638671875,STANDARD,41,6,298.54638671875,29,0.0,1609.3663330078125,7,R_A3,2018-01-01
0.19782783091068268,0,298.68377685546875,STANDARD,41,7,298.68377685546875,29,0.0,1611.4163818359375,8,R_A3,2018-01-01
0.1995648592710495,0,298.8211669921875,STANDARD,41,8,298.8211669921875,29,0.0,1613.46630859375,9,R_A3,2018-01-01
0.7997170090675354,0,298.95855712890625,STANDARD,41,9,298.95855712890625,29,0.0,1615.516357421875,10,R_A3,2018-01-01
0.8015515208244324,0,299.095947265625,STANDARD,41,10,299.095947265625,29,0.0,1617.5662841796875,11,R_A3,2018-01-01
0.04906727373600006,0,299.24237060546875,STANDARD,41,11,299.24237060546875,29,0.0,1619.750732421875,12,R_A3,2018-01-01
0.05435820296406746,0,299.3978271484375,STANDARD,41,12,299.3978271484375,29,0.0,1622.0697021484375,13,R_A3,2018-01-01
