PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID,REAL,ENSEMBLE
PERM,LowerReek,Dorne,Background,17.970713,,100.0,0.15641776,1.9560239,52.998177,25.484535,geogrid,geogrid,9,iter-3
PORO,LowerReek,Dorne,Background,0.11473336,,0.3319557,0.0,0.054593433,0.18033995,0.049415942,geogrid,geogrid,9,iter-3
SW,LowerReek,Dorne,Background,0.99818563,,1.0,0.0,1.0,1.0,0.03550919,geogrid,geogrid,9,iter-3
PERM,LowerReek,Dorne,Channel,2890.7795,,10000.0,27.335821,446.39877,7612.04,2774.6133,geogrid,geogrid,9,iter-3
PORO,LowerReek,Dorne,Channel,0.24960952,,0.43879873,0.049706325,0.18677653,0.31303278,0.049217906,geogrid,geogrid,9,iter-3
SW,LowerReek,Dorne,Channel,0.99177843,,1.0,0.07866169,1.0,1.0,0.07829596,geogrid,geogrid,9,iter-3
PERM,LowerReek,Dorne,Crevasse,170.10883,,1000.0,1.5388246,22.15325,409.62207,201.89592,geogrid,geogrid,9,iter-3
PORO,LowerReek,Dorne,Crevasse,0.20118687,,0.35175923,0.0,0.13768813,0.2643295,0.05003659,geogrid,geogrid,9,iter-3
SW,LowerReek,Dorne,Crevasse,0.9984446,,1.0,0.42416838,1.0,1.0,0.025108175,geogrid,geogrid,9,iter-3
PERM,LowerReek,IronIslands,Background,6.5978413,,94.70339,0.25515664,1.2497627,13.975857,7.9561515,geogrid,geogrid,9,iter-3
PORO,LowerReek,IronIslands,Background,0.08019161,,0.21909618,0.0,0.022382054,0.13604361,0.042840894,geogrid,geogrid,9,iter-3
SW,LowerReek,IronIslands,Background,0.68097395,,1.0,0.0,0.28548762,1.0,0.32678685,geogrid,geogrid,9,iter-3
PERM,LowerReek,IronIslands,Channel,2831.7085,,10000.0,37.283676,441.16278,7201.3916,2700.0552,geogrid,geogrid,9,iter-3
PORO,LowerReek,IronIslands,Channel,0.24713191,,0.41424084,0.05154267,0.18597068,0.30785477,0.047213487,geogrid,geogrid,9,iter-3
SW,LowerReek,IronIslands,Channel,0.4625819,,1.0,0.020379694,0.037436973,1.0,0.45798197,geogrid,geogrid,9,iter-3
PERM,LowerReek,IronIslands,Crevasse,191.122,,1000.0,2.6523945,23.199074,457.87524,223.40086,geogrid,geogrid,9,iter-3
