DEPTH,DRAWDOWN,SWAT,WELL,WELLMODEL,CONIDX,CONKPOS,SGAS,CONIPOS,CONJPOS,DATE,PRESSURE,CONBPRES
1639.19921875,0,0.057521749287843704,R_A2,STANDARD,1,1,0.0,22,30,2018-01-01,300.4425048828125,300.4425048828125
1641.0435791015625,0,0.06076817959547043,R_A2,STANDARD,2,2,0.0,22,30,2018-01-01,300.566162109375,300.566162109375
1642.887939453125,0,0.06368028372526169,R_A2,STANDARD,3,3,0.0,22,30,2018-01-01,300.6898193359375,300.6898193359375
1644.7322998046875,0,0.07073266059160233,R_A2,STANDARD,4,4,0.0,22,30,2018-01-01,300.8135070800781,300.8135070800781
1646.57666015625,0,0.07466620206832886,R_A2,STANDARD,5,5,0.0,22,30,2018-01-01,300.9371643066406,300.9371643066406
1648.4208984375,0,0.3223434388637543,R_A2,STANDARD,6,6,0.0,22,30,2018-01-01,301.06085205078125,301.06085205078125
1650.2652587890625,0,0.9149390459060669,R_A2,STANDARD,7,7,0.0,22,30,2018-01-01,301.18450927734375,301.18450927734375
1652.109619140625,0,0.8995599150657654,R_A2,STANDARD,8,8,0.0,22,30,2018-01-01,301.3081970214844,301.3081970214844
1653.9539794921875,0,0.9240917563438416,R_A2,STANDARD,9,9,0.0,22,30,2018-01-01,301.431884765625,301.431884765625
1655.79833984375,0,0.9305014610290527,R_A2,STANDARD,10,10,0.0,22,30,2018-01-01,301.55560302734375,301.55560302734375
1657.697998046875,0,0.08219932019710541,R_A2,STANDARD,11,11,0.0,22,30,2018-01-01,301.6830139160156,301.6830139160156
1659.653076171875,0,0.08808352798223495,R_A2,STANDARD,12,12,0.0,22,30,2018-01-01,301.8141174316406,301.8141174316406
1661.608154296875,0,0.4770146310329437,R_A2,STANDARD,13,13,0.0,22,30,2018-01-01,301.94525146484375,301.94525146484375
1663.563232421875,0,0.556900680065155,R_A2,STANDARD,14,14,0.0,22,30,2018-01-01,302.0763854980469,302.0763854980469
1665.518310546875,0,0.7311343550682068,R_A2,STANDARD,15,15,0.0,22,30,2018-01-01,302.20751953125,302.20751953125
1667.4732666015625,0,0.9771100878715515,R_A2,STANDARD,16,16,0.0,22,30,2018-01-01,302.33868408203125,302.33868408203125
1669.4283447265625,0,0.9740564823150635,R_A2,STANDARD,17,17,0.0,22,30,2018-01-01,302.4698181152344,302.4698181152344
1671.3834228515625,0,0.9800223708152771,R_A2,STANDARD,18,18,0.0,22,30,2018-01-01,302.6009826660156,302.6009826660156
1672.443115234375,0,0.9926964640617371,R_A2,STANDARD,19,18,0.0,22,29,2018-01-01,302.67205810546875,302.67205810546875
1673.8577880859375,0,1.0,R_A2,STANDARD,20,19,0.0,22,29,2018-01-01,302.9428405761719,302.9428405761719
1675.1580810546875,0,1.0,R_A2,STANDARD,21,25,0.0,22,29,2018-01-01,303.2147216796875,303.2147216796875
1676.9346923828125,0,1.0,R_A2,STANDARD,22,26,0.0,22,29,2018-01-01,303.3830871582031,303.3830871582031
1678.71142578125,0,1.0,R_A2,STANDARD,23,27,0.0,22,29,2018-01-01,303.5514221191406,303.5514221191406
1680.488037109375,0,1.0,R_A2,STANDARD,24,28,0.0,22,29,2018-01-01,303.71978759765625,303.71978759765625
1682.2646484375,0,1.0,R_A2,STANDARD,25,29,0.0,22,29,2018-01-01,303.8881530761719,303.8881530761719
1609.885498046875,0,0.6481541991233826,R_A3,STANDARD,1,1,0.0,28,41,2018-01-01,298.4775390625,298.4775390625
1611.8876953125,0,0.2020966112613678,R_A3,STANDARD,2,2,0.0,28,41,2018-01-01,298.6117248535156,298.6117248535156
1613.889892578125,0,0.19806472957134247,R_A3,STANDARD,3,3,0.0,28,41,2018-01-01,298.74591064453125,298.74591064453125
1615.89208984375,0,0.32038015127182007,R_A3,STANDARD,4,4,0.0,28,41,2018-01-01,298.8800964355469,298.8800964355469
