DEPTH,SGAS,WELL,CONKPOS,CONIPOS,CONIDX,CONJPOS,CONBPRES,SWAT,DRAWDOWN,DATE,PRESSURE,WELLMODEL
1651.018798828125,0.0,R_A2,7,22,7,30,301.4623718261719,0.8663013577461243,0,2018-01-01,301.4623718261719,STANDARD
1652.813720703125,0.0,R_A2,8,22,8,30,301.582763671875,0.8522952198982239,0,2018-01-01,301.582763671875,STANDARD
1654.608642578125,0.0,R_A2,9,22,9,30,301.703125,0.8761547207832336,0,2018-01-01,301.703125,STANDARD
1656.403564453125,0.0,R_A2,10,22,10,30,301.8235168457031,0.8996816873550415,0,2018-01-01,301.8235168457031,STANDARD
1658.3251953125,0.0,R_A2,11,22,11,30,301.9524230957031,0.06758349388837814,0,2018-01-01,301.9524230957031,STANDARD
1662.421630859375,0.0,R_A2,13,22,12,30,302.2272033691406,0.4353311061859131,0,2018-01-01,302.2272033691406,STANDARD
1664.469970703125,0.0,R_A2,14,22,13,30,302.3645935058594,0.469226598739624,0,2018-01-01,302.3645935058594,STANDARD
1666.518310546875,0.0,R_A2,15,22,14,30,302.5019836425781,0.9053702354431152,0,2018-01-01,302.5019836425781,STANDARD
1668.5665283203125,0.0,R_A2,16,22,15,30,302.639404296875,0.915526807308197,0,2018-01-01,302.639404296875,STANDARD
1670.6148681640625,0.0,R_A2,17,22,16,30,302.77679443359375,0.8710988759994507,0,2018-01-01,302.77679443359375,STANDARD
1672.3931884765625,0.0,R_A2,17,22,17,29,302.8961181640625,0.9095765948295593,0,2018-01-01,302.8961181640625,STANDARD
1674.254150390625,0.0,R_A2,18,22,18,29,303.0209655761719,0.9626535773277283,0,2018-01-01,303.0209655761719,STANDARD
1676.2620849609375,0.0,R_A2,25,22,19,29,303.15570068359375,1.0,0,2018-01-01,303.15570068359375,STANDARD
1678.0599365234375,0.0,R_A2,26,22,20,29,303.27630615234375,0.7921205759048462,0,2018-01-01,303.27630615234375,STANDARD
1679.8577880859375,0.0,R_A2,27,22,21,29,303.3969421386719,0.6481541991233826,0,2018-01-01,303.3969421386719,STANDARD
1681.655517578125,0.0,R_A2,28,22,22,29,303.524658203125,1.0,0,2018-01-01,303.524658203125,STANDARD
1683.453369140625,0.0,R_A2,29,22,23,29,303.69500732421875,1.0,0,2018-01-01,303.69500732421875,STANDARD
1609.1629638671875,0.0,R_A3,1,28,1,41,298.6562805175781,0.1097988560795784,0,2018-01-01,298.6562805175781,STANDARD
1611.1417236328125,0.0,R_A3,2,28,2,41,298.78887939453125,0.11823459714651108,0,2018-01-01,298.78887939453125,STANDARD
1613.1204833984375,0.0,R_A3,3,28,3,41,298.9215087890625,0.1917216032743454,0,2018-01-01,298.9215087890625,STANDARD
1615.09912109375,0.0,R_A3,4,28,4,41,299.05413818359375,0.6481541991233826,0,2018-01-01,299.05413818359375,STANDARD
1617.077880859375,0.0,R_A3,5,28,5,41,299.186767578125,0.8158982992172241,0,2018-01-01,299.186767578125,STANDARD
1610.794677734375,0.0,R_A3,5,29,6,41,298.765625,0.8069233298301697,0,2018-01-01,298.765625,STANDARD
1612.693359375,0.0,R_A3,6,29,7,41,298.89288330078125,0.6481541991233826,0,2018-01-01,298.89288330078125,STANDARD
1614.592041015625,0.0,R_A3,7,29,8,41,299.0201416015625,0.19336947798728943,0,2018-01-01,299.0201416015625,STANDARD
1616.49072265625,0.0,R_A3,8,29,9,41,299.14739990234375,0.19739502668380737,0,2018-01-01,299.14739990234375,STANDARD
1618.3895263671875,0.0,R_A3,9,29,10,41,299.274658203125,0.800218403339386,0,2018-01-01,299.274658203125,STANDARD
1620.2882080078125,0.0,R_A3,10,29,11,41,299.4019470214844,0.7896310687065125,0,2018-01-01,299.4019470214844,STANDARD
1622.396728515625,0.0,R_A3,11,29,12,41,299.54327392578125,0.048730622977018356,0,2018-01-01,299.54327392578125,STANDARD
1624.7149658203125,0.0,R_A3,12,29,13,41,299.69866943359375,0.05426028370857239,0,2018-01-01,299.69866943359375,STANDARD
1627.033203125,0.0,R_A3,13,29,14,41,299.8540954589844,0.3702109456062317,0,2018-01-01,299.8540954589844,STANDARD
1629.3514404296875,0.0,R_A3,14,29,15,41,300.009521484375,0.3490637540817261,0,2018-01-01,300.009521484375,STANDARD
1631.6097412109375,0.0,R_A3,15,29,16,41,300.1609191894531,0.7965025901794434,0,2018-01-01,300.1609191894531,STANDARD
1632.883544921875,0.0,R_A3,16,29,17,41,300.2463073730469,0.7741930484771729,0,2018-01-01,300.2463073730469,STANDARD
1634.687255859375,0.0,R_A3,25,29,18,41,300.36724853515625,0.6481541991233826,0,2018-01-01,300.36724853515625,STANDARD
1637.9449462890625,0.0,R_A3,26,29,19,41,300.5856628417969,0.04357399418950081,0,2018-01-01,300.5856628417969,STANDARD
1641.2027587890625,0.0,R_A3,27,29,20,41,300.8041076660156,0.04753798246383667,0,2018-01-01,300.8041076660156,STANDARD
1644.46044921875,0.0,R_A3,28,29,21,41,301.0225524902344,0.6481541991233826,0,2018-01-01,301.0225524902344,STANDARD
1647.71826171875,0.0,R_A3,29,29,22,41,301.24102783203125,0.2903110682964325,0,2018-01-01,301.24102783203125,STANDARD
1630.912353515625,0.0,R_A4,1,30,1,52,300.1141662597656,0.047524046152830124,0,2018-01-01,300.1141662597656,STANDARD
1625.6807861328125,0.0,R_A4,1,31,2,52,299.763427734375,0.07494256645441055,0,2018-01-01,299.763427734375,STANDARD
1627.8092041015625,0.0,R_A4,2,31,3,52,299.9061279296875,0.08669135719537735,0,2018-01-01,299.9061279296875,STANDARD
1629.9376220703125,0.0,R_A4,3,31,4,52,300.0487976074219,0.04913914203643799,0,2018-01-01,300.0487976074219,STANDARD
1632.0660400390625,0.0,R_A4,4,31,5,52,300.1914978027344,0.0513148307800293,0,2018-01-01,300.1914978027344,STANDARD
1634.1943359375,0.0,R_A4,5,31,6,52,300.3341979980469,0.054071199148893356,0,2018-01-01,300.3341979980469,STANDARD
1633.0968017578125,0.0,R_A4,5,32,7,52,300.2606201171875,0.05342092737555504,0,2018-01-01,300.2606201171875,STANDARD
1633.65625,0.0,R_A4,5,32,8,51,300.2981262207031,0.055255286395549774,0,2018-01-01,300.2981262207031,STANDARD
1635.5364990234375,0.0,R_A4,6,32,9,51,300.4241943359375,0.05512756109237671,0,2018-01-01,300.4241943359375,STANDARD
1638.4158935546875,0.0,R_A4,6,33,10,51,300.61724853515625,0.05602690577507019,0,2018-01-01,300.61724853515625,STANDARD
1636.5347900390625,0.0,R_A4,5,33,11,51,300.4911193847656,0.05709080770611763,0,2018-01-01,300.4911193847656,STANDARD
1639.796630859375,0.0,R_A4,5,33,12,50,300.7098388671875,0.05801854282617569,0,2018-01-01,300.7098388671875,STANDARD
1640.3974609375,0.0,R_A4,5,34,13,50,300.7501220703125,0.05827946215867996,0,2018-01-01,300.7501220703125,STANDARD
1638.4859619140625,0.0,R_A4,4,34,14,50,300.6219482421875,0.07682973146438599,0,2018-01-01,300.6219482421875,STANDARD
1643.707763671875,0.0,R_A4,4,35,15,50,300.9720764160156,0.0786728709936142,0,2018-01-01,300.9720764160156,STANDARD
1641.866943359375,0.0,R_A4,3,35,16,50,300.8486633300781,0.224808007478714,0,2018-01-01,300.8486633300781,STANDARD
1640.0262451171875,0.0,R_A4,2,35,17,50,300.7252197265625,0.22265784442424774,0,2018-01-01,300.7252197265625,STANDARD
1642.646484375,0.0,R_A4,2,35,18,49,300.90093994140625,0.23388199508190155,0,2018-01-01,300.90093994140625,STANDARD
1640.7958984375,0.0,R_A4,1,35,19,49,300.7768249511719,0.22435787320137024,0,2018-01-01,300.7768249511719,STANDARD
1645.4638671875,0.0,R_A4,28,36,20,49,301.08984375,0.20110751688480377,0,2018-01-01,301.08984375,STANDARD
1639.668212890625,0.0,R_A4,27,36,21,49,300.70123291015625,0.6481541991233826,0,2018-01-01,300.70123291015625,STANDARD
1638.1767578125,0.0,R_A4,27,36,22,48,300.6012268066406,0.7346100807189941,0,2018-01-01,300.6012268066406,STANDARD
1647.090087890625,0.0,R_A4,27,37,23,48,301.19891357421875,1.0,0,2018-01-01,301.19891357421875,STANDARD
1653.592529296875,0.0,R_A4,27,38,24,48,301.6349792480469,0.8497307896614075,0,2018-01-01,301.6349792480469,STANDARD
1648.040771484375,0.0,R_A4,26,38,25,48,301.2626647949219,0.0937836617231369,0,2018-01-01,301.2626647949219,STANDARD
1655.870361328125,0.0,R_A4,26,38,26,47,301.7877502441406,0.06136225908994675,0,2018-01-01,301.7877502441406,STANDARD
1685.1295166015625,0.0,R_A5,1,31,1,20,303.8538513183594,1.0,0,2018-01-01,303.8538513183594,STANDARD
1687.437255859375,0.0,R_A5,2,31,2,20,304.0725402832031,1.0,0,2018-01-01,304.0725402832031,STANDARD
1689.7451171875,0.0,R_A5,3,31,3,20,304.2912292480469,1.0,0,2018-01-01,304.2912292480469,STANDARD
1692.052978515625,0.0,R_A5,4,31,4,20,304.50994873046875,1.0,0,2018-01-01,304.50994873046875,STANDARD
1694.36083984375,0.0,R_A5,5,31,5,20,304.7286376953125,1.0,0,2018-01-01,304.7286376953125,STANDARD
1696.6685791015625,0.0,R_A5,6,31,6,20,304.9473571777344,1.0,0,2018-01-01,304.9473571777344,STANDARD
1698.9764404296875,0.0,R_A5,7,31,7,20,305.4718322753906,1.0,0,2018-01-01,305.4718322753906,STANDARD
1703.592041015625,0.0,R_A5,9,31,8,20,305.6101989746094,1.0,0,2018-01-01,305.6101989746094,STANDARD
1705.89990234375,0.0,R_A5,10,31,9,20,305.82891845703125,1.0,0,2018-01-01,305.82891845703125,STANDARD
1700.2176513671875,0.0,R_A5,11,31,10,21,305.2837829589844,1.0,0,2018-01-01,305.2837829589844,STANDARD
1702.226806640625,0.0,R_A5,12,31,11,21,305.4742126464844,1.0,0,2018-01-01,305.4742126464844,STANDARD
1704.236083984375,0.0,R_A5,13,31,12,21,305.67657470703125,1.0,0,2018-01-01,305.67657470703125,STANDARD
1706.2452392578125,0.0,R_A5,14,31,13,21,305.86700439453125,1.0,0,2018-01-01,305.86700439453125,STANDARD
1708.2545166015625,0.0,R_A5,15,31,14,21,306.0574035644531,1.0,0,2018-01-01,306.0574035644531,STANDARD
1710.263671875,0.0,R_A5,16,31,15,21,306.392822265625,1.0,0,2018-01-01,306.392822265625,STANDARD
1712.2677001953125,0.0,R_A5,17,31,16,21,306.582763671875,1.0,0,2018-01-01,306.582763671875,STANDARD
1713.8017578125,0.0,R_A5,18,31,17,21,306.7281494140625,1.0,0,2018-01-01,306.7281494140625,STANDARD
1714.587158203125,0.0,R_A5,19,31,18,21,306.8025817871094,1.0,0,2018-01-01,306.8025817871094,STANDARD
1714.9656982421875,0.0,R_A5,20,31,19,21,306.8384704589844,1.0,0,2018-01-01,306.8384704589844,STANDARD
1716.2576904296875,0.0,R_A5,25,31,20,21,306.8038024902344,1.0,0,2018-01-01,306.8038024902344,STANDARD
1718.586669921875,0.0,R_A5,26,31,21,21,307.0245361328125,1.0,0,2018-01-01,307.0245361328125,STANDARD
1720.9156494140625,0.0,R_A5,27,31,22,21,307.5510559082031,1.0,0,2018-01-01,307.5510559082031,STANDARD
1723.24462890625,0.0,R_A5,28,31,23,21,307.77178955078125,1.0,0,2018-01-01,307.77178955078125,STANDARD
1725.5736083984375,0.0,R_A5,29,31,24,21,307.9925231933594,1.0,0,2018-01-01,307.9925231933594,STANDARD
1694.5335693359375,0.0,R_A6,1,17,1,42,305.05078125,1.0,0,2018-01-01,305.05078125,STANDARD
1696.07177734375,0.0,R_A6,2,17,2,42,305.1965637207031,1.0,0,2018-01-01,305.1965637207031,STANDARD
1697.60986328125,0.0,R_A6,3,17,3,42,305.34234619140625,1.0,0,2018-01-01,305.34234619140625,STANDARD
1699.1480712890625,0.0,R_A6,4,17,4,42,305.48809814453125,1.0,0,2018-01-01,305.48809814453125,STANDARD
1700.6861572265625,0.0,R_A6,5,17,5,42,305.6338806152344,1.0,0,2018-01-01,305.6338806152344,STANDARD
1702.224365234375,0.0,R_A6,6,17,6,42,305.7796325683594,1.0,0,2018-01-01,305.7796325683594,STANDARD
1703.7625732421875,0.0,R_A6,7,17,7,42,305.6263732910156,1.0,0,2018-01-01,305.6263732910156,STANDARD
1705.30078125,0.0,R_A6,8,17,8,42,305.7721252441406,1.0,0,2018-01-01,305.7721252441406,STANDARD
1706.8388671875,0.0,R_A6,9,17,9,42,306.2169494628906,1.0,0,2018-01-01,306.2169494628906,STANDARD
1708.3770751953125,0.0,R_A6,10,17,10,42,306.05694580078125,1.0,0,2018-01-01,306.05694580078125,STANDARD
1710.339111328125,0.0,R_A6,11,17,11,42,306.2430114746094,1.0,0,2018-01-01,306.2430114746094,STANDARD
1712.724853515625,0.0,R_A6,12,17,12,42,306.4691162109375,1.0,0,2018-01-01,306.4691162109375,STANDARD
1715.1107177734375,0.0,R_A6,13,17,13,42,306.7071838378906,1.0,0,2018-01-01,306.7071838378906,STANDARD
1717.49658203125,0.0,R_A6,14,17,14,42,306.9333190917969,1.0,0,2018-01-01,306.9333190917969,STANDARD
1719.8824462890625,0.0,R_A6,15,17,15,42,307.159423828125,1.0,0,2018-01-01,307.159423828125,STANDARD
1722.2681884765625,0.0,R_A6,16,17,16,42,307.53057861328125,1.0,0,2018-01-01,307.53057861328125,STANDARD
1724.629150390625,0.0,R_A6,17,17,17,42,307.75433349609375,1.0,0,2018-01-01,307.75433349609375,STANDARD
1725.89697265625,0.0,R_A6,18,17,18,42,307.8744812011719,1.0,0,2018-01-01,307.8744812011719,STANDARD
1726.85400390625,0.0,R_A6,25,17,19,42,307.80810546875,1.0,0,2018-01-01,307.80810546875,STANDARD
1728.5684814453125,0.0,R_A6,26,17,20,42,308.2763977050781,1.0,0,2018-01-01,308.2763977050781,STANDARD
1730.2830810546875,0.0,R_A6,27,17,21,42,308.4388732910156,1.0,0,2018-01-01,308.4388732910156,STANDARD
1731.99755859375,0.0,R_A6,28,17,22,42,308.60137939453125,1.0,0,2018-01-01,308.60137939453125,STANDARD
1733.712158203125,0.0,R_A6,29,17,23,42,308.4580993652344,1.0,0,2018-01-01,308.4580993652344,STANDARD
1640.2493896484375,0.0,R_A2,1,22,1,30,297.4881896972656,0.05295531079173088,0,2018-03-01,297.4881896972656,STANDARD
1642.0443115234375,0.0,R_A2,2,22,2,30,297.6084289550781,0.05444198101758957,0,2018-03-01,297.6084289550781,STANDARD
1643.839111328125,0.0,R_A2,3,22,3,30,297.72869873046875,0.05833058804273605,0,2018-03-01,297.72869873046875,STANDARD
1645.634033203125,0.0,R_A2,4,22,4,30,297.84893798828125,0.0627257376909256,0,2018-03-01,297.84893798828125,STANDARD
1647.428955078125,0.0,R_A2,5,22,5,30,297.9692077636719,0.0655239000916481,0,2018-03-01,297.9692077636719,STANDARD
1649.223876953125,0.0,R_A2,6,22,6,30,298.0895080566406,0.2279331088066101,0,2018-03-01,298.0895080566406,STANDARD
1651.018798828125,0.0,R_A2,7,22,7,30,298.2236022949219,0.8661690354347229,0,2018-03-01,298.2236022949219,STANDARD
1652.813720703125,0.0,R_A2,8,22,8,30,298.3506774902344,0.8521493673324585,0,2018-03-01,298.3506774902344,STANDARD
1654.608642578125,0.0,R_A2,9,22,9,30,298.78662109375,0.8760443925857544,0,2018-03-01,298.78662109375,STANDARD
1656.403564453125,0.0,R_A2,10,22,10,30,299.099853515625,0.899598240852356,0,2018-03-01,299.099853515625,STANDARD
1658.3251953125,0.0,R_A2,11,22,11,30,298.6085205078125,0.06761809438467026,0,2018-03-01,298.6085205078125,STANDARD
1662.421630859375,0.0,R_A2,13,22,12,30,299.78369140625,0.4354443848133087,0,2018-03-01,299.78369140625,STANDARD
1664.469970703125,0.0,R_A2,14,22,13,30,299.9212951660156,0.46947285532951355,0,2018-03-01,299.9212951660156,STANDARD
1666.518310546875,0.0,R_A2,15,22,14,30,300.0616149902344,0.905299723148346,0,2018-03-01,300.0616149902344,STANDARD
1668.5665283203125,0.0,R_A2,16,22,15,30,300.20159912109375,0.9154638648033142,0,2018-03-01,300.20159912109375,STANDARD
1670.6148681640625,0.0,R_A2,17,22,16,30,300.3403015136719,0.8710029125213623,0,2018-03-01,300.3403015136719,STANDARD
1672.3931884765625,0.0,R_A2,17,22,17,29,300.04852294921875,0.9094979166984558,0,2018-03-01,300.04852294921875,STANDARD
1674.254150390625,0.0,R_A2,18,22,18,29,300.173095703125,0.9626210927963257,0,2018-03-01,300.173095703125,STANDARD
1676.2620849609375,0.0,R_A2,25,22,19,29,302.07403564453125,0.9999983906745911,0,2018-03-01,302.07403564453125,STANDARD
1678.0599365234375,0.0,R_A2,26,22,20,29,301.87237548828125,0.792041003704071,0,2018-03-01,301.87237548828125,STANDARD
1679.8577880859375,0.0,R_A2,27,22,21,29,301.2027893066406,0.657625675201416,0,2018-03-01,301.2027893066406,STANDARD
1681.655517578125,0.0,R_A2,28,22,22,29,301.3358154296875,0.9832927584648132,0,2018-03-01,301.3358154296875,STANDARD
1683.453369140625,0.0,R_A2,29,22,23,29,301.5060729980469,0.999998927116394,0,2018-03-01,301.5060729980469,STANDARD
1685.1295166015625,3.381914193134605e-11,R_A5,1,31,1,20,279.84716796875,1.0,0,2018-04-28,279.84716796875,STANDARD
1687.437255859375,2.9570828424807516e-11,R_A5,2,31,2,20,280.06561279296875,1.0,0,2018-04-28,280.06561279296875,STANDARD
1689.7451171875,4.803562755895108e-11,R_A5,3,31,3,20,280.2842712402344,1.0,0,2018-04-28,280.2842712402344,STANDARD
1692.052978515625,4.291185809468523e-11,R_A5,4,31,4,20,280.5028076171875,1.0,0,2018-04-28,280.5028076171875,STANDARD
1694.36083984375,4.4814742194976276e-11,R_A5,5,31,5,20,280.72119140625,1.0,0,2018-04-28,280.72119140625,STANDARD
