ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,6196462,1085082,684772,477526,67235609
Valysar,CentralSouth,60514734,11849807,9079773,6331780,891514699
Valysar,CentralNorth,39609448,7201615,5262678,3669929,516726024
Valysar,NorthHorst,3010029,403031,233529,143445,28100890
Valysar,CentralRamp,13619839,2313539,1650019,1150641,162010255
Valysar,CentralHorst,89335019,15020404,11424176,7966650,1121704388
Valysar,EastLowland,4807121,1007318,645016,449802,63332160
Therys,WestLowland,1652055,350115,182474,127248,17916523
Therys,CentralSouth,6127018,1549671,967832,674918,95028450
Therys,CentralNorth,14577291,3211669,1888876,1317208,185462849
Therys,NorthHorst,8984355,1171742,443281,272286,53340788
Therys,CentralRamp,6728515,1616418,1216340,848215,119428607
Therys,CentralHorst,31083413,7803025,5970471,4163509,586222023
Therys,EastLowland,178,58,26,18,2538
Volon,WestLowland,87563,15142,8196,5716,804748
Volon,CentralSouth,30511333,5695262,4346474,3031014,426766761
Volon,CentralNorth,1866695,215045,73325,51133,7199528
Volon,NorthHorst,5714952,1048620,754000,463145,90730136
Volon,CentralRamp,12051952,2212646,1652337,1152257,162237859
Volon,CentralHorst,81794123,13803056,10272002,7163182,1008575998
Volon,EastLowland,10686,537,0,0,0
