Cluster,Surface,Well,Paired,A/B,x,y,HelpPointDepth,HelpPointSD,TargetDepth,TargetSD,TargetDepthMismatch
0,TopLowerReek,OP_6,N,B,463484.73,5933063.11,1627.155490,6.343694,1623.289461,3.937293,0.343244
0,TopMidReek,OP_6,N,A,463727.03,5932985.52,1619.291946,3.069939,1621.015798,1.553890,0.052608
1,TopMidReek,OP_6,N,B,463787.04,5932966.40,1628.420759,1.892752,1626.948299,1.140900,0.282485
1,TopMidReek,OP_6,N,B,463835.61,5932950.91,1634.381387,5.699629,1630.888790,2.187007,0.421830
1,TopMidReek,OP_6,N,B,463957.05,5932912.21,1629.868818,11.407413,1638.812067,3.395637,0.959745
1,TopMidReek,OP_6,N,B,464297.06,5932803.84,1645.993697,6.492875,1645.552420,3.321934,1.235646
1,TopMidReek,OP_6,N,B,464429.93,5932761.49,1647.552919,2.530922,1646.196246,2.336368,1.225355
