Well,MD,x,y,TVD,Block,Deactivated,IsochoreThickness,IsochoreThicknessChange,TopDz,TopDzChange,BaseDz,BaseDzChange,TrueZone,CalcZone,Match,Fix
OP_1,0.00,461809.59,5932990.36,0.00,-,-,-999.00,-999.00,-999.00,-999.00,1657.42,-0.00,0,0,Y,-
OP_1,36.05,461817.80,5933001.94,33.13,-,-,-999.00,-999.00,-999.00,-999.00,1623.76,-0.00,0,0,Y,-
OP_1,99.31,461832.29,5933022.37,91.22,-,-,-999.00,-999.00,-999.00,-999.00,1564.80,-0.00,0,0,Y,-
OP_1,161.76,461846.82,5933042.84,148.41,-,-,-999.00,-999.00,-999.00,-999.00,1506.73,-0.00,0,0,Y,-
OP_1,222.72,461861.35,5933063.30,203.97,-,-,-999.00,-999.00,-999.00,-999.00,1450.22,-0.00,0,0,Y,-
OP_1,282.07,461875.95,5933083.84,257.70,-,-,-999.00,-999.00,-999.00,-999.00,1395.58,-0.00,0,0,Y,-
OP_1,339.19,461890.57,5933104.38,308.95,-,-,-999.00,-999.00,-999.00,-999.00,1343.55,-0.00,0,0,Y,-
OP_1,393.51,461905.09,5933124.77,357.16,-,-,-999.00,-999.00,-999.00,-999.00,1294.76,-0.00,0,0,Y,-
OP_1,445.56,461919.71,5933145.24,402.72,-,-,-999.00,-999.00,-999.00,-999.00,1248.81,-0.00,0,0,Y,-
OP_1,494.83,461934.26,5933165.62,445.15,-,-,-999.00,-999.00,-999.00,-999.00,1206.37,-0.00,0,0,Y,-
OP_1,541.87,461948.92,5933186.11,484.88,-,-,-999.00,-999.00,-999.00,-999.00,1166.91,-0.00,0,0,Y,-
OP_1,586.26,461963.52,5933206.48,521.52,-,-,-999.00,-999.00,-999.00,-999.00,1130.65,-0.00,0,0,Y,-
OP_1,628.56,461978.19,5933226.93,555.50,-,-,-999.00,-999.00,-999.00,-999.00,1097.13,-0.00,0,0,Y,-
OP_1,668.84,461992.93,5933247.44,586.88,-,-,-999.00,-999.00,-999.00,-999.00,1066.30,-0.00,0,0,Y,-
OP_1,707.21,462007.71,5933267.99,615.72,-,-,-999.00,-999.00,-999.00,-999.00,1038.17,-0.00,0,0,Y,-
OP_1,743.76,462022.49,5933288.53,642.08,-,-,-999.00,-999.00,-999.00,-999.00,1012.61,-0.00,0,0,Y,-
OP_1,778.58,462037.26,5933309.01,666.05,-,-,-999.00,-999.00,-999.00,-999.00,989.39,-0.00,0,0,Y,-
OP_1,811.78,462051.97,5933329.39,687.73,-,-,-999.00,-999.00,-999.00,-999.00,968.33,-0.00,0,0,Y,-
OP_1,843.89,462066.78,5933349.91,707.49,-,-,-999.00,-999.00,-999.00,-999.00,949.09,-0.00,0,0,Y,-
OP_1,874.55,462081.47,5933370.23,725.14,-,-,-999.00,-999.00,-999.00,-999.00,931.76,-0.00,0,0,Y,-
OP_1,904.30,462096.21,5933390.59,741.04,-,-,-999.00,-999.00,-999.00,-999.00,916.00,-0.00,0,0,Y,-
OP_1,933.20,462110.97,5933410.98,755.24,-,-,-999.00,-999.00,-999.00,-999.00,901.34,-0.00,0,0,Y,-
OP_1,961.32,462125.72,5933431.34,767.82,-,-,-999.00,-999.00,-999.00,-999.00,886.26,-0.00,0,0,Y,-
