Interval,TopSurface,NumObs,BaseSurface,NumObs,Coef,TrendMapMean,TrendMapSD,PriorMean,EstimMean,PostMean,PostUpdMean,SimMean,PriorSD,EstimSD,PostSD,PostUpdSD,UncertRed,tPrior,tEstim,tPost
MSL_TopUpperReek,MSL,0,TopUpperReek,6,a,1695.259101,56.606862,1.000000,1.002629,1.002642,1.002642,-,0.100000,0.001022,0.001020,0.001020,98.98,10.00,981.32,982.52
UpperReek,TopUpperReek,6,TopMidReek,7,a,15.554992,2.494223,1.000000,1.040989,1.017796,1.051305,-,0.100000,0.114150,0.075219,0.070036,29.96,10.00,9.12,15.01
MidReek,TopMidReek,7,TopLowerReek,5,a,14.054024,2.294542,1.000000,0.993659,0.997585,1.007442,-,0.100000,0.126413,0.078428,0.078320,21.68,10.00,7.86,12.86
LowerReek,TopLowerReek,5,BaseLowerReek,5,a,8.747744,1.612896,1.000000,1.002257,1.000656,0.997965,-,0.100000,0.158769,0.084615,0.081958,18.04,10.00,6.31,12.18
