SWAT,DRAWDOWN,DEPTH,CONKPOS,CONIPOS,CONJPOS,CONBPRES,WELL,CONIDX,SGAS,PRESSURE,WELLMODEL,DATE
0.06516288965940475,0,1649.23974609375,5,22,30,301.3444519042969,R_A2,5,0.0,301.3444519042969,STANDARD,2018-01-01
0.29866254329681396,0,1650.9835205078125,6,22,30,301.4613952636719,R_A2,6,0.0,301.4613952636719,STANDARD,2018-01-01
0.8771323561668396,0,1652.72705078125,7,22,30,301.5783386230469,R_A2,7,0.0,301.5783386230469,STANDARD,2018-01-01
0.6481541991233826,0,1654.470703125,8,22,30,301.6952819824219,R_A2,8,0.0,301.6952819824219,STANDARD,2018-01-01
0.23588435351848602,0,1656.21435546875,9,22,30,301.8122253417969,R_A2,9,0.0,301.8122253417969,STANDARD,2018-01-01
0.1678043007850647,0,1657.9580078125,10,22,30,301.9291687011719,R_A2,10,0.0,301.9291687011719,STANDARD,2018-01-01
0.07085996121168137,0,1659.8485107421875,11,22,30,302.05596923828125,R_A2,11,0.0,302.05596923828125,STANDARD,2018-01-01
0.16544374823570251,0,1661.885986328125,12,22,30,302.192626953125,R_A2,12,0.0,302.192626953125,STANDARD,2018-01-01
0.4351794421672821,0,1663.9234619140625,13,22,30,302.3293151855469,R_A2,13,0.0,302.3293151855469,STANDARD,2018-01-01
0.482228547334671,0,1665.9609375,14,22,30,302.46600341796875,R_A2,14,0.0,302.46600341796875,STANDARD,2018-01-01
0.9100721478462219,0,1667.9984130859375,15,22,30,302.6026611328125,R_A2,15,0.0,302.6026611328125,STANDARD,2018-01-01
0.9480435848236084,0,1670.035888671875,16,22,30,302.7393493652344,R_A2,16,0.0,302.7393493652344,STANDARD,2018-01-01
0.88426274061203,0,1672.0733642578125,17,22,30,302.87603759765625,R_A2,17,0.0,302.87603759765625,STANDARD,2018-01-01
0.948975682258606,0,1673.82177734375,18,22,30,302.99334716796875,R_A2,18,0.0,302.99334716796875,STANDARD,2018-01-01
0.9661417007446289,0,1675.352294921875,18,22,29,303.0960388183594,R_A2,19,0.0,303.0960388183594,STANDARD,2018-01-01
1.0,0,1677.2275390625,27,22,29,303.2218322753906,R_A2,20,0.0,303.2218322753906,STANDARD,2018-01-01
1.0,0,1679.006591796875,28,22,29,303.3412170410156,R_A2,21,0.0,303.3412170410156,STANDARD,2018-01-01
1.0,0,1680.785888671875,29,22,29,303.4606018066406,R_A2,22,0.0,303.4606018066406,STANDARD,2018-01-01
1.0,0,1682.5650634765625,30,22,29,303.9165954589844,R_A2,23,0.0,303.9165954589844,STANDARD,2018-01-01
1.0,0,1684.3441162109375,31,22,29,304.085205078125,R_A2,24,0.0,304.085205078125,STANDARD,2018-01-01
0.3249545097351074,0,1608.728515625,1,28,41,298.6285400390625,R_A3,1,0.0,298.6285400390625,STANDARD,2018-01-01
0.11823459714651108,0,1610.70556640625,2,28,41,298.76104736328125,R_A3,2,0.0,298.76104736328125,STANDARD,2018-01-01
0.16240708529949188,0,1602.248046875,2,29,41,298.1942443847656,R_A3,3,0.0,298.1942443847656,STANDARD,2018-01-01
0.11823459714651108,0,1604.349853515625,3,29,41,298.3350830078125,R_A3,4,0.0,298.3350830078125,STANDARD,2018-01-01
