ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
UpperReek,1,300995394.37,51620393.02,40280098.83,25333395.07
UpperReek,2,0.0,0.0,0.0,0.0
MidReek,1,196128824.86,37802851.36,29810359.49,18748653.45
MidReek,2,0.0,0.0,0.0,0.0
LowerReek,1,118204240.62,24265852.22,20142082.72,12667976.34
LowerReek,2,0.0,0.0,0.0,0.0
