date,amount,phase,containment,zone,region
2020-01-01,1518271539.480197,total,total,all,all
2040-01-01,1654420837.330684,total,total,all,all
2060-01-01,1792940794.556519,total,total,all,all
2080-01-01,1935388337.2988896,total,total,all,all
2100-01-01,2083178620.0457199,total,total,all,all
2120-01-01,2237431661.6471267,total,total,all,all
2140-01-01,2398896259.534919,total,total,all,all
2160-01-01,2567963760.5451145,total,total,all,all
2180-01-01,2744736143.028091,total,total,all,all
2200-01-01,2929110512.278205,total,total,all,all
2020-01-01,65090888.42767422,aqueous,total,all,all
2040-01-01,70892218.49138793,aqueous,total,all,all
2060-01-01,76764832.40046526,aqueous,total,all,all
2080-01-01,82762354.48657246,aqueous,total,all,all
2100-01-01,88932583.73722616,aqueous,total,all,all
2120-01-01,95313321.14047024,aqueous,total,all,all
2140-01-01,101930721.84318507,aqueous,total,all,all
2160-01-01,108800057.05715176,aqueous,total,all,all
2180-01-01,115927542.65309592,aqueous,total,all,all
2200-01-01,123312290.44938157,aqueous,total,all,all
2020-01-01,1453180651.0525224,gas,total,all,all
2040-01-01,1583528618.8392959,gas,total,all,all
2060-01-01,1716175962.1560538,gas,total,all,all
2080-01-01,1852625982.8123174,gas,total,all,all
2100-01-01,1994246036.3084939,gas,total,all,all
2120-01-01,2142118340.5066566,gas,total,all,all
2140-01-01,2296965537.6917334,gas,total,all,all
2160-01-01,2459163703.4879627,gas,total,all,all
2180-01-01,2628808600.374995,gas,total,all,all
2200-01-01,2805798221.828824,gas,total,all,all
2020-01-01,1515870184.0930688,total,contained,all,all
2040-01-01,1649231528.0567405,total,contained,all,all
2060-01-01,1782767865.3148243,total,contained,all,all
2080-01-01,1917085741.734456,total,contained,all,all
2100-01-01,2052668139.2904918,total,contained,all,all
2120-01-01,2189894484.6902013,total,contained,all,all
2140-01-01,2329080538.9459205,total,contained,all,all
2160-01-01,2470503258.833212,total,contained,all,all
2180-01-01,2614387930.393438,total,contained,all,all
2200-01-01,2760868587.9406223,total,contained,all,all
2020-01-01,65021136.77019266,aqueous,contained,all,all
2040-01-01,70741485.56833632,aqueous,contained,all,all
2060-01-01,76469340.45971228,aqueous,contained,all,all
2080-01-01,82230718.38310477,aqueous,contained,all,all
2100-01-01,88046336.17652155,aqueous,contained,all,all
2120-01-01,93932468.8192363,aqueous,contained,all,all
2140-01-01,99902660.43935788,aqueous,contained,all,all
2160-01-01,105968790.71139418,aqueous,contained,all,all
2180-01-01,112140522.965795,aqueous,contained,all,all
2200-01-01,118423606.41747035,aqueous,contained,all,all
2020-01-01,1450849047.322876,gas,contained,all,all
