CONIPOS,CONKPOS,SWAT,CONBPRES,PRESSURE,CONJPOS,SGAS,CONIDX,WELL,DATE,DEPTH,WELLMODEL,DRAWDOWN
22,1,0.05673010274767876,300.6733093261719,300.6733093261719,30,0.0,1,R_A2,2018-01-01,1641.094970703125,STANDARD,0
22,2,0.05777252838015556,300.7936096191406,300.7936096191406,30,0.0,2,R_A2,2018-01-01,1642.8890380859375,STANDARD,0
22,3,0.060030754655599594,300.9139099121094,300.9139099121094,30,0.0,3,R_A2,2018-01-01,1644.68310546875,STANDARD,0
22,4,0.06766234338283539,301.0342102050781,301.0342102050781,30,0.0,4,R_A2,2018-01-01,1646.4771728515625,STANDARD,0
22,5,0.06880508363246918,301.1545104980469,301.1545104980469,30,0.0,5,R_A2,2018-01-01,1648.2713623046875,STANDARD,0
22,6,0.31025803089141846,301.27484130859375,301.27484130859375,30,0.0,6,R_A2,2018-01-01,1650.0654296875,STANDARD,0
22,7,0.891412079334259,301.3951721191406,301.3951721191406,30,0.0,7,R_A2,2018-01-01,1651.859619140625,STANDARD,0
22,8,0.8774909377098083,301.5154724121094,301.5154724121094,30,0.0,8,R_A2,2018-01-01,1653.6536865234375,STANDARD,0
22,9,0.9038383364677429,301.63580322265625,301.63580322265625,30,0.0,9,R_A2,2018-01-01,1655.44775390625,STANDARD,0
22,10,0.9149646162986755,301.7561340332031,301.7561340332031,30,0.0,10,R_A2,2018-01-01,1657.2418212890625,STANDARD,0
22,11,0.07614300400018692,301.88323974609375,301.88323974609375,30,0.0,11,R_A2,2018-01-01,1659.1368408203125,STANDARD,0
22,12,0.07716154307126999,302.01708984375,302.01708984375,30,0.0,12,R_A2,2018-01-01,1661.132568359375,STANDARD,0
22,13,0.4616602957248688,302.1509704589844,302.1509704589844,30,0.0,13,R_A2,2018-01-01,1663.12841796875,STANDARD,0
22,14,0.5056487321853638,302.28485107421875,302.28485107421875,30,0.0,14,R_A2,2018-01-01,1665.1241455078125,STANDARD,0
22,15,0.6890329718589783,302.4187316894531,302.4187316894531,30,0.0,15,R_A2,2018-01-01,1667.1199951171875,STANDARD,0
22,16,0.9704177379608154,302.5526123046875,302.5526123046875,30,0.0,16,R_A2,2018-01-01,1669.11572265625,STANDARD,0
22,17,0.949622392654419,302.6864929199219,302.6864929199219,30,0.0,17,R_A2,2018-01-01,1671.111572265625,STANDARD,0
22,18,0.9828952550888062,302.8123779296875,302.8123779296875,30,0.0,18,R_A2,2018-01-01,1672.9881591796875,STANDARD,0
22,18,0.9966256022453308,302.89569091796875,302.89569091796875,29,0.0,19,R_A2,2018-01-01,1674.229736328125,STANDARD,0
22,27,1.0,303.02569580078125,303.02569580078125,29,0.0,20,R_A2,2018-01-01,1676.1676025390625,STANDARD,0
22,28,1.0,303.47802734375,303.47802734375,29,0.0,21,R_A2,2018-01-01,1677.9368896484375,STANDARD,0
