CONIPOS,WELLMODEL,DEPTH,CONBPRES,PRESSURE,SWAT,DRAWDOWN,CONKPOS,SGAS,CONIDX,CONJPOS,WELL,DATE
22,STANDARD,1642.5269775390625,300.89263916015625,300.89263916015625,0.05375301465392113,0,1,0.0,1,30,R_A2,2018-01-01
22,STANDARD,1644.29443359375,301.01116943359375,301.01116943359375,0.055966950953006744,0,2,0.0,2,30,R_A2,2018-01-01
22,STANDARD,1646.06201171875,301.12969970703125,301.12969970703125,0.05885684862732887,0,3,0.0,3,30,R_A2,2018-01-01
22,STANDARD,1647.82958984375,301.24822998046875,301.24822998046875,0.21270659565925598,0,4,0.0,4,30,R_A2,2018-01-01
22,STANDARD,1649.59716796875,301.36676025390625,301.36676025390625,0.25224217772483826,0,5,0.0,5,30,R_A2,2018-01-01
22,STANDARD,1651.36474609375,301.48529052734375,301.48529052734375,0.6481541991233826,0,6,0.0,6,30,R_A2,2018-01-01
22,STANDARD,1653.1322021484375,301.6038513183594,301.6038513183594,0.8796428442001343,0,7,0.0,7,30,R_A2,2018-01-01
22,STANDARD,1654.8997802734375,301.7223815917969,301.7223815917969,0.8471822738647461,0,8,0.0,8,30,R_A2,2018-01-01
22,STANDARD,1656.6673583984375,301.8409423828125,301.8409423828125,0.12971916794776917,0,9,0.0,9,30,R_A2,2018-01-01
22,STANDARD,1658.4349365234375,301.9595031738281,301.9595031738281,0.13918548822402954,0,10,0.0,10,30,R_A2,2018-01-01
22,STANDARD,1660.3377685546875,302.0871276855469,302.0871276855469,0.0689915344119072,0,11,0.0,11,30,R_A2,2018-01-01
22,STANDARD,1662.3759765625,302.2238464355469,302.2238464355469,0.2230851948261261,0,12,0.0,12,30,R_A2,2018-01-01
22,STANDARD,1664.4140625,302.3605651855469,302.3605651855469,0.4383040964603424,0,13,0.0,13,30,R_A2,2018-01-01
22,STANDARD,1666.4522705078125,302.4972839355469,302.4972839355469,0.48477092385292053,0,14,0.0,14,30,R_A2,2018-01-01
22,STANDARD,1668.4903564453125,302.6340026855469,302.6340026855469,0.9138502478599548,0,15,0.0,15,30,R_A2,2018-01-01
22,STANDARD,1670.528564453125,302.770751953125,302.770751953125,0.9291087985038757,0,16,0.0,16,30,R_A2,2018-01-01
22,STANDARD,1675.732177734375,303.119873046875,303.119873046875,0.984971284866333,0,16,0.0,17,29,R_A2,2018-01-01
22,STANDARD,1677.8887939453125,303.2645568847656,303.2645568847656,0.9889975786209106,0,17,0.0,18,29,R_A2,2018-01-01
22,STANDARD,1679.504638671875,303.3729553222656,303.3729553222656,1.0,0,18,0.0,19,29,R_A2,2018-01-01
22,STANDARD,1680.8751220703125,303.4649353027344,303.4649353027344,1.0,0,25,0.0,20,29,R_A2,2018-01-01
22,STANDARD,1682.541259765625,303.91436767578125,303.91436767578125,1.0,0,26,0.0,21,29,R_A2,2018-01-01
22,STANDARD,1684.207275390625,304.0722351074219,304.0722351074219,1.0,0,27,0.0,22,29,R_A2,2018-01-01
22,STANDARD,1685.8734130859375,304.2301330566406,304.2301330566406,1.0,0,28,0.0,23,29,R_A2,2018-01-01
22,STANDARD,1687.53955078125,304.38800048828125,304.38800048828125,1.0,0,29,0.0,24,29,R_A2,2018-01-01
28,STANDARD,1611.187255859375,298.7916564941406,298.7916564941406,0.6481541991233826,0,1,0.0,1,41,R_A3,2018-01-01
28,STANDARD,1613.283447265625,298.9321594238281,298.9321594238281,0.19399629533290863,0,2,0.0,2,41,R_A3,2018-01-01
28,STANDARD,1615.379638671875,299.0726623535156,299.0726623535156,0.19648706912994385,0,3,0.0,3,41,R_A3,2018-01-01
29,STANDARD,1602.294921875,298.19573974609375,298.19573974609375,0.1849360466003418,0,3,0.0,4,41,R_A3,2018-01-01
29,STANDARD,1604.4407958984375,298.33953857421875,298.33953857421875,0.304668664932251,0,4,0.0,5,41,R_A3,2018-01-01
29,STANDARD,1606.586669921875,298.48333740234375,298.48333740234375,0.8046349883079529,0,5,0.0,6,41,R_A3,2018-01-01
29,STANDARD,1608.732421875,298.62713623046875,298.62713623046875,0.6481541991233826,0,6,0.0,7,41,R_A3,2018-01-01
29,STANDARD,1610.8782958984375,298.7709655761719,298.7709655761719,0.19212248921394348,0,7,0.0,8,41,R_A3,2018-01-01
29,STANDARD,1613.024169921875,298.914794921875,298.914794921875,0.19211600720882416,0,8,0.0,9,41,R_A3,2018-01-01
29,STANDARD,1615.1700439453125,299.05859375,299.05859375,0.7956230640411377,0,9,0.0,10,41,R_A3,2018-01-01
29,STANDARD,1617.31591796875,299.2024230957031,299.2024230957031,0.7895249128341675,0,10,0.0,11,41,R_A3,2018-01-01
29,STANDARD,1619.530517578125,299.35089111328125,299.35089111328125,0.04951775446534157,0,11,0.0,12,41,R_A3,2018-01-01
29,STANDARD,1621.8138427734375,299.5039367675781,299.5039367675781,0.05251971632242203,0,12,0.0,13,41,R_A3,2018-01-01
29,STANDARD,1624.09716796875,299.656982421875,299.656982421875,0.23957926034927368,0,13,0.0,14,41,R_A3,2018-01-01
29,STANDARD,1626.3804931640625,299.81005859375,299.81005859375,0.046117570251226425,0,14,0.0,15,41,R_A3,2018-01-01
29,STANDARD,1628.6636962890625,299.963134765625,299.963134765625,0.5000772476196289,0,15,0.0,16,41,R_A3,2018-01-01
29,STANDARD,1630.77001953125,300.1043395996094,300.1043395996094,0.7953991293907166,0,16,0.0,17,41,R_A3,2018-01-01
29,STANDARD,1633.6328125,300.2962646484375,300.2962646484375,0.12284614890813828,0,25,0.0,18,41,R_A3,2018-01-01
29,STANDARD,1637.32763671875,300.54400634765625,300.54400634765625,0.04712728410959244,0,26,0.0,19,41,R_A3,2018-01-01
29,STANDARD,1641.0224609375,300.791748046875,300.791748046875,0.050126947462558746,0,27,0.0,20,41,R_A3,2018-01-01
29,STANDARD,1644.71728515625,301.0395202636719,301.0395202636719,0.6481541991233826,0,28,0.0,21,41,R_A3,2018-01-01
29,STANDARD,1648.4122314453125,301.28729248046875,301.28729248046875,0.060633156448602676,0,29,0.0,22,41,R_A3,2018-01-01
30,STANDARD,1631.59228515625,300.1594543457031,300.1594543457031,0.0495331771671772,0,1,0.0,1,52,R_A4,2018-01-01
31,STANDARD,1626.305908203125,299.8050537109375,299.8050537109375,0.0646786317229271,0,1,0.0,2,52,R_A4,2018-01-01
31,STANDARD,1628.433837890625,299.9477233886719,299.9477233886719,0.06434692442417145,0,2,0.0,3,52,R_A4,2018-01-01
31,STANDARD,1630.5616455078125,300.0903625488281,300.0903625488281,0.050029024481773376,0,3,0.0,4,52,R_A4,2018-01-01
31,STANDARD,1632.689453125,300.2330322265625,300.2330322265625,0.05218920111656189,0,4,0.0,5,52,R_A4,2018-01-01
31,STANDARD,1634.8173828125,300.3757019042969,300.3757019042969,0.08851629495620728,0,5,0.0,6,52,R_A4,2018-01-01
32,STANDARD,1632.5604248046875,300.224365234375,300.224365234375,0.05313730612397194,0,5,0.0,7,52,R_A4,2018-01-01
32,STANDARD,1635.18798828125,300.4005432128906,300.4005432128906,0.09625973552465439,0,5,0.0,8,51,R_A4,2018-01-01
33,STANDARD,1635.4307861328125,300.41680908203125,300.41680908203125,0.055979203432798386,0,5,0.0,9,51,R_A4,2018-01-01
33,STANDARD,1641.9425048828125,300.85345458984375,300.85345458984375,0.060309477150440216,0,5,0.0,10,50,R_A4,2018-01-01
34,STANDARD,1640.4766845703125,300.7551574707031,300.7551574707031,0.05950608849525452,0,5,0.0,11,50,R_A4,2018-01-01
34,STANDARD,1638.5267333984375,300.6243896484375,300.6243896484375,0.06012408807873726,0,4,0.0,12,50,R_A4,2018-01-01
35,STANDARD,1641.524169921875,300.82537841796875,300.82537841796875,0.062152836471796036,0,4,0.0,13,50,R_A4,2018-01-01
35,STANDARD,1639.677001953125,300.7015380859375,300.7015380859375,0.11858627945184708,0,3,0.0,14,50,R_A4,2018-01-01
35,STANDARD,1637.8299560546875,300.57769775390625,300.57769775390625,0.19820411503314972,0,2,0.0,15,50,R_A4,2018-01-01
35,STANDARD,1642.5858154296875,300.8965759277344,300.8965759277344,0.2209251970052719,0,2,0.0,16,49,R_A4,2018-01-01
35,STANDARD,1640.725830078125,300.7718505859375,300.7718505859375,0.2230321764945984,0,1,0.0,17,49,R_A4,2018-01-01
36,STANDARD,1642.900634765625,300.9176940917969,300.9176940917969,0.05575833469629288,0,27,0.0,18,49,R_A4,2018-01-01
36,STANDARD,1640.1380615234375,300.7324523925781,300.7324523925781,0.054902102798223495,0,27,0.0,19,48,R_A4,2018-01-01
37,STANDARD,1650.4072265625,301.42108154296875,301.42108154296875,0.06284106522798538,0,27,0.0,20,48,R_A4,2018-01-01
37,STANDARD,1644.802001953125,301.0451965332031,301.0451965332031,0.6481541991233826,0,26,0.0,21,48,R_A4,2018-01-01
38,STANDARD,1654.343505859375,301.6850891113281,301.6850891113281,0.20381715893745422,0,26,0.0,22,48,R_A4,2018-01-01
38,STANDARD,1657.12255859375,301.8714599609375,301.8714599609375,0.6481541991233826,0,26,0.0,23,47,R_A4,2018-01-01
31,STANDARD,1685.24267578125,303.86456298828125,303.86456298828125,1.0,0,1,0.0,1,20,R_A5,2018-01-01
31,STANDARD,1687.603759765625,304.08831787109375,304.08831787109375,1.0,0,2,0.0,2,20,R_A5,2018-01-01
31,STANDARD,1689.9649658203125,304.31207275390625,304.31207275390625,1.0,0,3,0.0,3,20,R_A5,2018-01-01
31,STANDARD,1692.325927734375,304.5357971191406,304.5357971191406,1.0,0,4,0.0,4,20,R_A5,2018-01-01
31,STANDARD,1694.6871337890625,304.7595520019531,304.7595520019531,1.0,0,5,0.0,5,20,R_A5,2018-01-01
31,STANDARD,1697.0482177734375,304.9833068847656,304.9833068847656,1.0,0,6,0.0,6,20,R_A5,2018-01-01
31,STANDARD,1699.4093017578125,305.5128479003906,305.5128479003906,1.0,0,7,0.0,7,20,R_A5,2018-01-01
31,STANDARD,1708.5849609375,306.0767822265625,306.0767822265625,1.0,0,11,0.0,8,20,R_A5,2018-01-01
