CONKPOS,SGAS,DRAWDOWN,SWAT,CONBPRES,CONJPOS,WELL,DEPTH,WELLMODEL,PRESSURE,CONIDX,CONIPOS,DATE
1,0.0,0,0.055748213082551956,300.6733093261719,30,R_A2,1641.094970703125,STANDARD,300.6733093261719,1,22,2018-01-01
2,0.0,0,0.05881066620349884,300.7936096191406,30,R_A2,1642.8890380859375,STANDARD,300.7936096191406,2,22,2018-01-01
3,0.0,0,0.06129923462867737,300.9139099121094,30,R_A2,1644.68310546875,STANDARD,300.9139099121094,3,22,2018-01-01
4,0.0,0,0.06717785447835922,301.0342102050781,30,R_A2,1646.4771728515625,STANDARD,301.0342102050781,4,22,2018-01-01
5,0.0,0,0.13372820615768433,301.1545104980469,30,R_A2,1648.2713623046875,STANDARD,301.1545104980469,5,22,2018-01-01
6,0.0,0,0.30576056241989136,301.27484130859375,30,R_A2,1650.0654296875,STANDARD,301.27484130859375,6,22,2018-01-01
7,0.0,0,0.893852174282074,301.3951721191406,30,R_A2,1651.859619140625,STANDARD,301.3951721191406,7,22,2018-01-01
8,0.0,0,0.6481541991233826,301.5154724121094,30,R_A2,1653.6536865234375,STANDARD,301.5154724121094,8,22,2018-01-01
9,0.0,0,0.18723928928375244,301.63580322265625,30,R_A2,1655.44775390625,STANDARD,301.63580322265625,9,22,2018-01-01
10,0.0,0,0.9045571684837341,301.7561340332031,30,R_A2,1657.2418212890625,STANDARD,301.7561340332031,10,22,2018-01-01
11,0.0,0,0.07894028723239899,301.88323974609375,30,R_A2,1659.1368408203125,STANDARD,301.88323974609375,11,22,2018-01-01
12,0.0,0,0.079011470079422,302.01708984375,30,R_A2,1661.132568359375,STANDARD,302.01708984375,12,22,2018-01-01
13,0.0,0,0.45304223895072937,302.1509704589844,30,R_A2,1663.12841796875,STANDARD,302.1509704589844,13,22,2018-01-01
14,0.0,0,0.5042955279350281,302.28485107421875,30,R_A2,1665.1241455078125,STANDARD,302.28485107421875,14,22,2018-01-01
15,0.0,0,0.6907110214233398,302.4187316894531,30,R_A2,1667.1199951171875,STANDARD,302.4187316894531,15,22,2018-01-01
16,0.0,0,0.964935839176178,302.5526123046875,30,R_A2,1669.11572265625,STANDARD,302.5526123046875,16,22,2018-01-01
17,0.0,0,0.9508187174797058,302.6864929199219,30,R_A2,1671.111572265625,STANDARD,302.6864929199219,17,22,2018-01-01
18,0.0,0,0.983161985874176,302.8123779296875,30,R_A2,1672.9881591796875,STANDARD,302.8123779296875,18,22,2018-01-01
18,0.0,0,0.9968782663345337,302.89569091796875,29,R_A2,1674.229736328125,STANDARD,302.89569091796875,19,22,2018-01-01
27,0.0,0,1.0,303.02569580078125,29,R_A2,1676.1676025390625,STANDARD,303.02569580078125,20,22,2018-01-01
28,0.0,0,1.0,303.47802734375,29,R_A2,1677.9368896484375,STANDARD,303.47802734375,21,22,2018-01-01
29,0.0,0,1.0,303.64569091796875,29,R_A2,1679.7061767578125,STANDARD,303.64569091796875,22,22,2018-01-01
30,0.0,0,1.0,303.8133544921875,29,R_A2,1681.4754638671875,STANDARD,303.8133544921875,23,22,2018-01-01
31,0.0,0,1.0,303.98101806640625,29,R_A2,1683.2447509765625,STANDARD,303.98101806640625,24,22,2018-01-01
1,0.0,0,0.6481541991233826,298.53814697265625,41,R_A3,1609.243408203125,STANDARD,298.53814697265625,1,28,2018-01-01
2,0.0,0,0.19721345603466034,298.676513671875,41,R_A3,1611.3077392578125,STANDARD,298.676513671875,2,28,2018-01-01
3,0.0,0,0.15777362883090973,298.8148498535156,41,R_A3,1613.3720703125,STANDARD,298.8148498535156,3,28,2018-01-01
4,0.0,0,0.1718059778213501,298.9532165527344,41,R_A3,1615.4365234375,STANDARD,298.9532165527344,4,28,2018-01-01
5,0.0,0,0.6481541991233826,299.0915832519531,41,R_A3,1617.5008544921875,STANDARD,299.0915832519531,5,28,2018-01-01
6,0.0,0,0.3384052515029907,299.2299499511719,41,R_A3,1619.565185546875,STANDARD,299.2299499511719,6,28,2018-01-01
6,0.0,0,0.6481541991233826,298.54638671875,41,R_A3,1609.3663330078125,STANDARD,298.54638671875,7,29,2018-01-01
7,0.0,0,0.19685770571231842,298.68377685546875,41,R_A3,1611.4163818359375,STANDARD,298.68377685546875,8,29,2018-01-01
8,0.0,0,0.3490063548088074,298.8211669921875,41,R_A3,1613.46630859375,STANDARD,298.8211669921875,9,29,2018-01-01
9,0.0,0,0.8026683926582336,298.95855712890625,41,R_A3,1615.516357421875,STANDARD,298.95855712890625,10,29,2018-01-01
10,0.0,0,0.7972224354743958,299.095947265625,41,R_A3,1617.5662841796875,STANDARD,299.095947265625,11,29,2018-01-01
