CONIDX,CONJPOS,WELL,CONIPOS,PRESSURE,SGAS,CONKPOS,DEPTH,DRAWDOWN,CONBPRES,WELLMODEL,SWAT,DATE
1,30,R_A2,22,300.6569519042969,0.0,1,1639.193359375,0,300.6569519042969,STANDARD,0.05342475324869156,2018-01-01
2,30,R_A2,22,300.7749328613281,0.0,2,1640.953125,0,300.7749328613281,STANDARD,0.05509701743721962,2018-01-01
3,30,R_A2,22,300.8929443359375,0.0,3,1642.712890625,0,300.8929443359375,STANDARD,0.05701364576816559,2018-01-01
4,30,R_A2,22,301.01092529296875,0.0,4,1644.4725341796875,0,301.01092529296875,STANDARD,0.061826642602682114,2018-01-01
5,30,R_A2,22,301.1289367675781,0.0,5,1646.2322998046875,0,301.1289367675781,STANDARD,0.06385752558708191,2018-01-01
6,30,R_A2,22,301.2469482421875,0.0,6,1647.9921875,0,301.2469482421875,STANDARD,0.10865909606218338,2018-01-01
7,30,R_A2,22,301.3649597167969,0.0,7,1649.7518310546875,0,301.3649597167969,STANDARD,0.6481541991233826,2018-01-01
8,30,R_A2,22,301.48297119140625,0.0,8,1651.5115966796875,0,301.48297119140625,STANDARD,0.85080486536026,2018-01-01
9,30,R_A2,22,301.60101318359375,0.0,9,1653.2713623046875,0,301.60101318359375,STANDARD,0.8667513728141785,2018-01-01
10,30,R_A2,22,301.7190246582031,0.0,10,1655.031005859375,0,301.7190246582031,STANDARD,0.8853552937507629,2018-01-01
11,30,R_A2,22,301.8454284667969,0.0,11,1656.915771484375,0,301.8454284667969,STANDARD,0.0653080865740776,2018-01-01
12,30,R_A2,22,301.980224609375,0.0,12,1658.92529296875,0,301.980224609375,STANDARD,0.10887876152992249,2018-01-01
13,30,R_A2,22,302.1150207519531,0.0,13,1660.9349365234375,0,302.1150207519531,STANDARD,0.4198729991912842,2018-01-01
14,30,R_A2,22,302.24981689453125,0.0,14,1662.9444580078125,0,302.24981689453125,STANDARD,0.46372199058532715,2018-01-01
15,30,R_A2,22,302.3846130371094,0.0,15,1664.9541015625,0,302.3846130371094,STANDARD,0.8973697423934937,2018-01-01
16,29,R_A2,22,302.4964599609375,0.0,15,1666.6212158203125,0,302.4964599609375,STANDARD,0.8993212580680847,2018-01-01
17,29,R_A2,22,302.641845703125,0.0,16,1668.7884521484375,0,302.641845703125,STANDARD,0.9179179072380066,2018-01-01
18,29,R_A2,22,302.7872314453125,0.0,17,1670.955810546875,0,302.7872314453125,STANDARD,0.8849550485610962,2018-01-01
19,29,R_A2,22,302.9093933105469,0.0,18,1672.7764892578125,0,302.9093933105469,STANDARD,0.9476609230041504,2018-01-01
20,29,R_A2,22,303.0188903808594,0.0,25,1674.4085693359375,0,303.0188903808594,STANDARD,1.0,2018-01-01
21,29,R_A2,22,303.13897705078125,0.0,26,1676.1983642578125,0,303.13897705078125,STANDARD,1.0,2018-01-01
22,29,R_A2,22,303.2590637207031,0.0,27,1677.98828125,0,303.2590637207031,STANDARD,0.502166748046875,2018-01-01
23,29,R_A2,22,303.379150390625,0.0,28,1679.778076171875,0,303.379150390625,STANDARD,0.6653284430503845,2018-01-01
24,29,R_A2,22,303.8221435546875,0.0,29,1681.5679931640625,0,303.8221435546875,STANDARD,1.0,2018-01-01
1,41,R_A3,28,298.85675048828125,0.0,1,1612.3397216796875,0,298.85675048828125,STANDARD,0.2342030555009842,2018-01-01
2,41,R_A3,28,298.99383544921875,0.0,2,1614.38525390625,0,298.99383544921875,STANDARD,0.19829382002353668,2018-01-01
3,41,R_A3,28,299.1309509277344,0.0,3,1616.430908203125,0,299.1309509277344,STANDARD,0.17667339742183685,2018-01-01
4,41,R_A3,28,299.26806640625,0.0,4,1618.4765625,0,299.26806640625,STANDARD,0.21898633241653442,2018-01-01
5,41,R_A3,28,299.4051818847656,0.0,5,1620.5220947265625,0,299.4051818847656,STANDARD,0.6481541991233826,2018-01-01
6,41,R_A3,29,298.4667663574219,0.0,5,1606.52099609375,0,298.4667663574219,STANDARD,0.8024979829788208,2018-01-01
7,41,R_A3,29,298.60247802734375,0.0,6,1608.5458984375,0,298.60247802734375,STANDARD,0.23149485886096954,2018-01-01
8,41,R_A3,29,298.73822021484375,0.0,7,1610.571044921875,0,298.73822021484375,STANDARD,0.19246557354927063,2018-01-01
9,41,R_A3,29,298.8739318847656,0.0,8,1612.59619140625,0,298.8739318847656,STANDARD,0.19534863531589508,2018-01-01
10,41,R_A3,29,299.0096740722656,0.0,9,1614.6212158203125,0,299.0096740722656,STANDARD,0.7905787229537964,2018-01-01
11,41,R_A3,29,299.1453857421875,0.0,10,1616.646240234375,0,299.1453857421875,STANDARD,0.7922623157501221,2018-01-01
12,41,R_A3,29,299.29193115234375,0.0,11,1618.8326416015625,0,299.29193115234375,STANDARD,0.047305017709732056,2018-01-01
13,41,R_A3,29,299.4493103027344,0.0,12,1621.1805419921875,0,299.4493103027344,STANDARD,0.05199703946709633,2018-01-01
14,41,R_A3,29,299.6067199707031,0.0,13,1623.5283203125,0,299.6067199707031,STANDARD,0.3678746819496155,2018-01-01
15,41,R_A3,29,299.76409912109375,0.0,14,1625.876220703125,0,299.76409912109375,STANDARD,0.39273038506507874,2018-01-01
16,41,R_A3,29,299.9206237792969,0.0,15,1628.2109375,0,299.9206237792969,STANDARD,0.49900731444358826,2018-01-01
17,41,R_A3,29,300.04058837890625,0.0,16,1630.000732421875,0,300.04058837890625,STANDARD,0.7974333167076111,2018-01-01
18,41,R_A3,29,300.2062072753906,0.0,25,1632.4710693359375,0,300.2062072753906,STANDARD,1.0,2018-01-01
19,41,R_A3,29,300.453125,0.0,26,1636.15380859375,0,300.453125,STANDARD,0.04242566600441933,2018-01-01
20,41,R_A3,29,300.7000732421875,0.0,27,1639.836669921875,0,300.7000732421875,STANDARD,0.04674740135669708,2018-01-01
21,41,R_A3,29,300.947021484375,0.0,28,1643.5194091796875,0,300.947021484375,STANDARD,0.6481541991233826,2018-01-01
22,41,R_A3,29,301.1939697265625,0.0,29,1647.2021484375,0,301.1939697265625,STANDARD,0.05736706405878067,2018-01-01
1,52,R_A4,30,300.0177307128906,0.0,1,1629.6597900390625,0,300.0177307128906,STANDARD,0.047923341393470764,2018-01-01
2,52,R_A4,31,299.816162109375,0.0,1,1626.65283203125,0,299.816162109375,STANDARD,0.048449743539094925,2018-01-01
3,52,R_A4,31,299.95556640625,0.0,2,1628.732177734375,0,299.95556640625,STANDARD,0.0496910996735096,2018-01-01
