DEPTH,PRESSURE,WELL,CONJPOS,CONKPOS,SGAS,CONIPOS,CONIDX,SWAT,DRAWDOWN,WELLMODEL,CONBPRES,DATE
1639.59765625,300.5729064941406,R_A2,30,1,0.0,22,1,0.055479682981967926,0,STANDARD,300.5729064941406,2018-01-01
1641.25830078125,300.68426513671875,R_A2,30,2,0.0,22,2,0.05594244226813316,0,STANDARD,300.68426513671875,2018-01-01
1642.9190673828125,300.7956237792969,R_A2,30,3,0.0,22,3,0.05990640074014664,0,STANDARD,300.7956237792969,2018-01-01
1644.5797119140625,300.906982421875,R_A2,30,4,0.0,22,4,0.06575392186641693,0,STANDARD,300.906982421875,2018-01-01
1646.240478515625,301.0183410644531,R_A2,30,5,0.0,22,5,0.06888832151889801,0,STANDARD,301.0183410644531,2018-01-01
1647.901123046875,301.12969970703125,R_A2,30,6,0.0,22,6,0.3177758753299713,0,STANDARD,301.12969970703125,2018-01-01
1649.5618896484375,301.2410583496094,R_A2,30,7,0.0,22,7,0.6809108257293701,0,STANDARD,301.2410583496094,2018-01-01
1651.2225341796875,301.3524475097656,R_A2,30,8,0.0,22,8,0.6481541991233826,0,STANDARD,301.3524475097656,2018-01-01
1652.88330078125,301.46380615234375,R_A2,30,9,0.0,22,9,0.6481541991233826,0,STANDARD,301.46380615234375,2018-01-01
1654.5439453125,301.5751953125,R_A2,30,10,0.0,22,10,0.8965452909469604,0,STANDARD,301.5751953125,2018-01-01
1656.3751220703125,301.697998046875,R_A2,30,11,0.0,22,11,0.07140130549669266,0,STANDARD,301.697998046875,2018-01-01
1658.376708984375,301.8322448730469,R_A2,30,12,0.0,22,12,0.0754968672990799,0,STANDARD,301.8322448730469,2018-01-01
1660.378173828125,301.96649169921875,R_A2,30,13,0.0,22,13,0.4431332051753998,0,STANDARD,301.96649169921875,2018-01-01
1662.3797607421875,302.1007385253906,R_A2,30,14,0.0,22,14,0.49640968441963196,0,STANDARD,302.1007385253906,2018-01-01
1664.3812255859375,302.2350158691406,R_A2,30,15,0.0,22,15,0.9205765128135681,0,STANDARD,302.2350158691406,2018-01-01
1671.3802490234375,302.70452880859375,R_A2,29,15,0.0,22,16,0.9944216012954712,0,STANDARD,302.70452880859375,2018-01-01
1673.5672607421875,302.8512268066406,R_A2,29,16,0.0,22,17,0.9969123601913452,0,STANDARD,302.8512268066406,2018-01-01
1675.7379150390625,302.9968566894531,R_A2,29,17,0.0,22,18,1.0,0,STANDARD,302.9968566894531,2018-01-01
1677.348876953125,303.2736511230469,R_A2,29,18,0.0,22,19,1.0,0,STANDARD,303.2736511230469,2018-01-01
1678.7655029296875,303.55657958984375,R_A2,29,26,0.0,22,20,1.0,0,STANDARD,303.55657958984375,2018-01-01
1680.5311279296875,303.723876953125,R_A2,29,27,0.0,22,21,1.0,0,STANDARD,303.723876953125,2018-01-01
1682.296630859375,303.89117431640625,R_A2,29,28,0.0,22,22,1.0,0,STANDARD,303.89117431640625,2018-01-01
1684.0621337890625,304.0584716796875,R_A2,29,29,0.0,22,23,1.0,0,STANDARD,304.0584716796875,2018-01-01
1685.82763671875,304.2257995605469,R_A2,29,30,0.0,22,24,1.0,0,STANDARD,304.2257995605469,2018-01-01
1607.6253662109375,298.4297180175781,R_A3,41,1,0.0,28,1,0.6481541991233826,0,STANDARD,298.4297180175781,2018-01-01
1609.5162353515625,298.5564270019531,R_A3,41,2,0.0,28,2,0.2679424285888672,0,STANDARD,298.5564270019531,2018-01-01
1611.4071044921875,298.68316650390625,R_A3,41,3,0.0,28,3,0.22726765275001526,0,STANDARD,298.68316650390625,2018-01-01
1613.2978515625,298.80987548828125,R_A3,41,4,0.0,28,4,0.20205119252204895,0,STANDARD,298.80987548828125,2018-01-01
1615.188720703125,298.9366149902344,R_A3,41,5,0.0,28,5,0.8165497183799744,0,STANDARD,298.9366149902344,2018-01-01
1611.796142578125,298.709228515625,R_A3,41,5,0.0,29,6,0.8163447380065918,0,STANDARD,298.709228515625,2018-01-01
1613.6795654296875,298.83544921875,R_A3,41,6,0.0,29,7,0.231878861784935,0,STANDARD,298.83544921875,2018-01-01
1615.5628662109375,298.9617004394531,R_A3,41,7,0.0,29,8,0.2008615881204605,0,STANDARD,298.9617004394531,2018-01-01
1617.4461669921875,299.0879211425781,R_A3,41,8,0.0,29,9,0.3864387273788452,0,STANDARD,299.0879211425781,2018-01-01
1619.3294677734375,299.2141418457031,R_A3,41,9,0.0,29,10,0.8085346221923828,0,STANDARD,299.2141418457031,2018-01-01
