CONBPRES,WELL,DATE,PRESSURE,SGAS,DEPTH,DRAWDOWN,CONKPOS,CONJPOS,CONIDX,SWAT,WELLMODEL,CONIPOS
300.858642578125,R_A2,2018-01-01,300.858642578125,0.0,1642.131591796875,0,1,30,1,0.055421847850084305,STANDARD,22
300.9770812988281,R_A2,2018-01-01,300.9770812988281,0.0,1643.897705078125,0,2,30,2,0.05566221475601196,STANDARD,22
301.09552001953125,R_A2,2018-01-01,301.09552001953125,0.0,1645.663818359375,0,3,30,3,0.05923951417207718,STANDARD,22
301.2139587402344,R_A2,2018-01-01,301.2139587402344,0.0,1647.4300537109375,0,4,30,4,0.0639030858874321,STANDARD,22
301.3323974609375,R_A2,2018-01-01,301.3323974609375,0.0,1649.1961669921875,0,5,30,5,0.167386993765831,STANDARD,22
301.4508361816406,R_A2,2018-01-01,301.4508361816406,0.0,1650.9622802734375,0,6,30,6,0.6820755004882812,STANDARD,22
301.5693054199219,R_A2,2018-01-01,301.5693054199219,0.0,1652.7283935546875,0,7,30,7,0.8774380087852478,STANDARD,22
301.687744140625,R_A2,2018-01-01,301.687744140625,0.0,1654.49462890625,0,8,30,8,0.6481541991233826,STANDARD,22
301.80621337890625,R_A2,2018-01-01,301.80621337890625,0.0,1656.2607421875,0,9,30,9,0.6481541991233826,STANDARD,22
301.9246520996094,R_A2,2018-01-01,301.9246520996094,0.0,1658.0269775390625,0,10,30,10,0.8935331702232361,STANDARD,22
302.0531921386719,R_A2,2018-01-01,302.0531921386719,0.0,1659.943115234375,0,11,30,11,0.06906020641326904,STANDARD,22
302.1917724609375,R_A2,2018-01-01,302.1917724609375,0.0,1662.00927734375,0,12,30,12,0.07160190492868423,STANDARD,22
302.33038330078125,R_A2,2018-01-01,302.33038330078125,0.0,1664.075439453125,0,13,30,13,0.4329543709754944,STANDARD,22
302.4689636230469,R_A2,2018-01-01,302.4689636230469,0.0,1666.1414794921875,0,14,30,14,0.48280102014541626,STANDARD,22
302.6075744628906,R_A2,2018-01-01,302.6075744628906,0.0,1668.207763671875,0,15,30,15,0.9193019270896912,STANDARD,22
302.7461853027344,R_A2,2018-01-01,302.7461853027344,0.0,1670.27392578125,0,16,30,16,0.928665041923523,STANDARD,22
302.9817199707031,R_A2,2018-01-01,302.9817199707031,0.0,1673.78466796875,0,17,29,17,0.9161407947540283,STANDARD,22
303.10443115234375,R_A2,2018-01-01,303.10443115234375,0.0,1675.613525390625,0,18,29,18,0.9773616790771484,STANDARD,22
303.2195129394531,R_A2,2018-01-01,303.2195129394531,0.0,1677.3289794921875,0,26,29,19,0.7730278372764587,STANDARD,22
303.3388366699219,R_A2,2018-01-01,303.3388366699219,0.0,1679.1072998046875,0,27,29,20,1.0,STANDARD,22
303.4581604003906,R_A2,2018-01-01,303.4581604003906,0.0,1680.8856201171875,0,28,29,21,1.0,STANDARD,22
303.9259948730469,R_A2,2018-01-01,303.9259948730469,0.0,1682.6639404296875,0,29,29,22,1.0,STANDARD,22
304.0945129394531,R_A2,2018-01-01,304.0945129394531,0.0,1684.4422607421875,0,30,29,23,1.0,STANDARD,22
298.6585998535156,R_A3,2018-01-01,298.6585998535156,0.0,1609.3128662109375,0,1,41,1,0.6481541991233826,STANDARD,28
298.7948913574219,R_A3,2018-01-01,298.7948913574219,0.0,1611.3465576171875,0,2,41,2,0.11823459714651108,STANDARD,28
298.14947509765625,R_A3,2018-01-01,298.14947509765625,0.0,1601.7158203125,0,2,41,3,0.14693579077720642,STANDARD,29
298.291015625,R_A3,2018-01-01,298.291015625,0.0,1603.8282470703125,0,3,41,4,0.11823459714651108,STANDARD,29
298.4325866699219,R_A3,2018-01-01,298.4325866699219,0.0,1605.940673828125,0,4,41,5,0.09979861229658127,STANDARD,29
298.57415771484375,R_A3,2018-01-01,298.57415771484375,0.0,1608.0531005859375,0,5,41,6,0.12578026950359344,STANDARD,29
298.7157287597656,R_A3,2018-01-01,298.7157287597656,0.0,1610.16552734375,0,6,41,7,0.1794348508119583,STANDARD,29
298.8572998046875,R_A3,2018-01-01,298.8572998046875,0.0,1612.27783203125,0,7,41,8,0.19385914504528046,STANDARD,29
298.9988708496094,R_A3,2018-01-01,298.9988708496094,0.0,1614.390380859375,0,8,41,9,0.1948923021554947,STANDARD,29
299.1404724121094,R_A3,2018-01-01,299.1404724121094,0.0,1616.502685546875,0,9,41,10,0.7908713817596436,STANDARD,29
299.28204345703125,R_A3,2018-01-01,299.28204345703125,0.0,1618.6151123046875,0,10,41,11,0.7891778349876404,STANDARD,29
299.42962646484375,R_A3,2018-01-01,299.42962646484375,0.0,1620.81689453125,0,11,41,12,0.04756305739283562,STANDARD,29
299.5832214355469,R_A3,2018-01-01,299.5832214355469,0.0,1623.1080322265625,0,12,41,13,0.0537143237888813,STANDARD,29
299.73681640625,R_A3,2018-01-01,299.73681640625,0.0,1625.399169921875,0,13,41,14,0.36519625782966614,STANDARD,29
299.8904113769531,R_A3,2018-01-01,299.8904113769531,0.0,1627.6903076171875,0,14,41,15,0.058361854404211044,STANDARD,29
300.04400634765625,R_A3,2018-01-01,300.04400634765625,0.0,1629.9814453125,0,15,41,16,0.505707323551178,STANDARD,29
300.17718505859375,R_A3,2018-01-01,300.17718505859375,0.0,1631.9678955078125,0,16,41,17,0.7990639209747314,STANDARD,29
300.358154296875,R_A3,2018-01-01,300.358154296875,0.0,1634.6668701171875,0,26,41,18,0.12594762444496155,STANDARD,29
300.60107421875,R_A3,2018-01-01,300.60107421875,0.0,1638.290283203125,0,27,41,19,0.044482070952653885,STANDARD,29
300.8440246582031,R_A3,2018-01-01,300.8440246582031,0.0,1641.91357421875,0,28,41,20,0.04936114698648453,STANDARD,29
301.0870056152344,R_A3,2018-01-01,301.0870056152344,0.0,1645.536865234375,0,29,41,21,0.300931841135025,STANDARD,29
301.3299865722656,R_A3,2018-01-01,301.3299865722656,0.0,1649.16015625,0,30,41,22,0.06075941026210785,STANDARD,29
300.2914733886719,R_A4,2018-01-01,300.2914733886719,0.0,1633.672607421875,0,1,52,1,0.04878132790327072,STANDARD,30
299.8132629394531,R_A4,2018-01-01,299.8132629394531,0.0,1626.53955078125,0,1,52,2,0.046930957585573196,STANDARD,31
299.952880859375,R_A4,2018-01-01,299.952880859375,0.0,1628.6220703125,0,2,52,3,0.04841512814164162,STANDARD,31
300.09246826171875,R_A4,2018-01-01,300.09246826171875,0.0,1630.7044677734375,0,3,52,4,0.050111252814531326,STANDARD,31
300.2320861816406,R_A4,2018-01-01,300.2320861816406,0.0,1632.7869873046875,0,4,52,5,0.05228810012340546,STANDARD,31
300.3717041015625,R_A4,2018-01-01,300.3717041015625,0.0,1634.869384765625,0,5,52,6,0.05204363912343979,STANDARD,31
300.22222900390625,R_A4,2018-01-01,300.22222900390625,0.0,1632.6395263671875,0,5,52,7,0.09439250081777573,STANDARD,32
300.55084228515625,R_A4,2018-01-01,300.55084228515625,0.0,1637.541015625,0,5,51,8,0.05562181398272514,STANDARD,32
300.4290466308594,R_A4,2018-01-01,300.4290466308594,0.0,1635.724609375,0,4,51,9,0.05574500188231468,STANDARD,32
300.5081787109375,R_A4,2018-01-01,300.5081787109375,0.0,1636.9046630859375,0,4,51,10,0.05804911255836487,STANDARD,33
