CONIDX,CONJPOS,DRAWDOWN,CONBPRES,WELLMODEL,SGAS,PRESSURE,CONKPOS,CONIPOS,DATE,DEPTH,WELL,SWAT
1,30,0,300.6733093261719,STANDARD,0.0,300.6733093261719,1,22,2018-01-01,1641.094970703125,R_A2,0.05649875849485397
2,30,0,300.7936096191406,STANDARD,0.0,300.7936096191406,2,22,2018-01-01,1642.8890380859375,R_A2,0.05709094554185867
3,30,0,300.9139099121094,STANDARD,0.0,300.9139099121094,3,22,2018-01-01,1644.68310546875,R_A2,0.06132970005273819
4,30,0,301.0342102050781,STANDARD,0.0,301.0342102050781,4,22,2018-01-01,1646.4771728515625,R_A2,0.06751589477062225
5,30,0,301.1545104980469,STANDARD,0.0,301.1545104980469,5,22,2018-01-01,1648.2713623046875,R_A2,0.07101739197969437
6,30,0,301.27484130859375,STANDARD,0.0,301.27484130859375,6,22,2018-01-01,1650.0654296875,R_A2,0.3220924139022827
7,30,0,301.3951721191406,STANDARD,0.0,301.3951721191406,7,22,2018-01-01,1651.859619140625,R_A2,0.6901668310165405
8,30,0,301.5154724121094,STANDARD,0.0,301.5154724121094,8,22,2018-01-01,1653.6536865234375,R_A2,0.6481541991233826
9,30,0,301.63580322265625,STANDARD,0.0,301.63580322265625,9,22,2018-01-01,1655.44775390625,R_A2,0.6481541991233826
10,30,0,301.7561340332031,STANDARD,0.0,301.7561340332031,10,22,2018-01-01,1657.2418212890625,R_A2,0.9162277579307556
11,30,0,301.88323974609375,STANDARD,0.0,301.88323974609375,11,22,2018-01-01,1659.1368408203125,R_A2,0.07591938227415085
12,30,0,302.01708984375,STANDARD,0.0,302.01708984375,12,22,2018-01-01,1661.132568359375,R_A2,0.08079689741134644
13,30,0,302.1509704589844,STANDARD,0.0,302.1509704589844,13,22,2018-01-01,1663.12841796875,R_A2,0.45630839467048645
14,30,0,302.28485107421875,STANDARD,0.0,302.28485107421875,14,22,2018-01-01,1665.1241455078125,R_A2,0.503816545009613
15,30,0,302.4187316894531,STANDARD,0.0,302.4187316894531,15,22,2018-01-01,1667.1199951171875,R_A2,0.6866241097450256
16,30,0,302.5526123046875,STANDARD,0.0,302.5526123046875,16,22,2018-01-01,1669.11572265625,R_A2,0.9751048684120178
17,30,0,302.6864929199219,STANDARD,0.0,302.6864929199219,17,22,2018-01-01,1671.111572265625,R_A2,0.9595911502838135
18,30,0,302.8123779296875,STANDARD,0.0,302.8123779296875,18,22,2018-01-01,1672.9881591796875,R_A2,0.980763852596283
19,29,0,302.89569091796875,STANDARD,0.0,302.89569091796875,18,22,2018-01-01,1674.229736328125,R_A2,0.999263346195221
20,29,0,303.02569580078125,STANDARD,0.0,303.02569580078125,27,22,2018-01-01,1676.1676025390625,R_A2,1.0
21,29,0,303.47802734375,STANDARD,0.0,303.47802734375,28,22,2018-01-01,1677.9368896484375,R_A2,1.0
22,29,0,303.64569091796875,STANDARD,0.0,303.64569091796875,29,22,2018-01-01,1679.7061767578125,R_A2,1.0
23,29,0,303.8133544921875,STANDARD,0.0,303.8133544921875,30,22,2018-01-01,1681.4754638671875,R_A2,1.0
24,29,0,303.98101806640625,STANDARD,0.0,303.98101806640625,31,22,2018-01-01,1683.2447509765625,R_A2,1.0
1,41,0,298.53814697265625,STANDARD,0.0,298.53814697265625,1,28,2018-01-01,1609.243408203125,R_A3,0.6481541991233826
2,41,0,298.676513671875,STANDARD,0.0,298.676513671875,2,28,2018-01-01,1611.3077392578125,R_A3,0.22876429557800293
3,41,0,298.8148498535156,STANDARD,0.0,298.8148498535156,3,28,2018-01-01,1613.3720703125,R_A3,0.19760067760944366
4,41,0,298.9532165527344,STANDARD,0.0,298.9532165527344,4,28,2018-01-01,1615.4365234375,R_A3,0.3792901039123535
5,41,0,299.0915832519531,STANDARD,0.0,299.0915832519531,5,28,2018-01-01,1617.5008544921875,R_A3,0.8267315626144409
6,41,0,299.2299499511719,STANDARD,0.0,299.2299499511719,6,28,2018-01-01,1619.565185546875,R_A3,0.22688354551792145
7,41,0,298.54638671875,STANDARD,0.0,298.54638671875,6,29,2018-01-01,1609.3663330078125,R_A3,0.26596105098724365
8,41,0,298.68377685546875,STANDARD,0.0,298.68377685546875,7,29,2018-01-01,1611.4163818359375,R_A3,0.19722381234169006
9,41,0,298.8211669921875,STANDARD,0.0,298.8211669921875,8,29,2018-01-01,1613.46630859375,R_A3,0.3807685971260071
10,41,0,298.95855712890625,STANDARD,0.0,298.95855712890625,9,29,2018-01-01,1615.516357421875,R_A3,0.8020743727684021
11,41,0,299.095947265625,STANDARD,0.0,299.095947265625,10,29,2018-01-01,1617.5662841796875,R_A3,0.7998339533805847
12,41,0,299.24237060546875,STANDARD,0.0,299.24237060546875,11,29,2018-01-01,1619.750732421875,R_A3,0.048946261405944824
13,41,0,299.3978271484375,STANDARD,0.0,299.3978271484375,12,29,2018-01-01,1622.0697021484375,R_A3,0.05424661189317703
14,41,0,299.5532531738281,STANDARD,0.0,299.5532531738281,13,29,2018-01-01,1624.388671875,R_A3,0.3695291578769684
15,41,0,299.7087097167969,STANDARD,0.0,299.7087097167969,14,29,2018-01-01,1626.707763671875,R_A3,0.36767199635505676
16,41,0,299.8641662597656,STANDARD,0.0,299.8641662597656,15,29,2018-01-01,1629.026611328125,R_A3,0.4412824809551239
17,41,0,299.992919921875,STANDARD,0.0,299.992919921875,16,29,2018-01-01,1630.9468994140625,R_A3,0.8111897110939026
18,41,0,300.16583251953125,STANDARD,0.0,300.16583251953125,27,29,2018-01-01,1633.5262451171875,R_A3,0.37905046343803406
