CONIDX,CONJPOS,DRAWDOWN,CONBPRES,WELLMODEL,SGAS,PRESSURE,CONKPOS,CONIPOS,DATE,DEPTH,WELL,SWAT
19,41,0,300.40966796875,STANDARD,0.0,300.40966796875,28,29,2018-01-01,1637.1630859375,R_A3,0.04574024677276611
20,41,0,300.6535339355469,STANDARD,0.0,300.6535339355469,29,29,2018-01-01,1640.8001708984375,R_A3,0.05056381970643997
21,41,0,300.89739990234375,STANDARD,0.0,300.89739990234375,30,29,2018-01-01,1644.4371337890625,R_A3,0.6481541991233826
22,41,0,301.14129638671875,STANDARD,0.0,301.14129638671875,31,29,2018-01-01,1648.0740966796875,R_A3,0.06256569176912308
1,52,0,300.009033203125,STANDARD,0.0,300.009033203125,1,30,2018-01-01,1631.1873779296875,R_A4,0.05170147493481636
2,52,0,299.7571105957031,STANDARD,0.0,299.7571105957031,1,31,2018-01-01,1627.4293212890625,R_A4,0.048609890043735504
3,52,0,299.89520263671875,STANDARD,0.0,299.89520263671875,2,31,2018-01-01,1629.4896240234375,R_A4,0.05221238359808922
4,52,0,300.0333251953125,STANDARD,0.0,300.0333251953125,3,31,2018-01-01,1631.5498046875,R_A4,0.054313696920871735
5,52,0,300.17144775390625,STANDARD,0.0,300.17144775390625,4,31,2018-01-01,1633.610107421875,R_A4,0.05736476555466652
6,52,0,300.0901184082031,STANDARD,0.0,300.0901184082031,4,32,2018-01-01,1632.3968505859375,R_A4,0.056389473378658295
7,51,0,300.3236999511719,STANDARD,0.0,300.3236999511719,4,32,2018-01-01,1635.880615234375,R_A4,0.05910776928067207
8,51,0,300.4202575683594,STANDARD,0.0,300.4202575683594,4,33,2018-01-01,1637.321044921875,R_A4,0.05742491036653519
9,51,0,300.29644775390625,STANDARD,0.0,300.29644775390625,3,33,2018-01-01,1635.474609375,R_A4,0.05627985671162605
10,50,0,300.74395751953125,STANDARD,0.0,300.74395751953125,4,33,2018-01-01,1642.1485595703125,R_A4,0.06314294040203094
11,50,0,300.67578125,STANDARD,0.0,300.67578125,4,34,2018-01-01,1641.132080078125,R_A4,0.06145904213190079
12,50,0,300.5467224121094,STANDARD,0.0,300.5467224121094,3,34,2018-01-01,1639.20703125,R_A4,0.1401393711566925
13,50,0,300.66064453125,STANDARD,0.0,300.66064453125,3,35,2018-01-01,1640.9061279296875,R_A4,0.14248615503311157
14,50,0,300.53570556640625,STANDARD,0.0,300.53570556640625,2,35,2018-01-01,1639.0426025390625,R_A4,0.23273660242557526
15,49,0,300.72943115234375,STANDARD,0.0,300.72943115234375,2,35,2018-01-01,1641.93212890625,R_A4,0.23657433688640594
16,49,0,300.7579650878906,STANDARD,0.0,300.7579650878906,30,36,2018-01-01,1642.357421875,R_A4,1.0
17,48,0,300.5735168457031,STANDARD,0.0,300.5735168457031,30,36,2018-01-01,1639.6068115234375,R_A4,0.6481541991233826
18,48,0,301.0526123046875,STANDARD,0.0,301.0526123046875,30,37,2018-01-01,1646.7513427734375,R_A4,0.6481541991233826
19,48,0,301.5025939941406,STANDARD,0.0,301.5025939941406,30,38,2018-01-01,1653.461669921875,R_A4,0.6481541991233826
20,47,0,301.7947998046875,STANDARD,0.0,301.7947998046875,30,38,2018-01-01,1657.8184814453125,R_A4,0.6481541991233826
1,20,0,303.8440856933594,STANDARD,0.0,303.8440856933594,1,31,2018-01-01,1685.026611328125,R_A5,1.0
2,20,0,304.0601806640625,STANDARD,0.0,304.0601806640625,2,31,2018-01-01,1687.3070068359375,R_A5,1.0
3,20,0,304.27630615234375,STANDARD,0.0,304.27630615234375,3,31,2018-01-01,1689.5875244140625,R_A5,1.0
4,20,0,304.4924011230469,STANDARD,0.0,304.4924011230469,4,31,2018-01-01,1691.8680419921875,R_A5,1.0
5,20,0,304.7085266113281,STANDARD,0.0,304.7085266113281,5,31,2018-01-01,1694.1485595703125,R_A5,1.0
6,20,0,304.9246520996094,STANDARD,0.0,304.9246520996094,6,31,2018-01-01,1696.4290771484375,R_A5,1.0
7,20,0,305.446533203125,STANDARD,0.0,305.446533203125,7,31,2018-01-01,1698.70947265625,R_A5,1.0
8,20,0,305.988037109375,STANDARD,0.0,305.988037109375,11,31,2018-01-01,1707.6488037109375,R_A5,1.0
9,20,0,306.1695251464844,STANDARD,0.0,306.1695251464844,12,31,2018-01-01,1709.5638427734375,R_A5,1.0
10,21,0,305.4322814941406,STANDARD,0.0,305.4322814941406,12,31,2018-01-01,1701.7845458984375,R_A5,1.0
11,21,0,305.6291198730469,STANDARD,0.0,305.6291198730469,13,31,2018-01-01,1703.735107421875,R_A5,1.0
12,21,0,305.81396484375,STANDARD,0.0,305.81396484375,14,31,2018-01-01,1705.6856689453125,R_A5,1.0
13,21,0,305.9988098144531,STANDARD,0.0,305.9988098144531,15,31,2018-01-01,1707.63623046875,R_A5,1.0
14,21,0,306.3287048339844,STANDARD,0.0,306.3287048339844,16,31,2018-01-01,1709.5867919921875,R_A5,1.0
15,21,0,306.5135498046875,STANDARD,0.0,306.5135498046875,17,31,2018-01-01,1711.537353515625,R_A5,1.0
16,21,0,306.6856994628906,STANDARD,0.0,306.6856994628906,18,31,2018-01-01,1713.35400390625,R_A5,1.0
17,21,0,306.7843933105469,STANDARD,0.0,306.7843933105469,19,31,2018-01-01,1714.3951416015625,R_A5,1.0
18,21,0,306.75689697265625,STANDARD,0.0,306.75689697265625,27,31,2018-01-01,1715.7628173828125,R_A5,1.0
19,21,0,306.978271484375,STANDARD,0.0,306.978271484375,28,31,2018-01-01,1718.098388671875,R_A5,1.0
20,21,0,307.5054016113281,STANDARD,0.0,307.5054016113281,29,31,2018-01-01,1720.43408203125,R_A5,1.0
21,21,0,307.7267761230469,STANDARD,0.0,307.7267761230469,30,31,2018-01-01,1722.7696533203125,R_A5,1.0
22,21,0,307.9481506347656,STANDARD,0.0,307.9481506347656,31,31,2018-01-01,1725.105224609375,R_A5,1.0
1,42,0,305.11419677734375,STANDARD,0.0,305.11419677734375,1,17,2018-01-01,1695.20263671875,R_A6,1.0
2,42,0,305.2609558105469,STANDARD,0.0,305.2609558105469,2,17,2018-01-01,1696.7510986328125,R_A6,1.0
3,42,0,305.4076843261719,STANDARD,0.0,305.4076843261719,3,17,2018-01-01,1698.299560546875,R_A6,1.0
4,42,0,305.554443359375,STANDARD,0.0,305.554443359375,4,17,2018-01-01,1699.84814453125,R_A6,1.0
5,42,0,305.7012023925781,STANDARD,0.0,305.7012023925781,5,17,2018-01-01,1701.3966064453125,R_A6,1.0
6,42,0,305.84796142578125,STANDARD,0.0,305.84796142578125,6,17,2018-01-01,1702.9451904296875,R_A6,1.0
7,42,0,305.6956481933594,STANDARD,0.0,305.6956481933594,7,17,2018-01-01,1704.49365234375,R_A6,1.0
8,42,0,305.8424072265625,STANDARD,0.0,305.8424072265625,8,17,2018-01-01,1706.042236328125,R_A6,1.0
9,42,0,306.2882080078125,STANDARD,0.0,306.2882080078125,9,17,2018-01-01,1707.5906982421875,R_A6,1.0
10,42,0,306.1291809082031,STANDARD,0.0,306.1291809082031,10,17,2018-01-01,1709.1392822265625,R_A6,1.0
11,42,0,306.3109130859375,STANDARD,0.0,306.3109130859375,11,17,2018-01-01,1711.055419921875,R_A6,1.0
12,42,0,306.52734375,STANDARD,0.0,306.52734375,12,17,2018-01-01,1713.3392333984375,R_A6,1.0
13,42,0,306.7557678222656,STANDARD,0.0,306.7557678222656,13,17,2018-01-01,1715.623046875,R_A6,1.0
14,42,0,306.9721984863281,STANDARD,0.0,306.9721984863281,14,17,2018-01-01,1717.9068603515625,R_A6,1.0
15,42,0,307.18865966796875,STANDARD,0.0,307.18865966796875,15,17,2018-01-01,1720.190673828125,R_A6,1.0
16,42,0,307.55010986328125,STANDARD,0.0,307.55010986328125,16,17,2018-01-01,1722.474365234375,R_A6,1.0
17,42,0,307.7665710449219,STANDARD,0.0,307.7665710449219,17,17,2018-01-01,1724.7581787109375,R_A6,1.0
18,42,0,307.921630859375,STANDARD,0.0,307.921630859375,18,17,2018-01-01,1726.394287109375,R_A6,1.0
19,42,0,307.8930969238281,STANDARD,0.0,307.8930969238281,27,17,2018-01-01,1727.7508544921875,R_A6,1.0
20,42,0,308.3623352050781,STANDARD,0.0,308.3623352050781,28,17,2018-01-01,1729.4755859375,R_A6,1.0
21,42,0,308.52581787109375,STANDARD,0.0,308.52581787109375,29,17,2018-01-01,1731.2001953125,R_A6,1.0
22,42,0,308.68927001953125,STANDARD,0.0,308.68927001953125,30,17,2018-01-01,1732.9249267578125,R_A6,1.0
23,42,0,308.5469665527344,STANDARD,0.0,308.5469665527344,31,17,2018-01-01,1734.649658203125,R_A6,1.0
1,30,0,299.7632751464844,STANDARD,0.0,299.7632751464844,1,22,2018-03-01,1641.094970703125,R_A2,0.05650302395224571
2,30,0,299.883544921875,STANDARD,0.0,299.883544921875,2,22,2018-03-01,1642.8890380859375,R_A2,0.05709506943821907
3,30,0,300.0038146972656,STANDARD,0.0,300.0038146972656,3,22,2018-03-01,1644.68310546875,R_A2,0.0613374300301075
4,30,0,300.1241149902344,STANDARD,0.0,300.1241149902344,4,22,2018-03-01,1646.4771728515625,R_A2,0.06752389669418335
5,30,0,300.244384765625,STANDARD,0.0,300.244384765625,5,22,2018-03-01,1648.2713623046875,R_A2,0.07102752476930618
6,30,0,300.3654479980469,STANDARD,0.0,300.3654479980469,6,22,2018-03-01,1650.0654296875,R_A2,0.3219956159591675
7,30,0,300.49749755859375,STANDARD,0.0,300.49749755859375,7,22,2018-03-01,1651.859619140625,R_A2,0.6902191042900085
8,30,0,300.6242980957031,STANDARD,0.0,300.6242980957031,8,22,2018-03-01,1653.6536865234375,R_A2,0.6482108235359192
9,30,0,300.74664306640625,STANDARD,0.0,300.74664306640625,9,22,2018-03-01,1655.44775390625,R_A2,0.648248553276062
10,30,0,300.90155029296875,STANDARD,0.0,300.90155029296875,10,22,2018-03-01,1657.2418212890625,R_A2,0.916205883026123
11,30,0,300.9782409667969,STANDARD,0.0,300.9782409667969,11,22,2018-03-01,1659.1368408203125,R_A2,0.07596860080957413
12,30,0,301.112060546875,STANDARD,0.0,301.112060546875,12,22,2018-03-01,1661.132568359375,R_A2,0.08086583763360977
13,30,0,301.2463684082031,STANDARD,0.0,301.2463684082031,13,22,2018-03-01,1663.12841796875,R_A2,0.4565054476261139
14,30,0,301.3811950683594,STANDARD,0.0,301.3811950683594,14,22,2018-03-01,1665.1241455078125,R_A2,0.5040196776390076
15,30,0,301.5166015625,STANDARD,0.0,301.5166015625,15,22,2018-03-01,1667.1199951171875,R_A2,0.6865449547767639
16,30,0,301.6506652832031,STANDARD,0.0,301.6506652832031,16,22,2018-03-01,1669.11572265625,R_A2,0.9750980138778687
17,30,0,301.7847900390625,STANDARD,0.0,301.7847900390625,17,22,2018-03-01,1671.111572265625,R_A2,0.9595800042152405
18,30,0,301.9107666015625,STANDARD,0.0,301.9107666015625,18,22,2018-03-01,1672.9881591796875,R_A2,0.980758547782898
19,29,0,301.97259521484375,STANDARD,0.0,301.97259521484375,18,22,2018-03-01,1674.229736328125,R_A2,0.9992631077766418
20,29,0,303.00311279296875,STANDARD,7.070293066223604e-16,303.00311279296875,27,22,2018-03-01,1676.1676025390625,R_A2,1.0
21,29,0,303.4564208984375,STANDARD,3.1034808084386774e-16,303.4564208984375,28,22,2018-03-01,1677.9368896484375,R_A2,1.0
22,29,0,303.2949523925781,STANDARD,-2.7254240531071616e-12,303.2949523925781,29,22,2018-03-01,1679.7061767578125,R_A2,1.0
23,29,0,303.78643798828125,STANDARD,-2.8465448517734325e-15,303.78643798828125,30,22,2018-03-01,1681.4754638671875,R_A2,1.0
24,29,0,303.9587097167969,STANDARD,2.1912455148360071e-16,303.9587097167969,31,22,2018-03-01,1683.2447509765625,R_A2,1.0
1,20,0,265.0393981933594,STANDARD,4.591060849183667e-17,265.0393981933594,1,31,2018-04-28,1685.026611328125,R_A5,1.0
2,20,0,265.2552185058594,STANDARD,1.424113783713224e-14,265.2552185058594,2,31,2018-04-28,1687.3070068359375,R_A5,1.0
3,20,0,265.47100830078125,STANDARD,2.1125611568244274e-14,265.47100830078125,3,31,2018-04-28,1689.5875244140625,R_A5,1.0
4,20,0,265.6867980957031,STANDARD,1.9506547053083252e-14,265.6867980957031,4,31,2018-04-28,1691.8680419921875,R_A5,1.0
5,20,0,265.902587890625,STANDARD,1.880665389316239e-14,265.902587890625,5,31,2018-04-28,1694.1485595703125,R_A5,1.0
6,20,0,266.1183776855469,STANDARD,2.0031976836858145e-14,266.1183776855469,6,31,2018-04-28,1696.4290771484375,R_A5,1.0
7,20,0,266.651611328125,STANDARD,-7.761033677807358e-18,266.651611328125,7,31,2018-04-28,1698.70947265625,R_A5,1.0
8,20,0,265.7359619140625,STANDARD,-2.214962805183185e-12,265.7359619140625,11,31,2018-04-28,1707.6488037109375,R_A5,1.0
9,20,0,265.918212890625,STANDARD,-2.7308491839378446e-12,265.918212890625,12,31,2018-04-28,1709.5638427734375,R_A5,1.0
10,21,0,264.8802490234375,STANDARD,-8.567898994449319e-12,264.8802490234375,12,31,2018-04-28,1701.7845458984375,R_A5,1.0
11,21,0,265.07781982421875,STANDARD,-2.2434632547963657e-13,265.07781982421875,13,31,2018-04-28,1703.735107421875,R_A5,1.0
12,21,0,265.2638854980469,STANDARD,-3.8364008692927387e-13,265.2638854980469,14,31,2018-04-28,1705.6856689453125,R_A5,1.0
13,21,0,265.4534606933594,STANDARD,-8.723546245179709e-14,265.4534606933594,15,31,2018-04-28,1707.63623046875,R_A5,1.0
14,21,0,265.80108642578125,STANDARD,-9.41952746813697e-14,265.80108642578125,16,31,2018-04-28,1709.5867919921875,R_A5,1.0
15,21,0,266.0291748046875,STANDARD,-4.0963092699753886e-14,266.0291748046875,17,31,2018-04-28,1711.537353515625,R_A5,1.0
16,21,0,266.24493408203125,STANDARD,-1.0954408089175818e-13,266.24493408203125,18,31,2018-04-28,1713.35400390625,R_A5,1.0
17,21,0,266.3606262207031,STANDARD,0.0,266.3606262207031,19,31,2018-04-28,1714.3951416015625,R_A5,1.0
18,21,0,266.3448486328125,STANDARD,-2.0151432199343525e-14,266.3448486328125,27,31,2018-04-28,1715.7628173828125,R_A5,1.0
19,21,0,266.5697937011719,STANDARD,-2.7711843304562174e-14,266.5697937011719,28,31,2018-04-28,1718.098388671875,R_A5,1.0
20,21,0,267.1321716308594,STANDARD,-1.6714985979405641e-19,267.1321716308594,29,31,2018-04-28,1720.43408203125,R_A5,1.0
21,21,0,271.1215515136719,STANDARD,-9.220735151105799e-17,271.1215515136719,30,31,2018-04-28,1722.7696533203125,R_A5,1.0
22,21,0,293.2585754394531,STANDARD,-6.713605454427078e-21,293.2585754394531,31,31,2018-04-28,1725.105224609375,R_A5,1.0
1,41,0,290.0052185058594,STANDARD,0.0,290.0052185058594,1,28,2018-07-03,1609.243408203125,R_A3,0.6489284038543701
2,41,0,290.1427001953125,STANDARD,0.0,290.1427001953125,2,28,2018-07-03,1611.3077392578125,R_A3,0.229038268327713
3,41,0,290.2807312011719,STANDARD,0.0,290.2807312011719,3,28,2018-07-03,1613.3720703125,R_A3,0.19783614575862885
4,41,0,290.4220275878906,STANDARD,0.0,290.4220275878906,4,28,2018-07-03,1615.4365234375,R_A3,0.3792533278465271
5,41,0,290.5030822753906,STANDARD,0.0,290.5030822753906,5,28,2018-07-03,1617.5008544921875,R_A3,0.8254348635673523
6,41,0,290.5555419921875,STANDARD,0.0,290.5555419921875,6,28,2018-07-03,1619.565185546875,R_A3,0.22771181166172028
7,41,0,289.85528564453125,STANDARD,0.0,289.85528564453125,6,29,2018-07-03,1609.3663330078125,R_A3,0.26674601435661316
8,41,0,289.9923400878906,STANDARD,0.0,289.9923400878906,7,29,2018-07-03,1611.4163818359375,R_A3,0.19762201607227325
9,41,0,290.13043212890625,STANDARD,0.0,290.13043212890625,8,29,2018-07-03,1613.46630859375,R_A3,0.38173022866249084
10,41,0,290.30816650390625,STANDARD,0.0,290.30816650390625,9,29,2018-07-03,1615.516357421875,R_A3,0.8015750050544739
11,41,0,290.3304138183594,STANDARD,0.0,290.3304138183594,10,29,2018-07-03,1617.5662841796875,R_A3,0.7993162274360657
12,41,0,288.868896484375,STANDARD,0.0,288.868896484375,11,29,2018-07-03,1619.750732421875,R_A3,0.04914293810725212
13,41,0,289.02392578125,STANDARD,0.0,289.02392578125,12,29,2018-07-03,1622.0697021484375,R_A3,0.05435200035572052
14,41,0,289.18035888671875,STANDARD,0.0,289.18035888671875,13,29,2018-07-03,1624.388671875,R_A3,0.3699180483818054
15,41,0,289.3370361328125,STANDARD,0.0,289.3370361328125,14,29,2018-07-03,1626.707763671875,R_A3,0.3681581914424896
16,41,0,289.5024719238281,STANDARD,0.0,289.5024719238281,15,29,2018-07-03,1629.026611328125,R_A3,0.4419160783290863
17,41,0,289.6494445800781,STANDARD,0.0,289.6494445800781,16,29,2018-07-03,1630.9468994140625,R_A3,0.8106017112731934
18,41,0,289.3815612792969,STANDARD,0.0,289.3815612792969,27,29,2018-07-03,1633.5262451171875,R_A3,0.378903329372406
19,41,0,289.60711669921875,STANDARD,0.0,289.60711669921875,28,29,2018-07-03,1637.1630859375,R_A3,0.04578869417309761
20,41,0,289.8503112792969,STANDARD,0.0,289.8503112792969,29,29,2018-07-03,1640.8001708984375,R_A3,0.05061774700880051
21,41,0,290.09161376953125,STANDARD,0.0,290.09161376953125,30,29,2018-07-03,1644.4371337890625,R_A3,0.6490538120269775
22,41,0,290.3358154296875,STANDARD,0.0,290.3358154296875,31,29,2018-07-03,1648.0740966796875,R_A3,0.06263644248247147
1,52,0,279.87701416015625,STANDARD,0.0,279.87701416015625,1,30,2018-09-12,1631.1873779296875,R_A4,0.051788005977869034
2,52,0,279.70947265625,STANDARD,0.0,279.70947265625,1,31,2018-09-12,1627.4293212890625,R_A4,0.04872788488864899
3,52,0,279.84686279296875,STANDARD,0.0,279.84686279296875,2,31,2018-09-12,1629.4896240234375,R_A4,0.052323099225759506
4,52,0,279.9842224121094,STANDARD,0.0,279.9842224121094,3,31,2018-09-12,1631.5498046875,R_A4,0.05441964045166969
5,52,0,280.1216125488281,STANDARD,0.0,280.1216125488281,4,31,2018-09-12,1633.610107421875,R_A4,0.05745655670762062
6,52,0,280.1217346191406,STANDARD,0.0,280.1217346191406,4,32,2018-09-12,1632.3968505859375,R_A4,0.05650312453508377
7,51,0,280.250732421875,STANDARD,0.0,280.250732421875,4,32,2018-09-12,1635.880615234375,R_A4,0.059178683906793594
8,51,0,280.43414306640625,STANDARD,0.0,280.43414306640625,4,33,2018-09-12,1637.321044921875,R_A4,0.05753305181860924
9,51,0,280.3110046386719,STANDARD,0.0,280.3110046386719,3,33,2018-09-12,1635.474609375,R_A4,0.05640241131186485
10,50,0,280.6443786621094,STANDARD,0.0,280.6443786621094,4,33,2018-09-12,1642.1485595703125,R_A4,0.06332098692655563
11,50,0,280.6796875,STANDARD,0.0,280.6796875,4,34,2018-09-12,1641.132080078125,R_A4,0.06166203320026398
12,50,0,280.551513671875,STANDARD,0.0,280.551513671875,3,34,2018-09-12,1639.20703125,R_A4,0.14035741984844208
13,50,0,280.7407531738281,STANDARD,0.0,280.7407531738281,3,35,2018-09-12,1640.9061279296875,R_A4,0.1428023874759674
14,50,0,280.6163024902344,STANDARD,0.0,280.6163024902344,2,35,2018-09-12,1639.0426025390625,R_A4,0.2330324798822403
15,49,0,280.7611999511719,STANDARD,0.0,280.7611999511719,2,35,2018-09-12,1641.93212890625,R_A4,0.23688435554504395
16,49,0,284.08892822265625,STANDARD,-3.0723199540005908e-09,284.08892822265625,30,36,2018-09-12,1642.357421875,R_A4,0.9999999403953552
17,48,0,283.2532653808594,STANDARD,0.0,283.2532653808594,30,36,2018-09-12,1639.6068115234375,R_A4,0.6496454477310181
18,48,0,283.5981140136719,STANDARD,0.0,283.5981140136719,30,37,2018-09-12,1646.7513427734375,R_A4,0.6508833169937134
19,48,0,283.9115295410156,STANDARD,0.0,283.9115295410156,30,38,2018-09-12,1653.461669921875,R_A4,0.6556462645530701
20,47,0,284.3598327636719,STANDARD,0.0,284.3598327636719,30,38,2018-09-12,1657.8184814453125,R_A4,0.686455249786377
1,42,0,278.2938537597656,STANDARD,-6.986869448857115e-19,278.2938537597656,1,17,2018-11-07,1695.20263671875,R_A6,1.0
2,42,0,278.4388427734375,STANDARD,-4.0297383085530786e-19,278.4388427734375,2,17,2018-11-07,1696.7510986328125,R_A6,1.0
3,42,0,278.5812683105469,STANDARD,-3.731089659775695e-19,278.5812683105469,3,17,2018-11-07,1698.299560546875,R_A6,1.0
4,42,0,278.7198486328125,STANDARD,-4.658167840930986e-19,278.7198486328125,4,17,2018-11-07,1699.84814453125,R_A6,1.0
5,42,0,278.8568115234375,STANDARD,-3.9953343159133497e-19,278.8568115234375,5,17,2018-11-07,1701.3966064453125,R_A6,1.0
6,42,0,278.9975280761719,STANDARD,-1.7113658807117797e-17,278.9975280761719,6,17,2018-11-07,1702.9451904296875,R_A6,1.0
7,42,0,278.8425598144531,STANDARD,-4.2273174392363336e-17,278.8425598144531,7,17,2018-11-07,1704.49365234375,R_A6,1.0
8,42,0,278.9897155761719,STANDARD,-6.882853244587373e-18,278.9897155761719,8,17,2018-11-07,1706.042236328125,R_A6,1.0
9,42,0,279.4311218261719,STANDARD,-1.5437743116404988e-18,279.4311218261719,9,17,2018-11-07,1707.5906982421875,R_A6,1.0
10,42,0,279.25927734375,STANDARD,-2.7664993382853947e-16,279.25927734375,10,17,2018-11-07,1709.1392822265625,R_A6,1.0
11,42,0,279.4356384277344,STANDARD,-3.8676818743853876e-16,279.4356384277344,11,17,2018-11-07,1711.055419921875,R_A6,1.0
12,42,0,279.65179443359375,STANDARD,-2.814640720540389e-16,279.65179443359375,12,17,2018-11-07,1713.3392333984375,R_A6,1.0
13,42,0,279.8797912597656,STANDARD,-1.9302254630841225e-17,279.8797912597656,13,17,2018-11-07,1715.623046875,R_A6,1.0
14,42,0,280.0955810546875,STANDARD,-1.5589628159325597e-17,280.0955810546875,14,17,2018-11-07,1717.9068603515625,R_A6,1.0
15,42,0,280.307373046875,STANDARD,-5.001784561047378e-18,280.307373046875,15,17,2018-11-07,1720.190673828125,R_A6,1.0
