CONJPOS,CONKPOS,DATE,CONBPRES,PRESSURE,DRAWDOWN,CONIPOS,SWAT,DEPTH,WELLMODEL,CONIDX,SGAS,WELL
30,5,2018-01-01,301.2560729980469,301.2560729980469,0,22,0.0648750364780426,1647.8726806640625,STANDARD,5,0.0,R_A2
30,6,2018-01-01,301.3751525878906,301.3751525878906,0,22,0.3009277880191803,1649.648193359375,STANDARD,6,0.0,R_A2
30,7,2018-01-01,301.4942321777344,301.4942321777344,0,22,0.871292769908905,1651.423583984375,STANDARD,7,0.0,R_A2
30,8,2018-01-01,301.6133117675781,301.6133117675781,0,22,0.8617912530899048,1653.198974609375,STANDARD,8,0.0,R_A2
30,9,2018-01-01,301.7323913574219,301.7323913574219,0,22,0.868635356426239,1654.9744873046875,STANDARD,9,0.0,R_A2
30,10,2018-01-01,301.8514709472656,301.8514709472656,0,22,0.8859612941741943,1656.7498779296875,STANDARD,10,0.0,R_A2
30,11,2018-01-01,301.9783935546875,301.9783935546875,0,22,0.06784416735172272,1658.642578125,STANDARD,11,0.0,R_A2
30,12,2018-01-01,302.11322021484375,302.11322021484375,0,22,0.06656686216592789,1660.6524658203125,STANDARD,12,0.0,R_A2
30,13,2018-01-01,302.248046875,302.248046875,0,22,0.4236186146736145,1662.662353515625,STANDARD,13,0.0,R_A2
30,14,2018-01-01,302.3828430175781,302.3828430175781,0,22,0.467267781496048,1664.6722412109375,STANDARD,14,0.0,R_A2
30,15,2018-01-01,302.5176696777344,302.5176696777344,0,22,0.9070682525634766,1666.6820068359375,STANDARD,15,0.0,R_A2
30,16,2018-01-01,302.6524963378906,302.6524963378906,0,22,0.9253165125846863,1668.69189453125,STANDARD,16,0.0,R_A2
30,17,2018-01-01,302.787353515625,302.787353515625,0,22,0.8688926100730896,1670.7017822265625,STANDARD,17,0.0,R_A2
29,17,2018-01-01,302.8995361328125,302.8995361328125,0,22,0.8852545619010925,1672.374267578125,STANDARD,18,0.0,R_A2
29,18,2018-01-01,303.02935791015625,303.02935791015625,0,22,0.9510869979858398,1674.3092041015625,STANDARD,19,0.0,R_A2
29,19,2018-01-01,303.1015319824219,303.1015319824219,0,22,0.9694563150405884,1675.385009765625,STANDARD,20,0.0,R_A2
29,25,2018-01-01,303.1731872558594,303.1731872558594,0,22,0.7662304043769836,1676.45263671875,STANDARD,21,0.0,R_A2
29,26,2018-01-01,303.2933044433594,303.2933044433594,0,22,0.7431308031082153,1678.2432861328125,STANDARD,22,0.0,R_A2
29,27,2018-01-01,303.4134826660156,303.4134826660156,0,22,0.717907190322876,1680.0340576171875,STANDARD,23,0.0,R_A2
29,28,2018-01-01,303.8464660644531,303.8464660644531,0,22,1.0,1681.8248291015625,STANDARD,24,0.0,R_A2
29,29,2018-01-01,304.01617431640625,304.01617431640625,0,22,1.0,1683.615478515625,STANDARD,25,0.0,R_A2
41,1,2018-01-01,298.68896484375,298.68896484375,0,28,0.6481541991233826,1609.5806884765625,STANDARD,1,0.0,R_A3
41,2,2018-01-01,298.8258361816406,298.8258361816406,0,28,0.19533796608448029,1611.6229248046875,STANDARD,2,0.0,R_A3
41,3,2018-01-01,298.96270751953125,298.96270751953125,0,28,0.14936517179012299,1613.6650390625,STANDARD,3,0.0,R_A3
41,4,2018-01-01,299.0995788574219,299.0995788574219,0,28,0.11823459714651108,1615.7071533203125,STANDARD,4,0.0,R_A3
41,4,2018-01-01,298.43560791015625,298.43560791015625,0,29,0.24208460748195648,1605.7999267578125,STANDARD,5,0.0,R_A3
41,5,2018-01-01,298.57574462890625,298.57574462890625,0,29,0.8075131773948669,1607.891357421875,STANDARD,6,0.0,R_A3
41,6,2018-01-01,298.7159118652344,298.7159118652344,0,29,0.26435387134552,1609.98291015625,STANDARD,7,0.0,R_A3
41,7,2018-01-01,298.8561096191406,298.8561096191406,0,29,0.16908836364746094,1612.0743408203125,STANDARD,8,0.0,R_A3
41,8,2018-01-01,298.99627685546875,298.99627685546875,0,29,0.19420313835144043,1614.1658935546875,STANDARD,9,0.0,R_A3
41,9,2018-01-01,299.1364440917969,299.1364440917969,0,29,0.7893854975700378,1616.25732421875,STANDARD,10,0.0,R_A3
41,10,2018-01-01,299.2766418457031,299.2766418457031,0,29,0.7994601726531982,1618.348876953125,STANDARD,11,0.0,R_A3
41,11,2018-01-01,299.42327880859375,299.42327880859375,0,29,0.047984056174755096,1620.53662109375,STANDARD,12,0.0,R_A3
41,12,2018-01-01,299.5763854980469,299.5763854980469,0,29,0.052534766495227814,1622.8206787109375,STANDARD,13,0.0,R_A3
41,13,2018-01-01,299.7295227050781,299.7295227050781,0,29,0.36892300844192505,1625.104736328125,STANDARD,14,0.0,R_A3
41,15,2018-01-01,300.0357666015625,300.0357666015625,0,29,0.4937770664691925,1629.6729736328125,STANDARD,15,0.0,R_A3
41,16,2018-01-01,300.1652526855469,300.1652526855469,0,29,0.7986175417900085,1631.604248046875,STANDARD,16,0.0,R_A3
41,25,2018-01-01,300.33697509765625,300.33697509765625,0,29,0.6481541991233826,1634.165771484375,STANDARD,17,0.0,R_A3
41,26,2018-01-01,300.57464599609375,300.57464599609375,0,29,0.04700799658894539,1637.71044921875,STANDARD,18,0.0,R_A3
41,27,2018-01-01,300.81231689453125,300.81231689453125,0,29,0.04973381385207176,1641.255126953125,STANDARD,19,0.0,R_A3
41,28,2018-01-01,301.0500183105469,301.0500183105469,0,29,0.8010760545730591,1644.7998046875,STANDARD,20,0.0,R_A3
41,29,2018-01-01,301.2877197265625,301.2877197265625,0,29,0.23923660814762115,1648.344482421875,STANDARD,21,0.0,R_A3
52,1,2018-01-01,300.1548156738281,300.1548156738281,0,30,0.12394258379936218,1631.44873046875,STANDARD,1,0.0,R_A4
52,1,2018-01-01,299.859619140625,299.859619140625,0,31,0.16698728501796722,1627.0455322265625,STANDARD,2,0.0,R_A4
52,2,2018-01-01,299.9969482421875,299.9969482421875,0,31,0.0849304273724556,1629.09423828125,STANDARD,3,0.0,R_A4
52,3,2018-01-01,300.1343078613281,300.1343078613281,0,31,0.05018654465675354,1631.142822265625,STANDARD,4,0.0,R_A4
52,4,2018-01-01,300.27166748046875,300.27166748046875,0,31,0.05275527760386467,1633.1915283203125,STANDARD,5,0.0,R_A4
52,4,2018-01-01,300.2217712402344,300.2217712402344,0,32,0.05393373966217041,1632.447509765625,STANDARD,6,0.0,R_A4
51,4,2018-01-01,300.490234375,300.490234375,0,32,0.05526880547404289,1636.451416015625,STANDARD,7,0.0,R_A4
51,3,2018-01-01,300.3688049316406,300.3688049316406,0,32,0.05267908796668053,1634.640625,STANDARD,8,0.0,R_A4
51,3,2018-01-01,300.44476318359375,300.44476318359375,0,33,0.05509302020072937,1635.773193359375,STANDARD,9,0.0,R_A4
51,4,2018-01-01,300.5693054199219,300.5693054199219,0,33,0.05698128044605255,1637.630615234375,STANDARD,10,0.0,R_A4
50,4,2018-01-01,300.8964538574219,300.8964538574219,0,33,0.06020655483007431,1642.5096435546875,STANDARD,11,0.0,R_A4
50,4,2018-01-01,300.76409912109375,300.76409912109375,0,34,0.059895943850278854,1640.5361328125,STANDARD,12,0.0,R_A4
50,3,2018-01-01,300.6376647949219,300.6376647949219,0,34,0.13273891806602478,1638.6502685546875,STANDARD,13,0.0,R_A4
50,3,2018-01-01,300.648681640625,300.648681640625,0,35,0.13725005090236664,1638.8145751953125,STANDARD,14,0.0,R_A4
49,3,2018-01-01,300.993408203125,300.993408203125,0,35,0.14051033556461334,1643.955810546875,STANDARD,15,0.0,R_A4
49,2,2018-01-01,300.8736877441406,300.8736877441406,0,35,0.2297232300043106,1642.1700439453125,STANDARD,16,0.0,R_A4
49,28,2018-01-01,300.8257751464844,300.8257751464844,0,36,0.05421058088541031,1641.45556640625,STANDARD,17,0.0,R_A4
48,28,2018-01-01,300.8565368652344,300.8565368652344,0,36,0.057606060057878494,1641.914306640625,STANDARD,18,0.0,R_A4
48,28,2018-01-01,301.15625,301.15625,0,37,0.05715714022517204,1646.384033203125,STANDARD,19,0.0,R_A4
48,28,2018-01-01,301.45880126953125,301.45880126953125,0,38,0.05864788964390755,1650.8955078125,STANDARD,20,0.0,R_A4
47,28,2018-01-01,301.99884033203125,301.99884033203125,0,38,0.08254039287567139,1658.947021484375,STANDARD,21,0.0,R_A4
