DEPTH,SGAS,WELL,CONJPOS,CONBPRES,PRESSURE,SWAT,DRAWDOWN,CONIDX,CONKPOS,WELLMODEL,DATE,CONIPOS
1641.094970703125,0.0,R_A2,30,300.8115234375,300.8115234375,0.053231559693813324,0,1,1,STANDARD,2018-01-01,22
1642.8890380859375,0.0,R_A2,30,300.93182373046875,300.93182373046875,0.05362984165549278,0,2,2,STANDARD,2018-01-01,22
1644.68310546875,0.0,R_A2,30,301.0521545410156,301.0521545410156,0.057413455098867416,0,3,3,STANDARD,2018-01-01,22
1646.4771728515625,0.0,R_A2,30,301.1724548339844,301.1724548339844,0.06297511607408524,0,4,4,STANDARD,2018-01-01,22
1648.2713623046875,0.0,R_A2,30,301.29278564453125,301.29278564453125,0.0659753754734993,0,5,5,STANDARD,2018-01-01,22
1650.0654296875,0.0,R_A2,30,301.4130859375,301.4130859375,0.3123110830783844,0,6,6,STANDARD,2018-01-01,22
1651.859619140625,0.0,R_A2,30,301.5334167480469,301.5334167480469,0.6729089021682739,0,7,7,STANDARD,2018-01-01,22
1653.6536865234375,0.0,R_A2,30,301.65374755859375,301.65374755859375,0.6481541991233826,0,8,8,STANDARD,2018-01-01,22
1655.44775390625,0.0,R_A2,30,301.7740783691406,301.7740783691406,0.6481541991233826,0,9,9,STANDARD,2018-01-01,22
1657.2418212890625,0.0,R_A2,30,301.8944091796875,301.8944091796875,0.8892444372177124,0,10,10,STANDARD,2018-01-01,22
1659.1368408203125,0.0,R_A2,30,302.0215148925781,302.0215148925781,0.06731006503105164,0,11,11,STANDARD,2018-01-01,22
1661.132568359375,0.0,R_A2,30,302.1553649902344,302.1553649902344,0.07137838751077652,0,12,12,STANDARD,2018-01-01,22
1663.12841796875,0.0,R_A2,30,302.28924560546875,302.28924560546875,0.42481568455696106,0,13,13,STANDARD,2018-01-01,22
1665.1241455078125,0.0,R_A2,30,302.4231262207031,302.4231262207031,0.46112295985221863,0,14,14,STANDARD,2018-01-01,22
1667.1199951171875,0.0,R_A2,30,302.5570068359375,302.5570068359375,0.6345893144607544,0,15,15,STANDARD,2018-01-01,22
1669.11572265625,0.0,R_A2,30,302.6908874511719,302.6908874511719,0.9238341450691223,0,16,16,STANDARD,2018-01-01,22
1671.111572265625,0.0,R_A2,30,302.8247985839844,302.8247985839844,0.8839040398597717,0,17,17,STANDARD,2018-01-01,22
1672.9881591796875,0.0,R_A2,30,302.95068359375,302.95068359375,0.9210770726203918,0,18,18,STANDARD,2018-01-01,22
1674.229736328125,0.0,R_A2,29,303.03399658203125,303.03399658203125,0.9470610618591309,0,19,18,STANDARD,2018-01-01,22
1676.1676025390625,0.0,R_A2,29,303.16400146484375,303.16400146484375,1.0,0,20,27,STANDARD,2018-01-01,22
1677.9368896484375,0.0,R_A2,29,303.28271484375,303.28271484375,1.0,0,21,28,STANDARD,2018-01-01,22
1679.7061767578125,0.0,R_A2,29,303.40142822265625,303.40142822265625,0.7996036410331726,0,22,29,STANDARD,2018-01-01,22
1681.4754638671875,0.0,R_A2,29,303.5201416015625,303.5201416015625,1.0,0,23,30,STANDARD,2018-01-01,22
1683.2447509765625,0.0,R_A2,29,303.98101806640625,303.98101806640625,1.0,0,24,31,STANDARD,2018-01-01,22
1609.243408203125,0.0,R_A3,41,298.6763000488281,298.6763000488281,0.6481541991233826,0,1,1,STANDARD,2018-01-01,28
1611.3077392578125,0.0,R_A3,41,298.8146667480469,298.8146667480469,0.22426900267601013,0,2,2,STANDARD,2018-01-01,28
1613.3720703125,0.0,R_A3,41,298.9530334472656,298.9530334472656,0.19311684370040894,0,3,3,STANDARD,2018-01-01,28
1615.4365234375,0.0,R_A3,41,299.09136962890625,299.09136962890625,0.3737010359764099,0,4,4,STANDARD,2018-01-01,28
1617.5008544921875,0.0,R_A3,41,299.2297668457031,299.2297668457031,0.8183194994926453,0,5,5,STANDARD,2018-01-01,28
1619.565185546875,0.0,R_A3,41,299.3681335449219,299.3681335449219,0.22255252301692963,0,6,6,STANDARD,2018-01-01,28
1609.3663330078125,0.0,R_A3,41,298.6845397949219,298.6845397949219,0.2615284323692322,0,7,6,STANDARD,2018-01-01,29
1611.4163818359375,0.0,R_A3,41,298.8219299316406,298.8219299316406,0.19287797808647156,0,8,7,STANDARD,2018-01-01,29
1613.46630859375,0.0,R_A3,41,298.9593200683594,298.9593200683594,0.37529855966567993,0,9,8,STANDARD,2018-01-01,29
1615.516357421875,0.0,R_A3,41,299.09674072265625,299.09674072265625,0.7942633628845215,0,10,9,STANDARD,2018-01-01,29
1617.5662841796875,0.0,R_A3,41,299.234130859375,299.234130859375,0.7918578386306763,0,11,10,STANDARD,2018-01-01,29
1619.750732421875,0.0,R_A3,41,299.38055419921875,299.38055419921875,0.04710792005062103,0,12,11,STANDARD,2018-01-01,29
