DRAWDOWN,CONKPOS,CONIPOS,CONJPOS,DATE,SWAT,PRESSURE,DEPTH,WELLMODEL,SGAS,CONIDX,WELL,CONBPRES
0,1,22,30,2018-01-01,0.05253634229302406,300.8283996582031,1641.4454345703125,STANDARD,0.0,1,R_A2,300.8283996582031
0,2,22,30,2018-01-01,0.0539947971701622,300.9461975097656,1643.2021484375,STANDARD,0.0,2,R_A2,300.9461975097656
0,3,22,30,2018-01-01,0.05785395950078964,301.0639953613281,1644.9588623046875,STANDARD,0.0,3,R_A2,301.0639953613281
0,4,22,30,2018-01-01,0.06328736990690231,301.18182373046875,1646.715576171875,STANDARD,0.0,4,R_A2,301.18182373046875
0,5,22,30,2018-01-01,0.06607552617788315,301.29962158203125,1648.472412109375,STANDARD,0.0,5,R_A2,301.29962158203125
0,6,22,30,2018-01-01,0.2990649342536926,301.41741943359375,1650.22900390625,STANDARD,0.0,6,R_A2,301.41741943359375
0,7,22,30,2018-01-01,0.8769001364707947,301.5352478027344,1651.9857177734375,STANDARD,0.0,7,R_A2,301.5352478027344
0,8,22,30,2018-01-01,0.852760910987854,301.653076171875,1653.7425537109375,STANDARD,0.0,8,R_A2,301.653076171875
0,9,22,30,2018-01-01,0.6481541991233826,301.7709045410156,1655.499267578125,STANDARD,0.0,9,R_A2,301.7709045410156
0,10,22,30,2018-01-01,0.8952694535255432,301.88873291015625,1657.2559814453125,STANDARD,0.0,10,R_A2,301.88873291015625
0,11,22,30,2018-01-01,0.06956098228693008,302.0163879394531,1659.1593017578125,STANDARD,0.0,11,R_A2,302.0163879394531
0,12,22,30,2018-01-01,0.07425855100154877,302.15386962890625,1661.2091064453125,STANDARD,0.0,12,R_A2,302.15386962890625
0,13,22,30,2018-01-01,0.42989882826805115,302.2913818359375,1663.2589111328125,STANDARD,0.0,13,R_A2,302.2913818359375
0,14,22,30,2018-01-01,0.47580501437187195,302.4288635253906,1665.3087158203125,STANDARD,0.0,14,R_A2,302.4288635253906
0,15,22,30,2018-01-01,0.9016851186752319,302.5663757324219,1667.3585205078125,STANDARD,0.0,15,R_A2,302.5663757324219
0,16,22,30,2018-01-01,0.9164363145828247,302.7038879394531,1669.4083251953125,STANDARD,0.0,16,R_A2,302.7038879394531
0,16,22,29,2018-01-01,0.9784071445465088,303.0220947265625,1674.1512451171875,STANDARD,0.0,17,R_A2,303.0220947265625
0,17,22,29,2018-01-01,0.9556820392608643,303.16845703125,1676.3326416015625,STANDARD,0.0,18,R_A2,303.16845703125
0,18,22,29,2018-01-01,1.0,303.27044677734375,1677.8529052734375,STANDARD,0.0,19,R_A2,303.27044677734375
0,25,22,29,2018-01-01,1.0,303.3565673828125,1679.1363525390625,STANDARD,0.0,20,R_A2,303.3565673828125
0,26,22,29,2018-01-01,1.0,303.47113037109375,1680.8438720703125,STANDARD,0.0,21,R_A2,303.47113037109375
0,27,22,29,2018-01-01,1.0,303.9153137207031,1682.5513916015625,STANDARD,0.0,22,R_A2,303.9153137207031
0,28,22,29,2018-01-01,1.0,304.0771484375,1684.259033203125,STANDARD,0.0,23,R_A2,304.0771484375
0,29,22,29,2018-01-01,1.0,304.23895263671875,1685.966552734375,STANDARD,0.0,24,R_A2,304.23895263671875
0,1,28,41,2018-01-01,0.6481541991233826,298.7224426269531,1610.030517578125,STANDARD,0.0,1,R_A3,298.7224426269531
0,2,28,41,2018-01-01,0.13483268022537231,298.8531799316406,1611.9813232421875,STANDARD,0.0,2,R_A3,298.8531799316406
0,3,29,41,2018-01-01,0.11823459714651108,298.4520263671875,1605.9954833984375,STANDARD,0.0,3,R_A3,298.4520263671875
0,4,29,41,2018-01-01,0.13771209120750427,298.5845642089844,1607.97314453125,STANDARD,0.0,4,R_A3,298.5845642089844
0,5,29,41,2018-01-01,0.8113068342208862,298.71710205078125,1609.950927734375,STANDARD,0.0,5,R_A3,298.71710205078125
0,6,29,41,2018-01-01,0.6481541991233826,298.8496398925781,1611.9285888671875,STANDARD,0.0,6,R_A3,298.8496398925781
0,7,29,41,2018-01-01,0.19383297860622406,298.9822082519531,1613.9063720703125,STANDARD,0.0,7,R_A3,298.9822082519531
0,8,29,41,2018-01-01,0.19643788039684296,299.11474609375,1615.884033203125,STANDARD,0.0,8,R_A3,299.11474609375
0,9,29,41,2018-01-01,0.80033940076828,299.247314453125,1617.86181640625,STANDARD,0.0,9,R_A3,299.247314453125
0,10,29,41,2018-01-01,0.7989941239356995,299.3798828125,1619.8394775390625,STANDARD,0.0,10,R_A3,299.3798828125
0,11,29,41,2018-01-01,0.047942642122507095,299.5243225097656,1621.994140625,STANDARD,0.0,11,R_A3,299.5243225097656
0,12,29,41,2018-01-01,0.054214347153902054,299.68060302734375,1624.32568359375,STANDARD,0.0,12,R_A3,299.68060302734375
0,13,29,41,2018-01-01,0.3749801814556122,299.8368835449219,1626.6571044921875,STANDARD,0.0,13,R_A3,299.8368835449219
0,14,29,41,2018-01-01,0.35501888394355774,299.9931945800781,1628.9886474609375,STANDARD,0.0,14,R_A3,299.9931945800781
0,15,29,41,2018-01-01,0.7974340319633484,300.1495056152344,1631.3201904296875,STANDARD,0.0,15,R_A3,300.1495056152344
0,16,29,41,2018-01-01,0.7762787938117981,300.24578857421875,1632.75634765625,STANDARD,0.0,16,R_A3,300.24578857421875
0,25,29,41,2018-01-01,0.29215312004089355,300.3767395019531,1634.70947265625,STANDARD,0.0,17,R_A3,300.3767395019531
