ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
UpperReek,1,290833160.43,45969867.61,33991884.56,21378543.39
UpperReek,2,0.0,0.0,0.0,0.0
MidReek,1,176471709.47,33095630.81,26713291.68,16800812.1
MidReek,2,0.0,0.0,0.0,0.0
LowerReek,1,127971471.81,24515520.34,19410302.88,12207737.46
LowerReek,2,0.0,0.0,0.0,0.0
