ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
UpperReek,1,280397689.15,45544598.96,34470590.08,21679616.06
UpperReek,2,0.0,0.0,0.0,0.0
MidReek,1,188083358.49,37071196.65,29894118.65,18801332.17
MidReek,2,0.0,0.0,0.0,0.0
LowerReek,1,127662703.99,26953236.31,22213143.73,13970530.42
LowerReek,2,0.0,0.0,0.0,0.0
